001_00	Ljudima se bliži čas polaganja računa njihova, a oni, bezbrižni, ne mare za to.
002_00	I ne dođe im nijedna nova opomena od Gospodara njihova kojoj se, slušajući je, ne podsmjehuju
003_00	srcā rasijanih. A mnogobošci govore šapatom: "Da li je ovaj nešto drugo do čovjek kao i vi? Zar ćete slijediti vradžbinu, a vidite da jest?"
004_00	"Gospodar moj zna" – reče on – "šta se govori i na nebu i na Zemlji; On sve čuje i sve zna!"
005_00	Oni, čak, govore: "To su samo smušeni snovi; on ga izmišlja; on je pjesnik; neka nam donese kakvo čudo kao i prijašnji poslanici!"
006_00	Nijedan grad koji smo Mi prije njih uništili nije u čudo povjerovao, pa zar će ovi vjerovati?
007_00	I prije tebe smo samo ljude slali kojima smo objavljivali, zato pitajte sljedbenike Knjige ako ne znate vi!
008_00	Mi ih nismo stvarali kao bića koja žive bez hrane, ni oni nisu besmrtni bili.
009_00	Poslije smo im obećanje ispunjavali, i njih, i one koje smo htjeli, spašavali, a one koji su nevaljali bili uništavali.
010_00	Mi vam Knjigu objavljujemo u kojoj je slava vaša, pa zašto se ne opametite?
011_00	A koliko je bilo nevjerničkih sela i gradova koje smo uništili i poslije kojih smo druge narode podigli!
012_00	I čim bi silu Našu osjetili, kud koji bi se iz njih razbježali.
013_00	"Ne bježite, vratite se uživanjima vašim i domovima vašim, možda će vas neko što upitati."
014_00	"Teško nama" – oni bi govorili – "mi smo, zaista, nevjernici bili!"
015_00	I kukali bi tako sve dok ih ne bismo učinili, kao žito požnjeveno, nepomičnim.
016_00	Mi nismo stvorili nebo i Zemlju, i ono što je između njih, da se zabavljamo.
017_00	Da smo se htjeli zabavljati, zabavljali bismo se onako kako Nama dolikuje, ali Mi to ne činimo,
018_00	nego istinom suzbijamo laž, istina je uguši i laži nestane; a teško vama zbog onoga što o Njemu iznosite!
019_00	Njegovo je ono što je na nebesima i na Zemlji! A oni koji su kod Njega ne zaziru da Mu se klanjaju, i ne zamaraju se,
020_00	hvale Ga noću i danju, ne malaksavaju.
021_00	Zar će kumiri, koje oni od zemlje prave, mrtve oživiti?
022_00	Da Zemljom i nebesima upravljaju drugi bogovi, a ne Allah, poremetili bi se. Pa nek je uzvišen Allah, Gospodar svemira, od onoga što Mu pripisuju!
023_00	On neće biti pitan za ono što radi, a oni će biti pitani.
024_00	Zar da pored Njega oni uzimaju bogove?!
024_01	Reci: "Dokažite!" Ova Knjiga je pouka za moje sljedbenike, a bilo je knjiga i za one koji su prije mene bili i nestali. Međutim, većina njih ne zna istinu, pa zato glave okreću.
025_00	Prije tebe nijednog poslanika nismo poslali, a da mu nismo objavili: "Nema boga osim Mene, zato se Meni klanjajte!"
026_00	Oni govore: "Milostivi ima dijete!" Hvaljen neka je On! A meleki su samo robovi poštovani.
027_00	Oni ne govore dok On ne odobri i postupaju onako kako On naredi.
028_00	On zna šta su radili i šta će uraditi, i oni će se samo za onoga kojim On bude zadovoljan zauzimati, a oni su i sami, iz strahopoštovanja prema Njemu, brižni.
029_00	A onoga od njih koji bi rekao: "Ja sam, doista, pored Njega, bog!" – kaznili bismo Džehennemom, jer Mi tako kažnjavamo mnogobošce.
030_00	Zar ne znaju nevjernici da su nebesa i Zemlja bili jedna cjelina, pa smo ih Mi raskomadali, i da Mi od vode sve živo stvaramo? I zar neće vjerovati?
031_00	Mi smo po Zemlji nepomične planine razmjestili da ih ona ne potresa, i po njima smo staze i bogaze stvorili da bi oni kuda žele stizali.
032_00	I to što je nebeski svod osiguran Naše je djelo, a oni se ipak okreću od znamenja koja su na njemu.
033_00	I noć i dan Njegovo su djelo, i Sunce i Mjesec, i svi oni nebeskim svodom plove.
034_00	Nijedan čovjek prije tebe nije bio besmrtan; ako ti umreš, zar će oni dovijeka živjeti?
035_00	Svako živo biće smrt će okusiti! Mi vas stavljamo na kušnju i u zlu i u dobru i Nama ćete se vratiti.
036_00	Kada te vide nevjernici, samo ti se rugaju: "Je li to onaj koji vaše bogove huli?" A oni sami ne vjeruju kada se spomene Milostivi.
037_00	Čovjek je stvoren od žurbe. Pokazaću Ja vama, doista, dokaze Svoje, zato Me ne požurujte!
038_00	Oni govore: "Kada će već jednom ta prijetnja, ako istinu govorite?"
039_00	A da nevjernici znaju da tada neće moći otkloniti vatru od lica svojih i leđa svojih, i da im niko neće moći pružiti pomoć,
040_00	nego će im nenadano doći i zaprepastiti ih i neće je moći nazad vratiti i neće im se vremena dati!
041_00	I prije tebe su poslanike ruglu izvrgavali, pa je one koji su im se rugali stiglo baš ono čemu su se rugali.
042_00	Reci: "Ko će vas od Milostivog noću i danju štititi?" Niko! Pa ipak oni od Kur'ana glave okreću.
043_00	Zar će ih njihova božanstva, a ne Mi, odbraniti? Ta ona sama sebi ne mogu pomoći, i niko nevjernike od Naše kazne ne može pod okrilje uzeti!
044_00	Mi smo ovima, a i precima njihovim, dali da uživaju, pa su im dani radosti dugi.
044_01	A zar oni ne vide da Mi u zemlju njihovu dolazimo i da je s krajeva njezinih umanjujemo, pa kako bi oni bili pobjednici?!
045_00	Reci: "Ja vas opominjem Objavom!" – ali, gluhi ne čuju poziv kad se opominju.
046_00	A da ih samo dašak kazne Gospodara tvoga dotakne, sigurno bi povikali: "Teško nama, doista smo sami sebi nepravdu učinili!"
047_00	Mi ćemo na Sudnjem danu ispravne terazije postaviti, pa se nikome krivo neće učiniti; ako nešto bude teško koliko zrno gorušice, Mi ćemo za to kazniti ili nagraditi. A dosta je to što ćemo Mi račune ispitivati.
048_00	Mi smo Musau i Harunu dali Tevrat, svjetlo i pouku za one koji se budu grijeha klonili,
049_00	za one koji se Gospodara svoga budu bojali i kad ih niko ne vidi, i koji od časa oživljenja budu strepjeli.
050_00	A i ovaj Kur'an je blagoslovljena pouka koju objavljujemo, pa zar da ga vi poričete?
051_00	Mi smo još prije Ibrahimu razboritost dali i dobro smo ga poznavali.
052_00	Kad on ocu svome i narodu svome reče: "Kakvi su ovo kumiri kojima se i dan i noć klanjate?"
053_00	Oni odgovoriše: "I naši preci su im se klanjali."
054_00	"I vi ste, a i preci vaši su bili u očitoj zabludi" – reče.
055_00	"Govoriš li ti to ozbiljno ili se samo šališ?" – upitaše oni.
056_00	"Ne" – reče – "Gospodar vaš je Gospodar nebesa i Zemlje, On je njih stvorio, i ja ću vam to dokazati.
057_00	Tako mi Allaha, ja ću, čim se udaljite, vaše kumire udesiti!" –
058_00	I porazbija ih on u komade, osim onog najvećeg, da bi se njemu obratili.
059_00	"Ko uradi ovo sa bogovima našim" – povikaše oni – "zaista je nasilnik!"
060_00	"Čuli smo jednog momka kako ih huli" – rekoše – "ime mu je Ibrahim."
061_00	"Dovedite ga da ga ljudi vide" – rekoše – "da posvjedoče."
062_00	"Jesi li ti uradio ovo s bogovima našim, o Ibrahime?" – upitaše.
063_00	"To je učinio ovaj najveći od njih, pitajte ih ako umiju govoriti" – reče on.
064_00	I oni se zamisliše, pa sami sebi rekoše: "Vi ste, zaista, nepravedni!"
065_00	Zatim glave oboriše i rekoše: "Ta ti znaš da ovi ne govore!"
066_00	"Pa zašto se onda, umjesto Allahu, klanjate onima koji vam ne mogu ni koristiti niti od vas kakvu štetu otkloniti?" – upita on.
067_00	"Teško vama i onima kojima se, umjesto Allahu, klanjate! Zašto se ne opametite?" –
068_00	"Spalite ga i bogove vaše osvetite, ako hoćete išta učiniti!" – povikaše.
069_00	"O vatro" – rekosmo Mi – "postani hladna, i spas Ibrahimu!"
070_00	I oni mu htjedoše postaviti zamku, ali ih Mi onemogućismo
071_00	i spasismo i njega i Luta u zemlju koju smo za ljude blagoslovili,
072_00	i poklonismo mu Ishaka, i Jakuba kao unuka, i sve ih učinismo dobrim,
073_00	i učinismo ih vjerovjesnicima da upućuju prema zapovijedi Našoj, i objavismo im da čine dobra djela, i da molitve obavljaju, i da milostinju udjeljuju, a samo su se Nama klanjali.
074_00	I Lutu mudrost i znanje dadosmo i iz grada ga, u kom su stanovnici njegovi odvratne stvari činili, izbavismo – to, uistinu, bijaše narod razvratan i zao –
075_00	i u milost Našu ga uvedosmo; on je, doista, od onih dobrih.
076_00	I Nuhu se, kad u davno vrijeme zavapi, odazvasmo i njega i čeljad njegovu od jada velikog spasismo
077_00	i od naroda ga, koji je smatrao neistinitim dokaze Naše, zaštitismo. To bijahu opaki ljudi, pa ih sve potopismo.
078_00	I Davudu i Sulejmanu, kada su sudili o usjevu što su ga noću ovce nečije opasle – i Mi smo bili svjedoci suđenju njihovu –
079_00	i učinismo da Sulejman pronikne u to, a obojici smo mudrost i znanje dali. I potčinismo planine i ptice da s Davudom Allaha hvale; to smo Mi bili kadri učiniti.
080_00	I naučismo ga da izrađuje pancire za vas da vas štite u borbi s neprijateljem – pa zašto niste zahvalni?
081_00	A Sulejmanu vjetar jaki poslušnim učinismo – po zapovijedi njegovoj je puhao prema zemlji koju smo blagoslovili; a Mi sve dobro znamo;
082_00	i šejtane neke da zbog njega rone, a radili su i poslove druge, i nad njima smo Mi bdjeli.
083_00	I Ejjubu se, kada je Gospodaru svome zavapio: "Mene je nevolja snašla, a Ti si od milostivih najmilostiviji!" –
084_00	odazvasmo i nevolju mu koja ga je morila otklonismo i vratismo mu, milošću Našom, čeljad njegovu i uz njih još toliko i da bude pouka onima koji se Nama klanjaju.
085_00	I Ismailu, i Idrisu, i Zulkiflu, a svi su oni bili strpljivi.
086_00	I obasusmo ih milošću Našom, oni doista bijahu dobri.
