001_00	Tā Hā.
002_00	Ne objavljujemo Kur'an da se mučiš,
003_00	već da bude pouka onome koji se boji –
004_00	objavljuje ga Stvoritelj Zemlje i nebesa visokih,
005_00	Milostivi, koji upravlja svemirom svim.
006_00	Njegovo je što je na nebesima i što je na Zemlji i što je između njih i što je pod zemljom!
007_00	Ako se ti glasno moliš – pa, On zna i što drugom tajno rekneš i što samo pomisliš!
008_00	Allah, drugog boga osim Njega nema, najljepša imena ima!
009_00	A da li je do tebe doprla vijest o Musau,
010_00	kada je vatru ugledao pa čeljadi svojoj rekao: "Ostanite vi tu, ja sam vatru vidio, možda ću vam nekakvu glavnju donijeti ili ću pored vatre naći nekoga ko će mi put pokazati."
011_00	A kad do nje dođe, neko ga zovnu: "O Musa,
012_00	Ja sam, uistinu, Gospodar tvoj! Izuj, zato, obuću svoju, ti si, doista, u blagoslovljenoj dolini Tuva.
013_00	Tebe sam izabrao, zato ono što ti se objavljuje slušaj!
014_00	Ja sam, uistinu, Allah, drugog boga, osim Mene, nema; zato se samo Meni klanjaj i molitvu obavljaj – da bih ti uvijek na umu bio!
015_00	Čas oživljenja će sigurno doći – od svakog ga tajim – kad će svaki čovjek prema trudu svome nagrađen ili kažnjen biti.
016_00	I neka te zato nikako ne odvrati od vjerovanja u nj onaj koji u njega ne vjeruje i koji slijedi strast svoju, pa da budeš izgubljen.
017_00	A šta ti je to u desnoj ruci, o Musa?"
018_00	"Ovo je moj štap" – odgovori on – "kojim se poštapam i kojim lišće ovcama svojim skidam, a služi mi i za druge potrebe."
019_00	"Baci ga, o Musa!" – reče On.
020_00	I on ga baci, kad on – zmija koja mili.
021_00	"Uzmi je i ne boj se" – reče On – "Mi ćemo je vratiti u ono što je bila prije.
022_00	I uvuci ruku pod pazuho svoje, ruka će se pojaviti bijela, ali ne bolesna; i eto – znamenje drugo,
023_00	da ti pokažemo neka od Naših velikih čuda.
024_00	Idi faraonu jer je u zlu svaku mjeru prevršio!"
025_00	"Gospodaru moj" – reče Musa – "učini prostranim prsa moja
026_00	i olakšaj zadatak moj;
027_00	odriješi uzao sa jezika moga
028_00	da bi razumjeli govor moj
029_00	i podaj mi za pomoćnika iz porodice moje
030_00	Haruna, brata mog;
031_00	osnaži me njime
032_00	i učini drûgom u zadatku mome,
033_00	da bismo Te mnogo hvalili
034_00	i da bismo Te mnogo spominjali,
035_00	Ti, uistinu, znaš za nas."
036_00	"Udovoljeno je molbi tvojoj, o Musa!" – reče On –
037_00	"a ukazali smo ti milost Svoju još jednom,
038_00	kada smo majku tvoju nadahnuli onim što se samo nadahnućem stječe:
039_00	'Metni ga u sanduk i u rijeku baci, rijeka će ga na obalu izbaciti, pa će ga i
039_01	Moj i njegov neprijatelj prihvatiti.' I Ja sam učinio da te svako voli i da rasteš pod okom Mojim.
040_00	Kada je sestra tvoja otišla i rekla: 'Hoćete li da vam pokažem onu koja će se o njemu brinuti?' – Mi smo te majci tvojoj povratili da se raduje i da više ne tuguje.
040_01	A ti si ubio jednog čovjeka, pa smo te Mi brige oslobodili i iz raznih nevolja te spasili. I ti si ostao godinama među stanovnicima Medjena, zatim si, o Musa, u pravo vrijeme došao
041_00	i Ja sam te za Sebe izabrao.
042_00	Idite ti i brat tvoj, sa dokazima Mojim, i neka sam vam Ja uvijek na pameti,
043_00	idite faraonu, on se, doista, osilio,
044_00	pa mu blagim riječima govorite, ne bi li razmislio ili se pobojao!"
045_00	"Gospodaru naš" – rekoše oni – "bojimo se da nas odmah na muke ne stavi ili da svaku mjeru zla ne prekorači."
046_00	"Ne bojte se!" – reče On – "Ja sam s vama, Ja sve čujem i vidim.
047_00	Idite k njemu i recite: 'Mi smo poslanici Gospodara tvoga, pusti sinove Israilove da idu s nama i nemoj ih mučiti!
047_01	Donijeli smo ti dokaz od Gospodara tvoga, a nek živi u miru onaj koji Pravi put slijedi!
048_00	Nama se objavljuje da će, sigurno, stići kazna onoga koji ne povjeruje i glavu okrene.'"
049_00	"Pa ko je Gospodar vaš, o Musa?" – upita faraon.
050_00	"Gospodar naš je Onaj koji je svemu onom što je stvorio dao ono što mu je potrebno, zatim ga, kako da se time koristi, nadahnuo."
051_00	"A šta je sa narodima davnašnjim?" – upita on.
052_00	"O njima zna sve Gospodar moj, u Knjizi je, Gospodaru mome ništa nije skriveno i On ništa ne zaboravlja.
053_00	On je za vas Zemlju posteljom učinio i po njoj vam prolaze utro, i On spušta s neba kišu!" – Samo Mi dajemo da uz njenu pomoć u parovima niče bilje raznovrsno.
054_00	Jedite i napasajte stoku svoju! To su dokazi za one koji pameti imaju.
