001_00	Obznana od Allaha i Njegova Poslanika onim mnogobošcima s kojima ste zaključili ugovore:
002_00	"Putujte po svijetu još četiri mjeseca, ali znajte da Allahu nećete umaći i da će Allah nevjernike osramotiti";
003_00	i proglas od Allaha i Njegova Poslanika ljudima na dan velikog hadža: "Allah i Njegov Poslanik ne priznaju mnogobošce." Pa ako se pokajete, to je za vas bolje; a ako se okrenete, znajte da Allahu nećete umaći!
003_01	A nevjernike obraduj kaznom nesnosnom!
004_00	Mnogobošcima s kojima imate zaključene ugovore koje oni nisu ni u čemu povrijedili, niti su ikoga protiv vas pomagali, ispunite ugovore do ugovorenog roka.
004_01	Allah zaista voli pobožne.
005_00	Kada prođu sveti mjeseci, ubijajte mnogobošce gdje god ih nađete, zarobljavajte ih, opsjedajte i na svakome prolazu dočekujte!
005_01	Pa ako se pokaju i budu molitvu obavljali i zekat davali, ostavite ih na miru, jer Allah zaista prašta i samilostan je.
006_00	Ako te neki od mnogobožaca zamoli za zaštitu, ti ga zaštiti da bi saslušao Allahove riječi, a potom ga otpremi na mjesto pouzdano za njega. To zato što oni pripadaju narodu koji ne zna.
007_00	Kako će mnogobošci imati ugovor sa Allahom i Poslanikom Njegovim?!
007_01	– Ali, s onima s kojima ste ugovor kod Časnog hrama zaključili, sve dok se oni ugovora budu pridržavali, pridržavajte se i vi, jer Allah zaista voli pobožne.
008_00	Kako, kada oni, ako bi vas pobijedili, ne bi, kad ste vi u pitanju, ni srodstvo ni sporazum poštivali?! Oni vam se ustima svojim umiljavaju, ali im se srca protive, većina njih su nevjernici.
009_00	Oni Allahove ajete za ono što malo vrijedi zamjenjuju, pa od puta Njegova odvraćaju; zaista je ružno kako postupaju.
010_00	Ni rodbinstvo ni sporazum, kada je vjernik u pitanju, ne poštuju, i sve granice zla prekoračuju.
011_00	Ali ako se oni budu pokajali i molitvu obavljali i zekat davali, braća su vam po vjeri. – A Mi dokaze objašnjavamo ljudima koji razumiju.
012_00	A ako prekrše zakletve svoje, poslije zaključenja ugovora s njima, i ako vjeru vašu budu vrijeđali, onda se borite protiv kolovođa bezvjerstva – za njih, doista, ne postoje zakletve – da bi se okanili.
