001_00	Tako Mi Gore,
002_00	i Knjige u retke napisane,
003_00	na koži razvijenoj,
004_00	i Hrama poklonika punog,
005_00	i svoda uzdignutog,
006_00	i mora napunjenog –
007_00	kazna Gospodara tvoga sigurno će se dogoditi,
008_00	niko je neće moći otkloniti
009_00	na Dan kada se nebo silno uzburka,
010_00	a planine s mjesta pomaknu!
011_00	Teško na taj Dan onima koji su poricali,
012_00	koji su se, ogrezli u laž, zabavljali! –
013_00	na Dan kada će grubo u vatru džehennemsku biti gurnuti:
014_00	"Ovo je vatra koju ste poricali.
015_00	pa, je li ovo čarolija, ili vi ne vidite?
016_00	Pržite se u njoj, isto vam je trpjeli ili ne trpjeli – to vam je kazna za ono što ste radili."
017_00	A čestiti će biti u džennetskim baščama i blaženstvu
018_00	i u onom što im je Gospodar njihov dao će uživati – njih će Gospodar njihov patnje u ognju sačuvati.
019_00	"Jedite i pijte i neka vam je prijatno, to je za ono što ste radili!"
020_00	Biće naslonjeni na divanima poredanim, a vjenčaćemo ih hurijama džennetskim.
021_00	Onima koji su vjerovali i za kojima su se djeca njihova u vjerovanju povela priključićemo djecu njihovu,
021_01	a djela njihova nećemo nimalo umanjiti – svaki čovjek je odgovoran za ono što sâm čini –
022_00	i još ćemo ih darovati voćem i mesom kakvo budu željeli;
023_00	jedni drugima će, u njemu, pune čaše dodavati – zbog njih neće biti praznih besjeda i pobuda na grijeh –
024_00	a služiće ih posluga njihova nalik na biser skriveni,
025_00	i obraćaće se jedni drugima i jedni druge će pitati:
026_00	"Prije smo među svojima strahovali" – govoriće –
027_00	"pa nam je Allah milost darovao i od patnje u ognju nas sačuvao;
028_00	mi smo Mu se prije klanjali, On je, doista, Dobročinitelj i Milostivi."
029_00	Zato ti opominji, jer ti, milošću Gospodara svoga, nisi ni prorok ni lud.
030_00	Zar oni da govore: "On je pjesnik, sačekaćemo da vidimo šta će mu suđeno biti."
031_00	"Pa čekajte" – reci ti – "i ja ću zajedno sa vama čekati!"
032_00	Da li im to dolazi od pameti njihove ili su oni inadžije tvrdoglave?
033_00	Zar oni da govore: "Izmišlja ga!" – Ne, nego oni neće da vjeruju;
034_00	zato neka oni sastave govor sličan Kur'anu, ako istinu govore!
035_00	Zar su oni bez Stvoritelja stvoreni ili su oni sami sebe stvorili?!
036_00	Zar su oni nebesa i Zemlju stvorili?! Ne, nego oni neće da vjeruju.
037_00	Zar je u njih blago Gospodara tvoga, ili, zar oni vladaju?!
038_00	Zar oni imaju ljestve, pa na njima prisluškuju? Neka onaj među njima koji tvrdi da je nešto čuo donese potvrdu očitu.
039_00	Zar da su za Njega – kćeri, a za vas da su – sinovi?!
040_00	Zar ti tražiš od njih nagradu, pa su nametom opterećeni?!
041_00	Zar je u njih iskonska knjiga, pa oni prepisuju?!
042_00	Zar oni zamke da postavljaju?! Ta u zamku će se uhvatiti baš oni koji ne vjeruju!
043_00	Zar oni drugog boga osim Allaha da imaju?! Hvaljen neka je Allah, On je iznad onih koje Mu ravnim smatraju!
044_00	I kad bi vidjeli da komad neba pada, rekli bi: "Oblaci nagomilani!"
045_00	Zato ih pusti dok se ne suoče sa Danom u kome će pomrijeti,
046_00	Danom kada im lukavstva njihova nimalo neće koristiti i kada im niko neće pomoći.
047_00	A za sve nasilnike i druga će kazna prije one biti, ali većina njih ne zna.
048_00	A ti strpljivo čekaj presudu Gospodara svoga, Mi tebe i vidimo i štitimo; i veličaj i hvali Gospodara svoga kad ustaješ,
049_00	i noću Ga veličaj i kad se zvijezde gube.
