001_00	Kada se nebo rascijepi,
002_00	i kada zvijezde popadaju,
003_00	i kada se mora jedna u druga uliju,
004_00	i kada se grobovi ispreturaju,
005_00	svako će saznati šta je pripremio, a šta je propustio.
006_00	O čovječe, zašto da te obmanjuje to što je Gospodar tvoj plemenit,
007_00	koji te je stvorio – pa učinio da si skladan i da si uspravan –
008_00	i kakav je htio lik ti dao?
009_00	A ne valja tako! Vi u Sudnji dan ne vjerujete,
010_00	a nad vama bdiju čuvari,
011_00	kod Nas cijenjeni pisari,
012_00	koji znaju ono što radite.
013_00	Čestiti će, sigurno, u Džennet,
014_00	a grješnici, sigurno, u Džehennem,
015_00	na Sudnjem danu u njemu će gorjeti
016_00	i više iz njega neće izvedeni biti.
017_00	A znaš li ti šta je Sudnji dan,
018_00	i još jednom: znaš li ti šta je Sudnji dan?
019_00	Dan kada niko nikome neće moći nimalo pomoći, toga Dana će vlast jedino Allah imati.
