001_00	Milostivi
002_00	poučava Kur'anu,
003_00	stvara čovjeka,
004_00	uči ga govoru.
005_00	Sunce i Mjesec utvrđenim putanjama plove,
006_00	i trava i drveće se pokoravaju,
007_00	a nebo je digao. I postavio je terazije
008_00	da ne prelazite granice u mjerenju –
009_00	i pravo mjerite i na teraziji ne zakidajte!
010_00	A Zemlju je za stvorenja razastro,
011_00	na njoj ima voća i palmi sa plodom u čaškama
012_00	i žita sa lišćem i miomirisna cvijeća –
013_00	pa, koju blagodat Gospodara svoga poričete?!
014_00	On je čovjeka od sasušene ilovače, kao što je grnčarija, stvorio
015_00	a džina od plamene vatre –
016_00	pa, koju blagodat Gospodara svoga poričete?! –
017_00	Gospodara dva istoka i dva zapada –
018_00	pa, koju blagodat Gospodara svoga poričete?!
019_00	Pustio je dva mora da se dodiruju,
020_00	između njih je pregrada i ona se ne miješaju –
021_00	pa, koju blagodat Gospodara svoga poričete?!
022_00	Iz njih se vadi biser i merdžan –
023_00	pa, koju blagodat Gospodara svoga poričete?!
024_00	Njegove su i lađe koje se kao brda visoko po moru uzdižu –
025_00	pa, koju blagodat Gospodara svoga poričete?!
026_00	Sve što je na Zemlji prolazno je,
027_00	ostaje samo Gospodar tvoj, Veličanstveni i Plemeniti –
028_00	pa, koju blagodat Gospodara svoga poričete?!
029_00	Njemu se mole oni koji su na nebesima i na Zemlji; svakog časa On se zanima nečim –
030_00	pa, koju blagodat Gospodara svoga poričete?!
031_00	Polagaćete Mi račun, o ljudi i džini –
032_00	pa, koju blagodat Gospodara svoga poričete?!
033_00	O družine džina i ljudi, ako možete da preko granica nebesa i Zemlje prodrete, prodrite, moći ćete prodrijeti jedino uz veliku moć! –
034_00	pa, koju blagodat Gospodara svoga poričete?!
035_00	Na vas će se ognjen plamen i rastopljeni mjed prolivati, i vi se nećete moći odbraniti –
036_00	pa, koju blagodat Gospodara svoga poričete?!
037_00	A kad se nebo razdvoji i kao ucvrkan zejtin rumeno postane –
038_00	pa, koju blagodat Gospodara svoga poričete?! –
039_00	tog Dana ljudi i džini za grijehe svoje neće biti pitani –
040_00	pa, koju blagodat Gospodara svoga poričete?!
041_00	a grješnici će se po biljezima svojim poznati, pa će za kike i noge ščepani biti –
042_00	pa, koju blagodat Gospodara svoga poričete?!
043_00	"Evo, to je Džehennem koji su grješnici poricali!"
044_00	I između vatre i ključale vode oni će kružiti –
045_00	pa, koju blagodat Gospodara svoga poričete?!
046_00	A za onoga koji se stajanja pred Gospodarom svojim bojao, biće dva perivoja –
047_00	pa, koju blagodat Gospodara svoga poričete?! –
048_00	puna stabala granatih –
049_00	pa, koju blagodat Gospodara svoga poričete?! –
050_00	u kojima će biti dva izvora koja će teći –
051_00	pa, koju blagodat Gospodara svoga poričete?! –
052_00	u njima će od svakog voća po dvije vrste biti –
053_00	pa, koju blagodat Gospodara svoga poričete?!
054_00	Odmaraće se na posteljama čije će postave od kadife biti, a plodovi u oba perivoja nadohvat ruke će stajati –
055_00	pa, koju blagodat Gospodara svoga poričete?!
056_00	U njima će biti one koje preda se gledaju, one koje, prije njih, ni čovjek ni džin nije dodirnuo –
057_00	pa, koju blagodat Gospodara svoga poričete?!
058_00	biće kao rubin i biser –
059_00	pa, koju blagodat Gospodara svoga poričete?!
060_00	Zar nagrada za dobro učinjeno djelo može biti nešto drugo do dobro?! –
061_00	pa, koju blagodat Gospodara svoga poričete?!
062_00	Osim ta dva, biće još dva neznatnija perivoja –
063_00	pa, koju blagodat Gospodara svoga poričete?! –
064_00	modrozelena –
065_00	pa, koju blagodat Gospodara svoga poričete?! –
066_00	sa izvorima koji prskaju, u svakom –
067_00	pa, koju blagodat Gospodara svoga poričete?!
068_00	u njima će biti voća, i palmi, i šipaka –
069_00	pa, koju blagodat Gospodara svoga poričete?!
070_00	u njima će biti ljepotica naravi divnih –
071_00	pa, koju blagodat Gospodara svoga poričete?! –
072_00	hurija u šatorima skrivenih –
073_00	pa, koju blagodat Gospodara svoga poričete?! –
074_00	koje prije njih ni čovjek ni džin nije dodirnuo –
075_00	pa, koju blagodat Gospodara svoga poričete?!
076_00	Oni će biti naslonjeni na uzglavlja zelena, prekrivena ćilimima čarobnim i prekrasnim –
077_00	pa, koju blagodat Gospodara svoga poričete?!
078_00	Neka je uzvišeno ime Gospodara tvoga, Veličanstvenog i Plemenitog!
