001_00	Allaha hvali sve što je na nebesima i što je na Zemlji. On je Silni i Mudri!
002_00	On je prilikom prvog progonstva iz domova njihovih protjerao one sljedbenike Knjige koji nisu vjerovali.
002_01	Vi niste mislili da će otići, a oni su mislili da će ih utvrde njihove od Allahove kazne odbraniti, ali im je Allahova kazna došla odakle se nisu nadali i On je u srca njihova strah ulio; vlastitim rukama i rukama vjernika svoje domove su rušili.
002_02	Zato uzmite iz toga pouku, o vi koji ste razumom obdareni!
003_00	Da nije bio već odredio da će biti protjerani, Allah bi ih još na ovome svijetu kaznio; ali, njih na onome svijetu čeka patnja u ognju
004_00	zato što su se Allahu i Poslaniku Njegovu suprotstavljali; a onoga ko se Allahu suprotstavi Allah će, zaista, strahovito kazniti.
005_00	To što ste neke palme posjekli ili ih da uspravno stoje ostavili – Allahovom voljom ste učinili, i zato da On nevjernike ponizi.
006_00	A vi niste kasom tjerali ni konje ni kamile radi onoga što je Allah od njih, kao plijen,
006_01	darovao Poslaniku Svome, nego, Allah prepušta vlast poslanicima Svojim nad onima nad kojima On hoće; Allah sve može.
007_00	Plijen od stanovnika sela i gradova koji Allah Poslaniku Svome daruje pripada: Allahu i Poslaniku Njegovu, i bližnjim njegovim, i siročadi,
007_01	i siromasima, i putnicima – da ne bi prelazilo iz ruku u ruke bogataša vaših; ono što vam Poslanik kao nagradu
007_02	dā – to uzmite, a ono što vam zabrani – ostavite; i bojte se Allaha jer Allah, zaista, strahovito kažnjava –
008_00	i siromašnim muhadžirima koji su iz rodnog kraja svoga protjerani i imovine svoje lišeni, koji žele da
008_01	Allahovu milost i naklonost steknu, i Allaha i Poslanika Njegova pomognu – to su, zaista, pravi vjernici –
009_00	i onima koji su Medinu za življenje izabrali i domom prave vjere još prije njih je učinili; oni vole one koji im se doseljavaju i u grudima svojim nikakvu tegobu, zato što im se daje, ne osjećaju, i više vole njima nego sebi, mada im je i samima potrebno.
009_01	A oni koji se uščuvaju lakomosti, oni će, sigurno, uspjeti.
010_00	Oni koji poslije njih dolaze – govore: "Gospodaru naš, oprosti nama i braći našoj koja su nas u vjeri pretekla
010_01	i ne dopusti da u srcima našim bude imalo zlobe prema vjernicima; Gospodaru naš, ti si, zaista, dobar i milostiv!"
011_00	Zar ne vidiš kako licemjeri govore svojim prijateljima, sljedbenicima Knjige koji ne vjeruju: "Ako budete protjerani, mi ćemo, sigurno, s vama poći i kad se bude
011_01	ticalo vas, nikada se nikome nećemo pokoriti; a ako budete napadnuti, sigurno ćemo vam u pomoć priteći" – a Allah je svjedok da su oni, zaista, lašci:
012_00	ako bi bili protjerani, oni ne bi s njima pošli; ako bi bili napadnuti, oni im ne bi u pomoć pritekli; a ako bi im u pomoć pritekli, sigurno bi pobjegli, i oni bi bez pomoći ostali.
013_00	Oni se više boje vas nego Allaha, zato što su oni ljudi nerazumni.
014_00	Samo u utvrđenim gradovima ili iza zidina oni se protiv vas smiju skupno boriti.
014_01	Oni su junaci u međusobnim borbama. Ti misliš da su oni složni, međutim, srca su njihova razjedinjena, zato što su oni ljudi koji nemaju pameti.
015_00	Slični su onima koji su, tu nedavno, svu pogubnost postupaka svojih iskusili – njih čeka nesnosna patnja;
016_00	slični su šejtanu kad kaže čovjeku: "Budi nevjernik!" – pa kad on postane nevjernik, on onda rekne: "Ti se mene više ne tičeš, ja se, zaista, Allaha, Gospodara svjetova, bojim!"
017_00	Obojicu ih na kraju čeka vatra, u kojoj će vječno boraviti, a to će biti kazna za sve nevjernike.
018_00	O vjernici, Allaha se bojte, i neka svaki čovjek gleda šta je za sutra pripremio i Allaha se bojte jer On dobro zna šta radite.
019_00	I ne budite kao oni koji su zaboravili Allaha, pa je On učinio da sami sebe zaborave; to su pravi grješnici.
020_00	Nisu jednaki stanovnici Džehennema i stanovnici Dženneta; stanovnici Dženneta će ono što žele postići.
021_00	Da ovaj Kur'an kakvom brdu objavimo, ti bi vidio kako je strahopoštovanja puno i kako bi se od straha pred Allahom raspalo.
021_01	Takve primjere navodimo ljudima da bi razmislili.
022_00	On je Allah – nema drugog boga osim Njega – On je poznavalac nevidljivog i vidljivog svijeta, On je Milostivi, Samilosni!
023_00	On je Allah – nema drugog boga osim Njega, Vladar, Sveti, Onaj koji je bez nedostataka, Onaj koji svakoga osigurava, Onaj koji nad svim bdi, Silni, Uzvišeni, Gordi.
023_01	Hvaljen neka je Allah, On je vrlo visoko iznad onih koje smatraju Njemu ravnim!
024_00	On je Allah, Tvorac, Onaj koji iz ničega stvara, Onaj koji svemu daje oblik, On ima najljepša imena. Njega hvale onī na nebesima i na Zemlji, On je Silni i Mudri.
