001_00	Jā Sīn.
002_00	Tako Mi Kur'ana mudrog,
003_00	ti si, uistinu, poslanik,
004_00	na Pravome putu,
005_00	po objavi Silnoga i Samilosnoga,
006_00	da opominješ narod čiji preci nisu bili opominjani, pa je ravnodušan!
007_00	O većini njih se već obistinila Riječ – zato oni neće vjerovati.
008_00	Mi smo učinili da budu kao oni na čije smo vratove sindžire stavili sve do podbradaka – zato su oni glava uzdignutih,
009_00	i kao oni ispred kojih i iza kojih smo pregradu metnuli i na oči im koprenu stavili – zato oni ne vide,
010_00	i njima je svejedno opominjao ih ti ili ne opominjao, oni neće vjerovati.
011_00	Tvoja opomena će koristiti samo onome koji Kur'an slijedi i Milostivoga se boji, iako Ga ne vidi; njega obraduj oprostom i nagradom lijepom!
012_00	Mi ćemo, zaista, mrtve oživiti i Mi smo zapisali ono što su uradili i djela koja su iza sebe ostavili; sve smo Mi to u Knjizi jasnoj pobrojali.
013_00	Navedi im kao pouku stanovnike jednog grada kad su im došli poslanici;
014_00	kad im Mi poslasmo dvojicu, ali im oni ne povjerovaše, i pojačasmo trećim, pa rekoše: "Mi smo vama poslani!" –
015_00	"Vi ste ljudi kao i mi" – oni odgovoriše – "Milostivi nije objavio ništa, vi neistinu govorite!"
016_00	"Gospodar naš zna da smo, doista, vama poslani" – rekoše oni –
017_00	"i dužni smo samo da jasno obznanimo."
018_00	Oni rekoše: "Mi slutimo da nam nesreću donosite; ako se ne okanite, kamenovaćemo vas i stići će vas, zaista, bolna patnja od nas."
019_00	"Uzrok vaše nesreće je s vama!" – rekoše oni. "Zar zato što ste opomenuti? Ta vi ste narod koji svaku granicu zla prelazi."
020_00	I s kraja grada žurno dođe jedan čovjek i reče: "O narode moj, slijedi one koji su poslani,
021_00	slijedite one koji od vas ne traže nikakvu nagradu, a na Pravom su putu!
022_00	Zašto da se ne klanjam Onome koji me je stvorio, a Njemu ćete se vratiti?
023_00	Zašto da prihvaćam druge bogove mimo Njega? Ako Milostivi hoće da me snađe neko zlo, njihovo posredovanje neće mi biti ni od kakve koristi i oni me neće moći spasiti,
024_00	a ja bih tada bio u pravoj zabludi;
025_00	ja vjerujem u Gospodara vašeg, čujte mene!"
026_00	I reći će se: "Uđi u Džennet!" – a on će reći: "Kamo sreće da narod moj zna
027_00	zašto mi je Gospodar moj oprostio i lijep mi prijem priredio!"
028_00	I protiv naroda njegova, poslije njega, Mi nismo vojsku s neba poslali, niti smo to ikada činili;
029_00	samo bi se čuo jedan užasan krik, i oni bi odjednom svi pomrli.
030_00	O kako su ljudi jadni! Nijedan poslanik im nije došao, a da mu se nisu narugali.
031_00	Kako oni ne znaju koliko smo prije njih naroda uništili od kojih im se niko vratio nije,
032_00	a svi oni biće zajedno pred Nas dovedeni.
033_00	Dokaz im je mrtva zemlja: Mi joj život dajemo i iz nje niče žito koje oni jedu;
