001_00	Kāf Hā Jā Ajīn Sād.
002_00	Kazivanje o milosti Gospodara tvoga prema robu Njegovu Zekerijjau,
003_00	kad je on Gospodara svoga tiho zovnuo,
004_00	i rekao: "Gospodaru moj, kosti su mi oronule i glava osijedjela, a nikada nisam, kad sam Ti, Gospodaru moj, molbu uputio, nesretan ostao.
005_00	Bojim se rođaka svojih po krvi poslije mene, a žena mi je nerotkinja, zato mi pokloni od Sebe sina
006_00	da naslijedi mene i porodicu Jakubovu, i učini, Gospodaru moj, da budeš s njim zadovoljan."
007_00	"O Zekerijja, javljamo ti radosnu vijest da će ti se dječak roditi, ime će mu Jahja biti, nikome prije njega to ime nismo htjeli dati."
008_00	"Gospodaru moj" – reče on – "kako ću imati sina kad mi je žena nerotkinja, a već sam duboku starost doživio?"
009_00	"Eto tako!" – reče. "Gospodar tvoj je rekao: 'To je Meni lahko, i tebe sam ranije stvorio, a nisi ništa bio.'"
010_00	"Gospodaru moj" – reče – "daj mi neki znak!" – "Znak će ti biti to što tri noći nećeš s ljudima razgovarati, a zdrav ćeš biti."
011_00	I on iziđe iz hrama u narod svoj i znakom im dade na znanje: "Hvalite Ga ujutro i navečer!"
012_00	"O Jahja, prihvati Knjigu odlučno!" – a dadosmo mu mudrost još dok je dječak bio
013_00	i nježnost i čednost, i čestit je bio
014_00	i roditeljima svojima bio je dobar, i nije bio drzak i nepristojan.
015_00	I neka je mir njemu na dan kada se rodio i na dan kada je umro i na dan kad bude iz mrtvih ustao!
016_00	I spomeni u Knjizi Merjemu: kada se od ukućana svojih na istočnu stranu povukla
017_00	i jedan zastor da se od njih zakloni uzela, Mi smo k njoj meleka Džibrila poslali i on joj se prikazao u liku savršeno stvorena muškarca.
018_00	"Utječem se Milostivom od tebe, ako se Njega bojiš!" – uzviknu ona.
019_00	"A ja sam upravo izaslanik Gospodara tvoga" – reče on – "da ti poklonim dječaka čista!"
020_00	"Kako ću imati dječaka" – reče ona – "kad me nijedan muškarac dodirnuo nije, a ja nisam nevaljalica!"
021_00	"To je tako!" – reče on. "Gospodar tvoj je rekao: 'To je Meni lahko', i zato da ga učinimo znamenjem ljudima i znakom milosti Naše. Tako je unaprijed određeno!"
022_00	I ona zanese i bremenita se skloni daleko negdje.
023_00	I porođajni bolovi prisiliše je da dođe do stabla jedne palme. "Kamo sreće da sam ranije umrla i da sam potpuno u zaborav pala!" – uzviknu ona.
024_00	I melek je, koji je bio niže nje, zovnu: "Ne žalosti se, Gospodar tvoj je dao da niže tebe potok poteče.
025_00	Zatresi palmino stablo, posuće po tebi datule svježe,
026_00	pa jedi i pij i budi vesela! A ako vidiš čovjeka kakva, ti reci: 'Ja sam se zavjetovala Milostivom da ću šutjeti, i danas ni s kim neću govoriti.'"
027_00	I dođe ona s njim porodici svojoj, noseći ga. "O Merjemo" – rekoše oni – "učinila si nešto nečuveno!
028_00	Ej ti, koja u čednosti ličiš Harunu, otac ti nije bio nevaljao, a ni mati tvoja nije bila nevaljalica."
029_00	A ona im na njega pokaza. "Kako da govorimo djetetu u bešici?" – rekoše.
030_00	"Ja sam Allahov rob" – ono reče – "meni će On Knjigu dati i vjerovjesnikom me učiniti
031_00	i učiniće me, gdje god budem, blagoslovljenim, i narediće mi da dok sam živ molitvu obavljam i milostinju udjeljujem,
032_00	i da majci svojoj budem dobar, a neće mi dopustiti da budem drzak i nepristojan.
033_00	I neka je mir nada mnom na dan kada sam se rodio i na dan kada budem umro i na dan kada budem iz mrtvih ustajao!"
034_00	To je Isa, sin Merjemin – to je prava istina o njemu – onaj u koga oni sumnjaju.
035_00	Nezamislivo je da Allah ima dijete, hvaljen neka je On! Kad nešto odluči, On za to rekne samo: "Budi!" – i ono bude.
036_00	Allah je, uistinu, i moj i vaš Gospodar, zato se klanjajte samo Njemu! To je Pravi put.
037_00	I sljedbenici Knjige su se o njemu u mišljenju podvojili, pa teško onima koji ne vjeruju kada budu na Danu velikom prisutni!
038_00	Kako će dobro čuti i kako će dobro vidjeti onoga Dana kad pred Nas stanu! A nevjernici su sada u očitoj zabludi!
039_00	I opomeni ih na Dan tuge kada će biti s polaganjem računa završeno, a oni su ravnodušni bili i nisu vjerovali.
040_00	Mi ćemo Zemlju i one koji žive na njoj naslijediti i Nama će se oni vratiti.
041_00	Spomeni, u Knjizi, Ibrahima! On je bio istinoljubiv, vjerovjesnik.
042_00	Kada je rekao ocu svome: "O oče moj, zašto se klanjaš onome koji niti čuje niti vidi, niti ti može od ikakve koristi biti?
043_00	O oče moj, meni dolazi znanje, a ne tebi; zato mene slijedi, i ja ću te na Pravi put uputiti;
044_00	o oče moj, ne klanjaj se šejtanu, šejtan je Milostivome uvijek neposlušan;
045_00	o oče moj, bojim se da te od Milostivog ne stigne kazna, pa da budeš šejtanu drug" –
046_00	otac njegov je rekao: "Zar ti mrziš božanstva moja, o Ibrahime? Ako se ne okaniš, zbilja ću te kamenjem potjerati, zato me za dugo vremena napusti!"
047_00	"Mir tebi!" – reče Ibrahim. "Moliću Gospodara svoga da ti oprosti, jer On je vrlo dobar prema meni.
048_00	I napustiću i vas i sve one kojima se mimo Allaha klanjate i klanjaću se Gospodaru svome; nadam se da neću biti nesretan u klanjanju Gospodaru svome."
049_00	I pošto napusti njih i one kojima su se, mimo Allaha, klanjali, Mi mu Ishaka i Jakuba darovasmo, i obojicu vjerovjesnicima učinismo
050_00	i darovasmo im svako dobro i učinismo da budu hvaljeni i po dobru spominjani.
051_00	I spomeni u Knjizi Musaa! On je bio iskren i bio je poslanik, vjerovjesnik.
052_00	Mi smo ga s desne strane Tura zovnuli i Sebi ga približili da čuje riječi Naše,
053_00	i darovali smo mu milošću Našom kao vjerovjesnika brata njegova Haruna.
054_00	I spomeni u Knjizi Ismaila! On je ispunjavao dato obećanje i bio poslanik, vjerovjesnik,
055_00	i tražio je od čeljadi svoje da molitvu obavljaju i da milostinju udjeljuju, i Gospodar njegov je bio njima zadovoljan.
056_00	I spomeni u Knjizi Idrisa! On je bio istinoljubiv i vjerovjesnik,
057_00	i Mi smo ga na visoko mjesto digli.
058_00	To su ti vjerovjesnici koje je Allah milošću Svojom obasuo, potomci Ademovi i onih koje smo sa Nuhom nosili, i potomci Ibrahimovi i Israilovi, i onih koje smo uputili i odabrali.
058_01	Kad bi im se ajeti Milostivog čitali, oni bi licem na tle padali i plakali.
059_00	A njih smijeniše zli potomci, koji molitvu napustiše i za požudama pođoše; oni će sigurno zlo proći;
060_00	ali oni koji su se pokajali, i vjerovali, i dobro činili, njima se neće nikakva nepravda učiniti, oni će u Džennet ući,
