001_00	Elif Lām Rā. Ovo su ajeti Knjige jasne!
002_00	Objavljujemo je kao Kur'an na arapskom jeziku da biste razumjeli.
003_00	Objavljujući ti ovaj Kur'an, Mi tebi o najljepšim događajima kazujemo iako prije njega nisi doista ništa znao:
004_00	Kada Jusuf reče ocu svome: "O oče moj, sanjao sam jedanaest zvijezda, i Sunce i Mjesec, i u snu sam ih vidio kako mi se pokloniše" –
005_00	on reče: "O sinko moj, ne kazuj svoga sna braći svojoj, da ti ne učine kakvu pakost, šejtan je doista čovjeku otvoreni neprijatelj.
006_00	I eto tako, Gospodar tvoj će tebe odabrati, i tumačenju snova te naučiti, i milošću Svojom tebe i Jakubovu porodicu obasuti, kao što je prije tebe obasuo pretke tvoje, Ibrahima i Ishaka.
006_01	– Gospodar tvoj, zaista, sve zna i mudar je."
007_00	U Jusufu i braći njegovoj nalaze se pouke za sve koji se raspituju.
008_00	Kada oni rekoše: "Jusuf i brat njegov draži su našem ocu od nas, a nas je čitava skupina. Naš otac, zaista, očito griješi.
009_00	Ubijte Jusufa ili ga u kakav predio ostavite – otac vaš će se vama okrenuti, i poslije toga ćete dobri ljudi biti" –
010_00	jedan od njih reče: "Ako baš hoćete nešto učiniti, onda Jusufa ne ubijte, već ga na dno nekog bunara bacite, uzeće ga kakva karavana."
011_00	"O oče naš" – rekoše oni – "zašto sumnjaš u naša osjećanja prema Jusufu? Mi mu zaista želimo dobro.
012_00	Pošalji ga sutra s nama da se zabavi i razonodi, mi ćemo ga, sigurno, čuvati."
013_00	"Biće mi doista žao ako ga odvedete, a plašim se da ga vuk ne pojede kad vi na njega ne budete pazili" – reče Jakub.
014_00	"Kako će ga vuk pojesti, a nas ovoliko!" – rekoše oni – "mi bismo tada zaista bili izgubljeni."
015_00	I kada ga odvedoše i odlučiše da ga bace na dno bunara, Mi mu objavismo: "Ti ćeš ih o ovom postupku njihovu obavijestiti, a oni te neće prepoznati."
016_00	I uvečer dođoše ocu svome plačući.
017_00	"O oče naš" – rekoše – "bili smo otišli da se trkamo, a Jusufa smo ostavili kod naših stvari, pa ga je vuk pojeo. A ti nam nećeš vjerovati, iako istinu govorimo."
018_00	I donesoše košulju njegovu lažnom krvlju okrvavljenu. "U vašim dušama je ponikla zla misao" – reče on – "i ja se neću jadati, od Allaha ja tražim pomoć protiv ovoga što vi iznosite."
