001_00	Elif Lām Mīm.
002_00	Ova Knjiga, u koju nema nikakve sumnje, uputstvo je svima onima koji se budu Allaha bojali;
003_00	onima koji u nevidljivi svijet budu vjerovali i molitvu obavljali i udjeljivali dio od onoga što im Mi budemo davali;
004_00	i onima koji budu vjerovali u ono što se objavljuje tebi i u ono što je objavljeno prije tebe, i onima koji u onaj svijet budu čvrsto vjerovali.
005_00	Njima će Gospodar njihov na Pravi put ukazati i oni će ono što žele ostvariti.
006_00	Onima koji neće da vjeruju doista je svejedno – opominjao ih ti ili ne opominjao – oni neće vjerovati.
007_00	Allah je zapečatio srca njihova i uši njihove, a pred očima njihovim je koprena; njih čeka patnja golema.
008_00	Ima ljudi koji govore: "Vjerujemo u Allaha i u onaj svijet!" – a oni nisu vjernici.
009_00	Oni nastoje prevariti Allaha i one koji vjeruju, a oni, i ne znajući, samo sebe varaju.
010_00	Njihova srca su bolesna, a Allah njihovu bolest još povećava; njih čeka bolna patnja zato što lažu.
011_00	Kada im se kaže: "Ne remetite red na Zemlji!" – odgovaraju: "Mi samo red uspostavljamo!"
012_00	Zar?! A, uistinu, oni nered siju, ali ne opažaju.
013_00	Kad im se kaže: "Vjerujte kao što pravi ljudi vjeruju!" – oni odgovaraju: "Zar da vjerujemo u ono u što bezumni vjeruju?" – A, uistinu, oni su bezumni, ali ne znaju.
014_00	Kada susretnu one koji vjeruju, govore: "Vjerujemo!" – a čim ostanu nasamo sa šejtanima svojim, govore: "Mi smo s vama, mi se samo rugamo."
015_00	Allah njih izvrgava poruzi i podržava ih da u svome nevjerstvu lutaju.
016_00	Umjesto Pravim, oni su krenuli krivim putem; njihova trgovina im nije donijela nikakvu dobit, i oni ne znaju šta rade.
017_00	Slični su onima koji potpale vatru, i kad ona osvijetli njihovu okolicu, Allah im oduzme svjetlo i ostavi ih u mraku, i oni ništa ne vide!
018_00	Gluhi, nijemi i slijepi su, nikako da se osvijeste.
019_00	Ili, oni su nalik na one, koji za vrijeme silnog pljuska s neba, u punom mraku, usred grmljavine
019_01	i munja, stavljaju zbog gromova prste u uši svoje bojeći se smrti – a nevjernici ne mogu umaći Allahu.
020_00	Munja samo što ih ne zaslijepi; kada god im ona bljesne, oni prođu, a čim utonu u mraku, stanu.
020_01	A da Allah hoće, mogao bi im oduzeti i sluh i vid, jer Allah, zaista, sve može.
021_00	O ljudi, klanjajte se Gospodaru svome, koji je stvorio vas i one prije vas, da biste se kazne sačuvali;
022_00	koji vam je Zemlju učinio posteljom, a nebo zdanjem; koji s neba spušta kišu i čini da s njom rastu plodovi, hrana za vas.
022_01	Zato ne činite svjesno druge Allahu ravnim!
023_00	A ako sumnjate u ono što objavljujemo robu Svome, načinite vi jednu suru sličnu objavljenim njemu, a pozovite i božanstva vaša, osim Allaha, ako istinu govorite.
024_00	Pa ako ne učinite, a nećete učiniti, onda se čuvajte vatre za nevjernike pripremljene, čije će gorivo biti ljudi i kamenje.
025_00	A one koji vjeruju i dobra djela čine obraduj džennetskim baščama kroz koje će rijeke teći; svaki put
025_01	kada im se iz njih da kakav plod, oni će reći: "Ovo smo i prije jeli" – a
025_02	biće im davani samo njima slični. U njima će čiste žene imati, i u njima će vječno boraviti.
026_00	Allah se ne ustručava da za primjer navede mušicu ili nešto sićušnije od nje; oni koji vjeruju – ta oni znaju da je to Istina od Gospodara njihova; a oni
026_01	koji ne vjeruju – govore: "Šta to Allah hoće sa ovim primjerom?" Time On mnoge u zabludi ostavlja, a mnogima na Pravi put ukazuje; ali, u zabludi ostavlja samo velike grješnike,
027_00	koji krše već čvrsto prihvaćenu obavezu prema Allahu i prekidaju ono što je Allah naredio da se održava, i prave nered na Zemlji; oni će nastradati.
028_00	Kako možete da ne vjerujete u Allaha, vi koji ste bili ništa, pa vam je On život dao; On će, zatim, učiniti i da pomrete i poslije će vas oživiti, a onda ćete se Njemu vratiti.
029_00	On je za vas sve što postoji na Zemlji stvorio, zatim je Svoju volju prema nebu usmjerio i kao sedam nebesa ga uredio; On sve zna.
030_00	A kada Gospodar tvoj reče melekima: "Ja ću na Zemlji namjesnika postaviti!" – oni rekoše: "Zar će Ti namjesnik biti onaj koji će na njoj nered činiti i krv proljevati?
030_01	A mi Tebe veličamo i hvalimo i, kako Tebi dolikuje, štujemo." On reče: "Ja znam ono što vi ne znate."
031_00	I pouči On Adema nazivima svih stvari, a onda ih predoči melekima i reče: "Kažite Mi nazive njihove, ako istinu govorite!"
032_00	"Hvaljen neka si" – rekoše oni – "mi znamo samo ono čemu si nas Ti poučio; Ti si Sveznajući i Mudri."
033_00	"O Ademe" – reče On – "kaži im ti nazive njihove!" I kad im on kaza nazive njihove, Allah reče: "Zar vam
033_01	nisam rekao da samo Ja znam tajne nebesa i Zemlje i da samo Ja znam ono što javno činite i ono što krijete!"
034_00	A kada rekosmo melekima: "Poklonite se Ademu!" – oni se pokloniše, ali Iblis ne htjede, on se uzoholi i posta nevjernik.
035_00	I Mi rekosmo: "O Ademe, živite, ti i žena tvoja, u Džennetu i jedite u njemu koliko god želite i odakle god hoćete, ali se ovom drvetu ne približujte pa da sami sebi nepravdu nanesete!"
036_00	I šejtan ih navede da zbog drveta posrnu i izvede ih iz onoga u čemu su bili.
036_01	"Siđite!" – rekosmo Mi – "jedni drugima ćete neprijatelji biti, a na Zemlji ćete boraviti i do roka određenoga živjeti!"
037_00	I Adem primi neke riječi od Gospodara svoga, pa mu On oprosti; On, doista, prima pokajanje, On je milostiv.
038_00	Mi rekosmo: "Silazite iz njega svi! Od Mene će vam uputstvo dolaziti, i oni koji uputstvo Moje budu slijedili – ničega se neće bojati i ni za čim neće tugovati.
039_00	A onima koji ne budu vjerovali i knjige Naše budu poricali – biće stanovnici Džehennema; u njemu će vječno ostati."
040_00	O sinovi Israilovi, sjetite se blagodati Moje koju sam vam podario, i ispunite zavjet koji ste Mi dali – ispuniću i Ja svoj koji sam vama dao, i samo se Mene bojte!
041_00	Vjerujte u ono što objavljujem, čime se potvrđuje da je istinito ono što vi imate, i ne budite prvi koji u to neće vjerovati. I ne zamjenjujte riječi Moje za nešto što malo vrijedi, i samo se Mene bojte!
042_00	I istinu sa neistinom ne miješajte i istinu svjesno ne tajite!
043_00	Molitvu obavljajte i zekat dajite i zajedno sa onima koji molitvu obavljaju i vi obavljajte!
044_00	Zar da od drugih tražite da dobra djela čine, a da pri tome sebe zaboravljate, vi koji Knjigu učite? Zar se opametiti nećete?
045_00	Pomozite sebi strpljenjem i molitvom, a to je, zaista, teško, osim poslušnima,
046_00	koji su uvjereni da će pred Gospodara svoga stati i da će se Njemu vratiti.
047_00	O sinovi Israilovi, sjetite se blagodati Moje koju sam vam podario i toga što sam vas nad ostalim ljudima bio uzdigao;
048_00	i bojte se Dana kada niko ni za koga neće moći ništa učiniti, kada se ničiji zagovor neće prihvatiti, kada se ni od koga otkup neće primiti i kada im niko neće u pomoć priteći;
049_00	i kada smo vas od faraonovih ljudi izbavili, koji su vas najgorim mukama mučili: mušku vam djecu
049_01	klali a žensku u životu ostavljali; – a to vam je bilo veliko iskušenje od Gospodara vašeg –
050_00	i kada smo zbog vas more rastavili i vas izbavili, a faraonove ljude, na oči vaše, potopili;
051_00	i kada smo Musau četrdeset noći obećanje ispunjavali, vi ste, u njegovu odsustvu, sami sebi čineći nepravdu, tele obožavati počeli.
052_00	Zatim smo vam, i poslije toga, oprostili da biste zahvalni bili;
053_00	i kada smo Musau Knjigu, koja rastavlja istinu od neistine, dali da biste Pravim putem išli;
054_00	i kada je Musa rekao narodu svome: "O narode moj, prihvativši tele, vi ste samo sebi nepravdu učinili; zato se Stvoritelju svome pokajte i između vas prestupnike smrću kaznite.
054_01	To je bolje za vas kod Stvoritelja vašeg, On će vam oprostiti! On prima pokajanje i On je milostiv";
055_00	i kada ste uglas rekli: "O Musa, mi ti nećemo vjerovati dok Allaha ne vidimo!" – munja vas je ošinula, vidjeli ste.
056_00	Zatim smo vas, poslije smrti vaše, oživili da biste zahvalni bili.
057_00	I Mi smo vam od oblaka hladovinu načinili i manu i prepelice vam slali: "Jedite
057_01	lijepa jela kojima vas opskrbljujemo!" A oni Nama nisu naudili, sami sebi su nepravdu nanijeli;
058_00	i kada smo rekli: "Uđite u ovaj grad i jedite što god hoćete i koliko god hoćete, a na kapiju
058_01	pognutih glava uđite, i recite: 'Oprosti' – oprostićemo vam grijehe vaše, a onima koji čine dobra djela daćemo i više!" –
059_00	onda su oni koji su bili nepravedni zamijenili drugom Riječ koja im je bila rečena i Mi smo na one koji su bili nepravedni s neba kaznu spustili zato što nisu poslušali;
060_00	i kada je Musa za narod svoj vodu molio, Mi smo rekli: "Udari štapom svojim po stijeni!" – i iz nje je dvanaest vrela provrelo, i svako bratstvo je vrelo iz kojeg će piti znalo.
060_01	"Jedite i pijte Allahove darove, i ne činite zlo po Zemlji nered praveći!" –
061_00	i kada ste rekli: "O Musa, mi ne možemo više jednu te istu hranu jesti, zato zamoli, u naše ime, Gospodara
061_01	svoga da nam podari od onoga što zemlja rađa: povrća, i krastavica, i pšenice, i leće, i luka crvenoga!" – on
061_02	je rekao: "Zar želite da ono što je bolje zamijenite za ono što je gore? Idite u grad, imaćete ono što
061_03	tražite!" I poniženje i bijeda na njih padoše i Allahovu srdžbu na sebe navukoše zato što u Allahove dokaze nisu vjerovali
061_04	i što su ni krive ni dužne vjerovjesnike ubijali, zato što su neposlušni bili i što su sve granice zla prelazili.
062_00	One koji su vjerovali, pa i one koji su bili jevreji, kršćani i sabejci – one koji su u Allaha i u onaj svijet vjerovali i dobra djela činili – doista čeka nagrada od Gospodara njihova; ničega se oni neće bojati i ni za čim neće tugovati!
062_01	–
063_00	i kada smo od vas zavjet uzeli i brdo iznad vas podigli: "Svojski prihvatite ono što smo vam dali i neka vam je na umu ono što je u Knjizi, da biste se kazne sačuvali!" –
