001_00	Allah će poništiti djela onih koji ne vjeruju i od puta Njegova odvraćaju.
002_00	A onima koji vjeruju i dobra djela čine i vjeruju u ono što se objavljuje Muhammedu – a to je Istina od Gospodara njihova – On će preko hrđavih postupaka njihovih preći i prilike njihove će poboljšati,
003_00	zato što nevjernici slijede neistinu, a vjernici slijede Istinu od Gospodara svoga. Tako Allah navodi zbog ljudi primjere njihove.
004_00	Kada se u borbi s nevjernicima sretnete po šijama ih udarajte sve dok ih ne oslabite, a onda ih vežite, i poslije, ili ih velikodušno sužanjstva oslobodite ili otkupninu zahtijevajte, sve dok borba ne prestane. Tako učinite!
004_01	Da Allah hoće, On bi im se osvetio, ali On želi da vas iskuša jedne pomoću drugih. On neće poništiti djela onih koji na Allahovu putu poginu,
005_00	i On će ih, sigurno, uputiti i prilike njihove poboljšati,
006_00	i u Džennet ih uvesti, o kome ih je već upoznao.
007_00	O vjernici, ako Allaha pomognete, i On će vama pomoći i korake vaše učvrstiti.
008_00	A onima koji ne vjeruju – propast njima! On neće djela njihova prihvatiti,
009_00	zato što ne vole ono što Allah objavljuje, i On će djela njihova poništiti.
010_00	Zašto oni ne idu po svijetu da vide kakav je bio konac onih prije njih? Njih je Allah istrijebio, a to čeka i ostale nevjernike,
011_00	zato što je Allah zaštitnik onih koji vjeruju i što nevjernici zaštitnika nemaju.
012_00	Allah će one koji vjeruju i dobra djela čine uvesti u džennetske bašče kroz koje će rijeke teći, a
012_01	oni koji ne vjeruju – koji se naslađuju i žderu kao što stoka ždere – njihovo će prebivalište vatra biti!
013_00	A koliko smo gradova razorili, mnogo moćnijih od tvoga grada koji te protjerao, i nije bilo nikoga da im pomogne.
014_00	Zar je onaj koji ima jasnu predstavu o Gospodaru svom kao onaj kojem se lijepim čine ružna djela njegova i koji se za strastima svojim povodi?
015_00	Zar je Džennet, koji je obećan onima koji se Allaha boje – u kome su rijeke od vode neustajale i rijeke od mlijeka nepromijenjena ukusa,
015_01	i rijeke od vina, prijatna onima koji piju, i rijeke od meda procijeđenog i gdje ima voća svakovrsnog i oprosta od Gospodara njihova – zar
015_02	je to isto što i patnja koja čeka one koji će u vatri vječno boraviti, koji će se uzavrelom vodom pojiti, koja će im crijeva kidati!
016_00	Ima onih koji dolaze da te slušaju, a čim se od tebe udalje, pitaju one kojima je dato znanje:
016_01	"Šta ono on maloprije reče?" To su oni čija je srca Allah zapečatio i koji se za strastima svojim povode.
017_00	A one koji su na Pravome putu On će i dalje voditi i nadahnuće ih kako će se vatre sačuvati.
018_00	Zar oni čekaju da im Smak svijeta iznenada dođe, a već su predznaci njegovi tu? A šta će im koristiti opomena kad im on dođe?
019_00	Znaj da nema boga osim Allaha! Traži oprosta za svoje grijehe i za vjernike i za vjernice! Allah zna kud se krećete i gdje boravite.
020_00	A oni koji vjeruju govore: "Zašto se ne objavi jedna sura?" A kad bî
020_01	objavljena jasna sura i u njoj spomenuta borba, ti si mogao vidjeti one čija
020_02	su srca pritvorna kako te gledaju pogledom pred smrt onesviještenog! A bolja bi im bila
021_00	poslušnost i razuman govor! A kada je borba već propisana, bolje bi im bilo da su prema Allahu iskreni.
022_00	Zar i vi ne biste, kada biste se vlasti dočepali, nered na Zemlji činili i rodbinske veze kidali!
023_00	To su oni koje je Allah prokleo i gluhim i slijepim ih učinio.
024_00	Kako oni ne razmisle o Kur'anu, ili su im na srcima katanci!
025_00	One koji su od vjere svoje otpali, pošto im je bio jasan Pravi put, šejtan je na grijeh navodio i lažnu im nadu ulivao.
026_00	To zato što su govorili onima koji ne vole ono što Allah objavljuje: "Mi ćemo vam se u nekim stvarima pokoravati" – a Allah dobro zna njihove tajne.
027_00	A kako će tek biti kada im meleki budu duše uzimali udarajući ih po obrazima i po leđima njihovim!
028_00	To će biti zato što su ono što izaziva Allahovu srdžbu slijedili, a ono čime je On zadovoljan prezirali; On će djela njihova poništiti.
029_00	Zar onī bolesnih srca misle da Allah zlobe njihove na vidjelo neće iznijeti?
030_00	A da hoćemo, Mi bismo ti ih, uistinu, pokazali i ti bi ih, sigurno, po biljezima njihovim poznao. Ali, ti ćeš ih poznati po načinu govora njihova – A Allah zna postupke vaše.
031_00	Mi ćemo vas provjeravati sve dok ne ukažemo na borce i postojane među vama, a i vijesti o vama provjeravaćemo.
032_00	Oni koji ne vjeruju i od Allahova puta odvraćaju, koji su Poslanikovi protivnici, kad im je već postao jasan Pravi put, zaista neće nimalo Allahu nauditi. On će djela njihova poništiti.
033_00	O vjernici, pokoravajte se Allahu i pokoravajte se Poslaniku, i ne ništite djela svoja!
034_00	Onima koji ne vjeruju i od Allahova puta odvraćaju, pa poslije kao nevjernici umru, Allah, zaista, neće oprostiti.
035_00	I ne budite kukavice i ne nudite primirje kad ste jači, jer Allah je s vama, On vas neće nagrada za djela vaša lišiti.
036_00	Život na ovome svijetu je samo igra i zabava! A ako budete vjerovali i grijehe izbjegavali, On će vas nagraditi i imanja vaša od vas neće tražiti.
037_00	Ako bi ih od vas tražio i prema vama uporan bio, postali biste škrti i On bi učinio vidljivim vaše mržnje.
038_00	Vi se, eto, pozivate da trošite na Allahovu putu, ali, neki od vas su škrti – a ko škrtari, na svoju štetu škrtari, jer Allah je bogat, a vi ste siromašni.
038_01	– A ako glave okrenete, On će vas drugim narodom zamijeniti, koji onda kao što ste vi neće biti.
