001_00	Hā Mīm.
002_00	Knjigu objavljuje Allah, Silni i Sveznajući,
003_00	koji oprašta grijehe i prima pokajanje, koji strahovito kažnjava i obilno nagrađuje; drugog boga osim Njega nema, Njemu se sve vraća.
004_00	O Allahovim ajetima raspravljaju samo oni koji ne vjeruju, pa neka te ne obmanjuje to što se oni po svijetu kreću.
005_00	I Nuhov narod je prije njih poricao, a i poslije njega oni koji su se bili protiv poslanika urotili.
005_01	Svaki narod nastojao je da se domogne svoga poslanika i trudio se da neistinom uguši istinu, pa sam ga Ja kažnjavao – a kakva je bila kazna Moja!
006_00	I tako će se riječ Gospodara tvoga ispuniti da će oni koji nisu htjeli da vjeruju – stanovnici u vatri biti.
007_00	Meleki koji drže Prijesto i oni koji su oko njega veličaju i hvale Gospodara svoga i vjeruju u Nj i mole se da budu oprošteni grijesi
007_01	vjernicima: "Gospodaru naš, Ti sve obuhvaćaš milošću i znanjem; zato oprosti onima koji su se pokajali i koji slijede Tvoj put i sačuvaj ih patnje u vatri!
008_00	Gospodaru naš, uvedi ih u edenske vrtove, koje si im obećao, i pretke njihove i žene njihove i potomstvo njihovo – one koji su bili dobri; Ti si, uistinu, silan i mudar.
009_00	I poštedi ih kazne zbog ružnih djela, jer koga Ti toga dana poštediš kazne zbog ružnih djela – Ti si mu se smilovao, a to će, zaista, veliki uspjeh biti!"
010_00	Onima koji nisu vjerovali doviknuće se: "Allahova odvratnost prema vama kad ste, pozivani da vjerujete, ostali nevjernici – bila je, doista, veća od vaše odvratnosti sada prema sebi."
011_00	"Gospodaru naš" – reći će oni – "dva puta si nas usmrtio i dva puta si nas oživio; mi priznajemo grijehe naše, pa ima li ikakva načina da se iziđe?"
012_00	"To vam je zato što niste vjerovali kad se pozivalo Allahu Jedinom, a vjerovali ste ako bi Mu se neko drugi smatrao jednakim! Odluka pripada jedino Allahu, Uzvišenom i Velikom."
013_00	On vam pokazuje znamenja Svoja i spušta vam opskrbu s neba, a pouku će prihvatiti samo onaj koji se Njemu obraća.
014_00	Klanjajte se zato Allahu, iskreno Mu ispovijedajući vjeru – pa makar to nevjernicima bilo mrsko –
015_00	Onome najuzvišenijem, koji svemirom vlada, koji šalje Objavu, riječi Svoje – kome hoće od robova Svojih, da upozori na Dan susreta međusobnog,
016_00	na Dan kad će se oni pojaviti, kada Allahu neće o njima ništa skriveno biti. "Ko će imati vlast toga dana?" – "Allah, Jedini i Svemoćni!"
017_00	Svaki čovjek će toga Dana prema zasluzi kažnjen ili nagrađen biti; toga Dana neće biti nepravde! Allah će, zaista, brzo obračunati.
018_00	I upozori ih na bliski Sudnji dan kada će srca do grkljana doprijeti i popriječiti se, kada nevjernici ni prisna prijatelja ni posrednika neće imati koji će uslišan biti.
019_00	On zna poglede koji kriomice u ono što je zabranjeno gledaju, a i ono što grudi kriju;
020_00	Allah će po pravdi presuditi, a oni kojima se oni, pored Njega, klanjaju – neće ni po čemu suditi. Allah, zaista, sve čuje i sve vidi.
021_00	Zašto oni ne putuju po svijetu pa da vide kako su završili oni prije njih.
021_01	Bili su od njih moćniji i više spomenika su na Zemlji ostavili, ali ih je Allah, zbog grijehova njihovih, kaznio i niko ih od Allahove kazne nije odbranio.
022_00	Allah ih je kaznio zato što su poricali jasne dokaze koje su im poslanici njihovi donosili, On je, zaista, moćan, On strahovito kažnjava.
023_00	Mi smo poslali Musaa sa znamenjima Našim i dokazom jasnim
024_00	faraonu i Hamanu i Karunu, ali su oni rekli: "Čarobnjak i lažov!"
025_00	A kada im je on donio Istinu od Nas, rekli su: "Ubijajte opet mušku djecu onih koji vjeruju
025_01	u ono što on govori, a ostavljajte u životu njihovu žensku djecu!" – Ali, lukavstva nevjernika su uvijek uzaludna.
026_00	"Pustite vi mene" – reče faraon – "da ubijem Musaa, a on neka traži pomoć od Gospodara svoga, jer se bojim da vam on vjeru vašu ne izmijeni ili da u zemlji nered ne izazove."
027_00	Musa reče: "Molim Gospodara svoga i Gospodara vašega da me zaštiti od svakog oholog koji ne vjeruje u Dan u kome će se račun polagati!"
028_00	A jedan čovjek, vjernik, iz porodice faraonove, koji je krio vjerovanje svoje, reče: "Zar da ubijete čovjeka zato što govori: 'Gospodar moj je Allah!', onoga koji vam je donio jasne dokaze od Gospodara vašeg?
028_01	Ako je lažov, njegova laž će njemu nauditi, a ako govori istinu, onda će vas stići barem nešto od onoga čime vam prijeti, jer Allah neće ukazati na Pravi put onome koji u zlu pretjeruje i koji mnogo laže.
029_00	O narode moj, danas vama pripada vlast i vi ste na vrhovima u zemlji, ali ko će nas odbraniti od Allahove kazne
029_01	ako nas ona stigne?" A faraon reče: "Savjetujem vam samo ono što mislim, a na Pravi put ću vas samo ja izvesti."
030_00	A onda onaj vjernik reče: "O narode moj, bojim se da i vas ne stigne ono što je stiglo narode koji su se protiv poslanika bili urotili,
031_00	kao što je to bilo sa Nuhovim narodom i Adom i Semudom i onima poslije njih. – A Allah nije nepravedan robovima Svojim.
032_00	O narode moj, plašim se šta će biti s vama na Dan kada budete jedni druge dozivali,
033_00	na Dan kada budete uzmičući bježali, kada vas od Allaha neće moći niko odbraniti. A onoga koga Allah u zabludi ostavi, toga neće niko uputiti.
034_00	Jusuf vam je, još davno, donio jasne dokaze, ali ste vi stalno sumnjali u ono što vam je donio.
034_01	A kad je on umro, vi ste rekli: 'Allah više neće poslije njega poslati poslanika!' Eto tako Allah ostavlja u zabludi svakoga ko u zlu pretjeruje i sumnja,
035_00	one koji o Allahovim znamenjima raspravljaju, iako im nikakav dokaz nije došao, pa izazivaju još veću Allahovu mržnju i mržnju vjernika.
035_01	– Tako Allah pečati srce svakog oholog i nasilnog."
036_00	"O Hamane" – reče faraon – "sagradi mi jedan toranj ne bih li stigao da staza,
