001_00	Kāf. Tako Mi Kur'ana slavnog,
002_00	oni se čude što im je došao jedan od njih da ih opominje, pa, nevjernici, govore: "To je čudna stvar:
003_00	zar kad pomremo i zemlja postanemo…? Nezamisliv je to povratak!"
004_00	Mi znamo šta će od njih zemlja oduzeti, u Nas je Knjiga u kojoj se sve čuva.
005_00	Oni, međutim, poriču Istinu koja im dolazi i smeteni su.
006_00	A zašto ne pogledaju nebo iznad sebe? – kako smo ga sazdali i ukrasili i kako u njemu nema nereda!
007_00	A Zemlju smo rasprostrli i po njoj nepomična brda pobacali i dali da iz nje niče raznovrsno prekrasno bilje,
008_00	da bi razmislio i opomenuo se svaki rob koji se Gospodaru svome obraća.
009_00	Mi s neba spuštamo vodu kao blagoslov, i činimo da, uz pomoć njenu, niču vrtovi i žito koje se žanje
010_00	i visoke palme u kojih su zameci nagomilani jedni iznad drugih,
011_00	kao hranu robovima, i Mi njome oživljavamo mrtav predjel; takvo će biti i oživljenje.
012_00	Prije njih poricali su narod Nuhov, i stanovnici Ressa, i Semud
013_00	i Ad, i narod faraonov, i narod Lutov,
014_00	i stanovnici Ejke i narod Tubba'; svi su oni poslanike lažnim smatrali i kaznu Moju zaslužili.
015_00	Pa zar smo prilikom prvog stvaranja malaksali? Ne, ali oni u ponovno stvaranje sumnjaju.
016_00	Mi stvaramo čovjeka i znamo šta mu sve duša njegova haje, jer Mi smo njemu bliži od vratne žile kucavice.
017_00	Kad se dvojica sastanu i sjednu jedan s desne, a drugi s lijeve strane,
018_00	on ne izusti nijednu riječ, a da pored njega nije prisutan onaj koji bdije.
019_00	Smrtne muke će zbilja doći – to je nešto od čega ne možeš pobjeći
020_00	i u Rog će se puhnuti – to je Dan kojim se prijeti –
021_00	i svako će doći, a s njim i vodič i svjedok.
022_00	"Ti nisi mario za ovo, pa smo ti skinuli koprenu tvoju, danas ti je oštar vid."
023_00	A drug njegov će reći: "Ovaj, pored mene, spreman je."
024_00	"Baci u Džehennem svakog nezahvalnika, inadžiju,
025_00	koji je branio da se čine dobra djela i koji je nasilnik i podozriv bio,
026_00	koji je pored Allaha u drugog boga vjerovao – zato ga baci u patnju najtežu!"
027_00	A drug njegov će reći: "Gospodaru naš, ja ga nisam silom zaveo, sam je u velikoj zabludi bio."
028_00	"Ne prepirite se preda Mnom!" – reći će On – "još davno sam vam zaprijetio,
029_00	Moja Riječ se ne mijenja i Ja nisam prema robovima Svojim nepravičan."
030_00	Na dan kada upitamo Džehennem: "Jesi li se napunio?" – on će odgovoriti: "Ima li još?"
031_00	A Džennet će biti primaknut čestitima, neće biti ni od jednog daleko –
032_00	"Ovo je ono što vam je obećano, svakome onome koji se kajao i čuvao,
033_00	koji se Milostivoga bojao, iako Ga nije vidio, i koji je srce odano donio.
034_00	Uđite u nj, u miru, ovo je Dan vječni!"
035_00	U njemu će imati što god zažele – a od Nas i više.
036_00	A koliko smo naroda prije ovih uništili, koji su moćniji od njih bili, pa su po svijetu utočište tražili – od propasti spasa ima li?!
037_00	U tome je, zaista, pouka za onoga ko razum ima ili ko sluša, a priseban je.
038_00	Mi smo stvorili nebesa i Zemlju i ono što je između njih – za šest vremenskih razdoblja, i nije Nas ophrvao nikakav umor.
039_00	Zato strpljivo podnosi ono što oni govore i veličaj Gospodara svoga i zahvaljuj Mu prije sunčeva izlaska i prije zalaska,
040_00	i veličaj Ga noću i poslije obavljanja molitvi.
041_00	I osluškuj! Dan kada će glasnik pozvati iz mjesta koje je blizu,
042_00	Dan kada će oni čuti istinit glas – to će biti Dan oživljenja.
043_00	Mi, zaista, dajemo život i dajemo smrt, i sve će se Nama vratiti!
044_00	A na Dan kada će nad njima zemlja popucati oni će žurno izići; biće to oživljenje, za Nas lahko.
045_00	Mi dobro znamo šta oni govore; ti ih ne možeš prisiliti, nego podsjeti Kur'anom onoga koji se prijetnje Moje boji!
