001_00	O ti, pokriveni!
002_00	Ustani i opominji!
003_00	I Gospodara svoga veličaj!
004_00	I haljine svoje očisti!
005_00	I kumīrā se kloni!
006_00	I ne prigovaraj držeći da je mnogo!
007_00	I radi Gospodara svoga trpi!
008_00	A kada se u Rog puhne –
009_00	biće to naporan dan
010_00	nevjernicima, neće biti lagahan.
011_00	Meni ostavi onoga koga sam Ja izuzetkom učinio
012_00	i bogatstvo mu ogromno dao
013_00	i sinove koji su s njim
014_00	i čast i ugled mu pružio –
015_00	i još žudi da uvećam!
016_00	Nikako! On, doista, prkosi ajetima Našim –
017_00	a naprtiću Ja njemu teškoće,
018_00	jer je smišljao i računao –
019_00	i, proklet bio, kako je proračunao!
020_00	i još jednom, proklet bio, kako je proračunao! –
021_00	Zatim je pogledao
022_00	pa se onda smrknuo i namrštio
023_00	i potom se okrenuo i uzoholio,
024_00	i rekao: "Ovo nije ništa drugo do vradžbina koja se nasljeđuje,
025_00	ovo su samo čovjekove riječi!"
026_00	U Sekar ću Ja njega baciti –
027_00	a znaš li ti šta je Sekar?
028_00	Ništa on neće poštedjeti,
029_00	kože će crnim učiniti,
030_00	nad njim su devetnaesterica.
031_00	Mi smo čuvarima vatre meleke postavili i odredili broj njihov kao iskušenje onima koji ne vjeruju, da se oni kojima je Knjiga data
031_01	uvjere, i da se onima koji vjeruju vjerovanje učvrsti, i da oni kojima je Knjiga data i oni koji su vjernici ne sumnjaju,
031_02	i da oni čija su srca bolesna i oni koji su nevjernici – kažu: "Šta je Allah htio ovim primjerom?" Tako Allah ostavlja
031_03	u zabludi onoga koga hoće, i na Pravi put ukazuje onome kome hoće. A vojske Gospodara tvoga samo On zna. I Sekar je ljudima samo opomena.
032_00	I tako Mi Mjeseca,
033_00	i noći kada mine,
034_00	i zore kada svane –
035_00	on je, zaista, najveća nevolja,
036_00	ljudima je opomena –
037_00	onome između vas koji želi učiniti dobro ili onome koji ne želi!
038_00	Svaki čovjek je odgovoran za ono što je radio,
039_00	osim sretnīkā,
040_00	oni će se u džennetskim baščama raspitivati
041_00	o nevjernicima:
042_00	"Šta vas je u Sekar dovelo?"
043_00	"Nismo" – reći će – "bili od onih koji su molitvu obavljali
044_00	i od onih koji su siromahe hranili,
045_00	i u besposlice smo se sa besposlenjacima upuštali,
046_00	i Sudnji dan smo poricali,
047_00	sve dok nam smrt nije došla."
048_00	Njima posredovanje posrednika neće biti od koristi.
049_00	Pa zašto oni pouku izbjegavaju,
050_00	kao da su divlji magarci preplašeni
051_00	koji od onih koji ih progone bježe.
052_00	Da! Svaki čovjek bi od njih htio da mu se daju listovi rašireni.
053_00	Nikada, jer oni se onoga svijeta ne plaše!
054_00	Uistinu! Kur'an je pouka,
055_00	i ko hoće, na umu će ga imati,
056_00	a na umu će ga imati samo ako Allah bude htio, On je jedini dostojan da Ga se boje i On jedini prašta.
