001_00	Elif Lām Mīm.
002_00	Bizantinci su pobijeđeni
003_00	u susjednoj zemlji, ali oni će, poslije poraza svoga, sigurno pobijediti
004_00	za nekoliko godina – i prije, i poslije, Allahova je odluka – i tada će se vjernici radovati
005_00	Allahovoj pomoći – On pomaže kome hoće, On je Silni i Samilosni –
006_00	obećanje je Allahovo, a Allah će obećanje Svoje ispuniti, ali većina ljudi ne zna;
007_00	oni znaju samo spoljašnju stranu života na ovome svijetu, a prema onome svijetu su ravnodušni.
008_00	A zašto ne razmisle sami o sebi?
008_01	Allah je stvorio nebesa i Zemlju i ono što je između njih – sa ciljem i do roka određenog. A mnogi ljudi ne vjeruju da će pred Gospodara svoga doista izaći.
009_00	Zašto ne putuju po svijetu pa da vide kako su završili oni prije njih? Oni su
009_01	bili od njih jači, i zemlju su orali i obrađivali je više nego što je obrađuju
009_02	ovi, i poslanici su im donosili jasne dokaze; Allah im nije učinio nepravdu, sami su sebi nepravdu nanijeli.
010_00	Oni koji su zlo činili završiće najužasnijom patnjom, zato što su Allahove riječi poricali i što su ih ruglu izvrgavali.
011_00	Allah iz ničega stvara, On će to ponovo učiniti i na kraju Njemu ćete se vratiti.
012_00	Na dan kad nastupi Čas – mnogobošci će svaku nadu izgubiti:
013_00	božanstva njihova neće im biti zagovornici, a zbog božanstava svojih bili su nevjernici.
014_00	Na dan kad nastupi Čas oživljenja – ljudi će se razdvojiti:
015_00	oni koji su vjerovali i dobra djela činili – u džennetskom perivoju će se radovati,
016_00	a oni koji nisu vjerovali i koji su ajete Naše i susret na Sudnjem danu poricali – u trajnoj će muci biti.
017_00	Pa, hvaljen neka je Allah kad god omrknete i kad god osvanete –
018_00	Njemu neka je pohvala i na nebesima i na Zemlji – i predvečer i u podne! –
019_00	On iz neživog stvara živo i živo pretvara u neživo. On oživljava zemlju nakon mrtvila njezina – isto tako ćete i vi biti oživljeni.
020_00	Jedan od dokaza Njegovih je to što vas od zemlje stvara, i odjednom vas, ljudi, svuda ima razasutih;
