001_00	Enyi watu! Mcheni Mola wenu Mlezi. Hakika tetemeko la Saa (ya Kiyama) ni jambo kuu.
002_00	Siku mtapo iona, kila mwenye kunyonyesha atamsahau amnyonyeshaye, na kila mwenye mimba ataharibu mimba yake.
002_01	Na utaona watu wamelewa, na kumbe hawakulewa. Lakini adhabu ya Mwenyezi Mungu ni kali.
003_00	Na miongoni mwa watu wapo wanao bishana juu ya Mwenyezi Mungu bila ya ilimu, na wanamfuata kila shet'ani aliye asi.
004_00	Ameandikiwa kwamba anaye mfanya kuwa rafiki, basi huyo hakika atampoteza na atamwongoza kwenye adhabu ya Moto mkali.
005_00	Enyi watu!
005_01	Ikiwa nyinyi mna shaka ya kufufuliwa basi kwa hakika Sisi tulikuumbeni kutokana na udongo, kisha kutokana na manii, kisha kutokana na kipande cha damu ilio gandana, kisha kutokana na kipande cha nyama chenye umbo na kisicho kuwa na umbo, ili tukubainishieni.
005_02	Nasi tunakiweka katika matumbo ya uzazi tunacho kitaka mpaka muda ulio wekwa.
005_03	Kisha tunakutoeni kwa hali ya mtoto mchanga, kisha mfikie kutimia akili.
005_04	Na wapo katika nyinyi wanao kufa, na wapo katika nyinyi wanao rudishwa kwenye umri wa unyonge kabisa, hata mtu awe hajui kitu baada ya kuwa anakijua. Na unaiona ardhi imetulia kimya, lakini tunapo yateremsha maji juu yake husisimka na kututumka, na kumea kila namna ya mimea mizuri.
006_00	Hayo ni kwa sababu hakika Mwenyezi Mungu ndiye Haki, na kwamba hakika Yeye ndiye mwenye kuhuisha wafu, na kwamba hakika Yeye ni Muweza wa kila kitu.
007_00	Na kwamba hakika Saa itakuja hapana shaka kwa hilo, na kwamba hakika Mwenyezi Mungu atawafufua walio makaburini.
008_00	Na katika watu wapo wanao bishana juu ya Mwenyezi Mungu bila ya ilimu, wala uwongofu, wala Kitabu chenye nuru.
009_00	Anaye geuza shingo yake ili kupoteza watu waache Njia ya Mwenyezi Mungu. Duniani atapata hizaya, na Siku ya Kiyama tutamwonjesha adhabu ya kuungua.
010_00	(Ataambiwa): Hayo ni kwa sababu ya iliyo tanguliza mikono yako. Na hakika Mwenyezi Mungu si dhaalimu kwa waja.
011_00	Na katika watu wapo wanao muabudu Mwenyezi Mungu kwa ukingoni.
011_01	Ikimfikia kheri hutulia kwayo, na ukimfikia msukosuko hugeuza uso wake. Amekhasiri dunia na Akhera; hiyo ndiyo khasara iliyo wazi.
012_00	Badala ya Mwenyezi Mungu, yeye huomba kisicho mdhuru wala kumnufaisha. Huko ndiko kupotolea mbali!
013_00	Humuomba yule ambaye bila ya shaka dhara yake ipo karibu zaidi kuliko nafuu yake. Kwa hakika huyo ni mlinzi muovu, na rafiki muovu.
014_00	Hakika Mwenyezi Mungu atawaingiza walio amini na wakatenda mema katika Bustani zipitazo mito kati yake. Hakika Mwenyezi Mungu hutenda atakayo.
015_00	Anaye dhani kwamba Mwenyezi Mungu hatamnusuru (Mtume) katika dunia na Akhera na afunge kamba kwenye dari kisha aikate. Atazame je hila yake itaondoa hayo yaliyo mkasirisha?
016_00	Na namna hivi tumeiteremsha (Qur'ani) kuwa ni Aya zilizo wazi, na hakika Mwenyezi Mungu humwongoa amtakaye.
017_00	Hakika walio amini, na ambao ni Mayahudi na Wasabai na Wakristo na Majusi na wale walio shiriki - hakika Mwenyezi Mungu atawapambanua baina yao Siku ya Kiyama.
017_01	Hakika Mwenyezi Mungu ni Shahidi wa kila kitu.
018_00	Je! Huoni kwamba vinamsujudia Mwenyezi Mungu viliomo mbinguni na viliomo katika ardhi, na jua, na mwezi, na nyota, na milima, na miti, na wanyama, na wengi miongoni mwa watu.
018_01	Na wengi imewastahiki adhabu. Na anaye fedheheshwa na Mwenyezi Mungu hana wa kumhishimu. Hakika Mwenyezi Mungu hutenda apendayo.
019_00	Hawa wagomvi wawili walio gombana kwa ajili ya Mola wao Mlezi. Basi walio kufuru watakatiwa nguo za moto, na yatamiminwa juu ya vichwa vyao maji yanayo chemka.
020_00	Kwa maji hayo vitayayushwa viliomo matumboni mwao, na ngozi zao pia.
021_00	Na kwa ajili yao yatakuwapo marungu ya chuma.
022_00	Kila wakitaka kutoka humo kwa sababu ya uchungu watarudishwa humo humo, na wataambiwa: Onjeni adhabu ya kuungua!
023_00	Hakika Mwenyezi Mungu atawaingiza walio amini na wakatenda mema katika Bustani zipitiwazo na mito kati yake.
023_01	Watapambwa humo kwa mapambo ya mikononi ya dhahabu na lulu. Na mavazi yao humo ni hariri.
024_00	Na wataongozwa kwenye maneno mazuri, na wataongozwa kwenye Njia ya Msifiwa.
025_00	Hakika wale walio kufuru na wakazuilia Njia ya Mwenyezi Mungu na Msikiti Mtakatifu, ambao tumeufanya kwa ajili ya watu wote sawasawa, kwa wakaao humo na wageni.
025_01	Na kila atakaye taka kufanya upotofu humo kwa dhulma, basi tutamwonjesha adhabu chungu.
