001_00	Alif Lam Mim (A. L. M.)
002_00	Huu ni mteremsho wa Kitabu kisicho kuwa na shaka yoyote kinacho toka kwa Mola Mlezi wa walimwengu wote.
003_00	Au wanasema: Amekizua? Bali hichi ni Kweli iliyo toka kwa Mola wako Mlezi ili uwaonye watu wasio fikiwa na mwonyaji kabla yako; huenda wakaongoka.
004_00	Mwenyezi Mungu ndiye aliye umba mbingu na ardhi na viliomo baina yao kwa siku sita, na akatawala kwenye Kiti cha Enzi.
004_01	Nyinyi hamna mlinzi wala mwombezi isipo kuwa Yeye tu. Basi, je, hamkumbuki?
005_00	Anapitisha mambo yote yalio baina mbingu na ardhi, kisha yanapanda kwake kwa siku ambayo kipimo chake ni miaka elfu kwa mnavyo hisabu nyinyi.
006_00	Huyu ndiye Mwenye kuyajua yasiyo onekana na yanayo onekana. Mwenye nguvu, Mwenye kurehemu.
007_00	Ambaye ametengeneza vizuri umbo la kila kitu; na akaanzisha kumuumba mtu kwa udongo.
008_00	Na kisha akajaalia uzao wake utokane na kizazi cha maji madhaifu.
009_00	Kisha akamtengeneza, na akampulizia roho yake, na akakujaalieni kusikia na kuona, na nyoyo za kufahamu. Ni uchache mnavyo shukuru.
010_00	Nao husema: Tutapo kwisha potea chini ya ardhi, ni kweli tutarudishwa katika umbo jipya? Bali wao wanakanusha kwamba watakutana na Mola wao Mlezi.
011_00	Sema: Atakufisheni Malaika wa mauti aliye wakilishwa juu yenu; kisha mtarejeshwa kwa Mola wenu Mlezi.
012_00	Na ungeli waona wakosefu wanvyo inamisha vichwa vyao mbele ya Mola wao Mlezi, (wakisema): Mola wetu Mlezi! Tumesha ona, na tumesha sikia. Turejeshe tukatende mema, kwani hakika sisi tumekwisha kuwa na yakini sasa.
013_00	Na lau tungeli taka tunge mpa kila mtu uwongofu wake. Lakini imekwisha kuwa kauli iliyo toka kwangu: Kwa yakini nitaijaza Jahannamu kwa wote hawa, majini na watu.
014_00	Basi onjeni kwa vile mlivyo usahau mkutano wa Siku yenu hii. Na Sisi hakika tunakusahauni. Basi onjeni adhabu ya milele kwa yale mliyo kuwa mkiyatenda.
015_00	Hakika wanao ziamini Aya zetu ni hao tu ambao wakikumbushwa hizo, basi wao huanguka kusujudu, na humsabihi Mola wao Mlezi kwa kumhimidi, nao hawajivuni.
016_00	Mbavu zao zinaachana na vitanda kwa kumwomba Mola wao Mlezi kwa khofu na kutumaini, na hutoa kutokana na tulivyo waruzuku.
017_00	Nafsi yoyote haijui waliyo fichiwa katika hayo yanayo furahisha macho - ni malipo ya yale waliyo kuwa wakiyatenda.
018_00	Ati aliye Muumini atakuwa sawa na aliye mpotovu? Hawawi sawa.
019_00	Ama walio amini na wakatenda mema, watakuwa nazo Bustani za makaazi mazuri. Ndio pa kufikia kwa waliyo kuwa wakiyatenda.
020_00	Na ama wale walio tenda uovu, basi makaazi yao ni Motoni.
020_01	Kila wakitaka kutoka humo watarudishwa humo humo. Na wataambiwa: Onjeni adhabu ya Moto ambayo mliyo kuwa mkiikanusha.
021_00	Na tutawaonjesha adhabu khafifu kabla ya adhabu kubwa, huenda labda watarejea.
022_00	Na ni nani dhaalimu mkubwa kuliko yule anaye kumbushwa kwa Ishara za Mola wake Mlezi, kisha akazikataa? Hakika Sisi tutajilipiza kwa wakosefu.
023_00	Hakika Sisi tulikwisha mpa Musa Kitabu. Basi usiwe na shaka kuwa kakipokea. Na tukakifanya kuwa ni uwongofu kwa Wana wa Israili.
024_00	Na tukawafanya miongoni mwao waongozi wanao ongoa watu kwa amri yetu, walipo subiri na wakawa na yakini na Ishara zetu.
025_00	Hakika Mola wako Mlezi ndiye atakaye fafanua baina yao Siku ya Kiyama katika waliyo kuwa wakikhitalifiana.
026_00	Je! Haijawabainikia kwamba kaumu ngapi tuliziangamiza kabla yao, nao wanapita katika maskani zao hizo? Hakika katika hayo zipo Ishara. Basi, je, hawasikii?
027_00	Je! Hawaoni ya kwamba tunayapeleka maji kwenye ardhi kavu, kisha kwayo tunaitoa mimea wanayo kula wanyama wao na wao wenyewe? Je! Hawaoni?
028_00	Wanasema: Ushindi huu ni lini, kama mnasema kweli?
029_00	Sema: Siku ya Ushindi, wale walio kufuru imani yao haitawafaa kitu, wala wao hawatapewa muhula.
030_00	Basi wapuuze, nawe ngonja; hakika wao wanangoja.
