001_00	Kaf Ha Ya A'yn S'ad
002_00	Huu ni Ukumbusho wa rehema ya Mola wako Mlezi kwa mja wake, Zakariya.
003_00	Alipo mwita Mola wake Mlezi kwa siri.
004_00	Akasema: Mola wangu Mlezi! Mafupa yangu yamedhoofika, na kichwa kinameremeta kwa mvi; wala, Mola wangu Mlezi, sikuwa mwenye bahati mbaya kwa kukuomba Wewe.
005_00	Na hakika mimi nawakhofia jamaa zangu baada yangu. Na mke wangu ni tasa. Basi nipe mrithi kutoka kwako.
006_00	Atakaye nirithi mimi na awarithi ukoo wa Yaaqub. Ewe Mola wangu Mlezi! Na umjaalie awe mwenye kuridhisha.
007_00	(Akaambiwa): Ewe Zakariya! Hakika Sisi tunakubashiria mwana; jina lake ni Yahya. Hatujapata kumpa jina hilo yeyote kabla yake.
008_00	Akasema: Ewe Mola wangu Mlezi! Vipi nitakuwa na mwana na hali mke wangu ni tasa, na mimi nimesha fikia ukongwe katika uzee?
009_00	Akasema: Ndio hivyo hivyo amesema Mola wako Mlezi: Haya ni mepesi kwangu. Na hakika Mimi nilikwisha kuumba wewe zamani na hali hukuwa kitu.
010_00	Akasema: Mola wangu Mlezi nijaalie Ishara. Akasema Ishara yako ni kuwa hutasema na watu kwa masiku matatu, na hali ni mzima.
011_00	Basi akawatokea watu wake kutoka mihirabuni. Akawaashiria: Msabihini Mwenyezi Mungu asubuhi na jioni.
012_00	Ewe Yahya! Kishike Kitabu kwa nguvu! Nasi tulimpa hikima angali mtoto.
013_00	Na tukampa huruma itokayo kwetu, na utakaso, na akawa mchamungu.
014_00	Na akawa mwema kwa wazazi wake, wala hakuwa jabari mua'si.
015_00	Na amani iwe juu yake siku ya kuzaliwa, na siku ya kufa, na siku ya kufufuliwa.
016_00	Na mtaje Maryamu katika Kitabu, pale alipo jitenga na jamaa zake mahali upande wa mashariki;
017_00	Na akaweka pazia kujikinga nao. Tukampelekea Roho wetu, akajifananisha kwake sawa na mtu.
