001_00	ALIF LAM MYM 'SAAD
002_00	Kitabu kilicho teremshwa kwako - basi isiwe dhiki kifuani kwako kwa ajili yake, upate kuonya kwacho, na kiwe ni ukumbusho kwa Waumini.
003_00	Fuateni mliyo teremshiwa kutoka kwa Mola Mlezi wenu, wala msifuate rafiki au walinzi wengine badala yake. Ni machache mnayo yakumbuka.
004_00	Na miji mingapi tuliiangamiza, ikaifikia adhabu yetu usiku au walipo kuwa wamelala adhuhuri.
005_00	Basi hakikuwa kilio chao ilipo wafikia adhabu yetu, isipo kuwa kusema: Hakika sisi tulikuwa wenye kudhulumu.
006_00	Na kwa yakini tutawauliza wale walio pelekewa Ujumbe, na pia tutawauliza hao Wajumbe.
007_00	Tena tutawasimulia kwa ilimu; wala Sisi hatukuwa mbali.
008_00	Na Siku hiyo kipimo kitakuwa kwa Haki. Basi watakao kuwa na uzani mzito, hao ndio watakao fanikiwa.
009_00	Na watakao kuwa na uzani khafifu, basi hao ndio walio zitia khasarani nafsi zao kwa sababu ya kuzipinga Ishara zetu.
010_00	Na hakika tumekuwekeni katika ardhi, na tumekujaalieni humo njia za kupatia maisha. Ni kuchache kushukuru kwenu.
011_00	Na hakika tulikuumbeni, kisha tukakutieni sura, kisha tukawaambia Malaika: Msujudieni Adam. Basi wakasujudu isipo kuwa Iblisi, hakuwa miongoni mwa walio sujudu.
012_00	Mwenyezi Mungu akasema: Nini kilicho kuzuia kumsujudia nilipo kuamrisha? Akasema: Mimi ni bora kuliko yeye. Umeniumba kwa moto, naye umemuumba kwa udongo.
013_00	Akasema: Basi teremka kutoka humo! Haikufalii kufanya kiburi humo. Basi toka! Hakika wewe u miongoni mwa walio duni.
014_00	Akasema: Nipe muhula mpaka siku watakapo fufuliwa.
015_00	Akasema: Utakuwa miongoni mwa walio pewa muhula.
016_00	Akasema: Kwa kuwa umenihukumia upotofu, basi nitawavizia katika Njia yako Iliyo Nyooka.
017_00	Kisha nitawazukia mbele yao na nyuma yao na kuliani kwao na kushotoni kwao. Wala hutawakuta wengi wao wenye shukrani.
018_00	Akasema: Toka humo, nawe umekwisha fedheheka, umekwisha fukuzwa. Hapana shaka atakaye kufuata miongoni mwao, basi nitaijaza Jahannam kwa nyinyi nyote.
019_00	Na wewe, Adam! Kaa wewe na mkeo katika Bustani hii, na kuleni humo mpendapo. Wala msiukaribie mti huu, mkawa katika wale walio dhulumu.
020_00	Basi Shet'ani aliwatia wasiwasi ili kuwafichulia tupu zao walizo fichiwa, na akasema: Mola Mlezi
