001_00	Ewe uliye jigubika!
002_00	Simama uonye!
003_00	Na Mola wako Mlezi mtukuze!
004_00	Na nguo zako, zisafishe.
005_00	Na yaliyo machafu yahame!
006_00	Wala usitoe kwa kutaraji kuzidishiwa.
007_00	Na kwa ajili ya Mola wako Mlezi, subiri!
008_00	Basi litapo pulizwa barugumu,
009_00	Siku hiyo, basi, itakuwa siku ngumu.
010_00	Kwa makafiri haitakuwa nyepesi.
011_00	Niache peke yangu na niliye muumba;
012_00	Na nikamjaalia awe na mali mengi,
013_00	Na wana wanao onekana,
014_00	Na nikamtgenezea mambo vizuri kabisa.
015_00	Kisha anatumai nimzidishie!
016_00	Hasha! Kwani hakika yeye alikuwa akizifanyia inadi Aya zetu!
017_00	Nitamtesa kwa mateso yasio wezekana.
018_00	Kwani hakika yeye alifikiri na akapima.
019_00	Basi ameangamia! Vipi alivyo pima!
020_00	Tena ameangamia! Vipi alivyo pima!
021_00	Kisha akatazama,
022_00	Kisha akakunja kipaji, na akanuna.
023_00	Kisha akaipa kisogo haki, na akatakabari.
024_00	Na akasema: Haya si chochote ila ni uchawi ulio nukuliwa.
025_00	Haya si chochote ila kauli ya binaadamu.
026_00	Nitakuja mtia kwenye Moto wa Saqar.
027_00	Na nini kitakujuulisha ni nini huo Moto wa Saqar?
028_00	Haubakishi wala hausazi.
029_00	Unababua ngozi iwe nyeusi.
030_00	Juu yake wapo kumi na tisa.
031_00	Na hatukuwafanya walinzi wa Motoni ila ni Malaika, wala hatukuifanya idadi yao hiyo ila kuwatatanisha walio kufuru, wapate kuwa na yakini walio pewa Kitabu, na wazidi Imani wale walio amini, wala wasiwe na shaka walio pewa Kitabu na Waumini, na wapate kusema wenye maradhi katika nyoyo zao na makafiri: Mwenyezi Mungu amekusudia nini kwa mfano huu?
031_01	Ndio kama hivyo Mwenyezi Mungu humwacha apotee amtakaye, na humwongoa amtakaye.
031_02	Na hapana yeyote anaye jua majeshi ya Mola wako Mlezi ila Yeye tu.
031_03	Na haya si chochote ila ni ukumbusho kwa binaadamu.
032_00	Hasha! Naapa kwa mwezi!
033_00	Na kwa usiku unapo kucha!
034_00	Na kwa asubuhi inapo pambazuka!
035_00	Hakika huo Moto ni katika mambo yaliyo makubwa kabisa!
036_00	Ni onyo kwa binaadamu,
037_00	Kwa anaye taka miongoni mwenu kutangulia au kuchelewa.
038_00	Kila nafsi imo rahanini kwa mabaya iliyo yachuma.
039_00	Isipo kuwa watu wa kuliani.
040_00	Hao watakuwa katika Mabustani, wawe wanaulizana
041_00	Khabari za wakosefu:
042_00	Ni nini kilicho kupelekeni Motoni?
043_00	Waseme: Hatukuwa miongoni walio kuwa wakisali.
044_00	Wala hatukuwa tukiwalisha masikini.
045_00	Na tulikuwa tukizama pamoja na walio zama katika maovu.
046_00	Na tulikuwa tukiikanusha siku ya malipo.
047_00	Mpaka yakini ilipo tufikia.
048_00	Basi hautawafaa kitu uombezi wa waombezi.
049_00	Basi wana nini hata wanapuuza onyo hili?
050_00	Kama kwamba wao ni mapunda walio timuliwa,
051_00	Wanao mkimbia simba!
052_00	Ati kila mmoja katika wao anataka apewe nyaraka zilizo funuliwa.
053_00	Hasha! Kwani wao hawaiogopi Akhera?
054_00	Hasha! Kwa hakika huu ni ukumbusho!
055_00	Basi anaye taka atakumbuka.
056_00	Na hawatakumbuka isipo kuwa Mwenyezi Mungu atake. Uchamngu ni kwake Yeye, na msamaha ni wake Yeye.
