001_00	Qaaf. Naapa kwa Qur'ani tukufu!
002_00	Bali wanastaajabu kwamba amewafikia mwonyaji kutoka miongoni mwao, na wakasema makafiri: Hili ni jambo la ajabu!
003_00	Ati tukifa na tukawa udongo...? Kurejea huko kuko mbali!
004_00	Hakika Sisi tunajua kiasi cha kila kinacho punguzwa na ardhi kutokana nao. Na kwetu kipo Kitabu kinacho hifadhi yote.
005_00	Lakini waliikanusha Haki ilipo wajia; kwa hivyo wamo katika mambo ya mkorogo.
006_00	Je! Hawaangalii mbingu zilizo juu yao! Vipi tulivyo zijenga, na tukazipamba. Wala hazina nyufa.
007_00	Na ardhi tumeitandaza na tukaiwekea milima, na tukaiotesha mimea mizuri ya kila namna.
008_00	Yawe haya ni kifumbua macho na ukumbusho kwa kila mja mwenye kuelekea.
009_00	Na tumeteremsha kutoka mbinguni maji yaliyo barikiwa, na kwa hayo tukaotesha mabustani na nafaka za kuvunwa.
010_00	Na mitende mirefu yenye makole yaliyo zaa kwa wingi,
011_00	Ili iwe ni riziki kwa waja wangu. Na tukaifufua kwa maji nchi iliyo kuwa imekufa. Kama hivyo ndivyo utakavyo kuwa ufufuaji.
012_00	Kabla yao walikadhibisha kaumu ya Nuhu na wakaazi wa Rassi na Thamudi.
013_00	Na A'di na Firauni na kaumu ya Lut'i.
014_00	Na wakaazi wa Machakani, na watu wa Tubbaa'. Wote hao waliwakanusha Mitume, kwa hivyo onyo likathibitika juu yao.
015_00	Kwani tulichoka kwa kuumba mara ya kwanza. Bali wao wamo katika shaka tu juu ya umbo jipya.
016_00	Na hakika tumemuumba mtu, nasi tunayajua yanayo mpitikia katika nafsi yake. Na Sisi tuko karibu naye kuliko mshipa wa shingoni mwake.
017_00	Wanapo pokea wapokeaji wawili, wanao kaa kuliani na kushotoni.
018_00	Hatamki neno ila karibu yake yupo mwangalizi tayari.
019_00	Na uchungu wa kutoka roho utamjia kwa haki. Hayo ndiyo uliyo kuwa ukiyakimbia.
020_00	Na litapulizwa baragumu. Hiyo ndiyo Siku ya Miadi.
021_00	Na kila nafsi itakuja na pamoja nayo mchungaji na shahidi.
022_00	(Aambiwe): Kwa hakika ulikuwa umeghafilika na haya; basi leo tumekuondolea pazia lako, na kwa hivyo kuona kwako leo ni kukali.
023_00	Na mwenzake atasema: Huyu niliye naye mimi kesha tayarishwa.
024_00	Mtupeni katika Jahannamu kila kafiri mwenye inda,
025_00	Akatazaye kheri, arukaye mipaka, mwenye kutia shaka,
026_00	Aliye weka mungu mwengine pamoja na Mwenyezi Mungu. Basi mtupeni katika adhabu kali.
027_00	Mwenzake aseme: Ee Mola wetu Mlezi! Sikumpoteza mimi, bali yeye mwenyewe alikuwa katika upotovu wa mbali.
028_00	(Mwenyezi Mungu) aseme: Msigombane mbele yangu. Nilikuleteeni mbele onyo langu.
029_00	Mbele yangu haibadilishwi kauli, wala Mimi siwadhulumu waja wangu.
030_00	Siku tutapo iambia Jahannamu: Je! Umejaa? Nayo itasema: Je! Kuna ziada?
031_00	Na Pepo italetwa karibu kwa ajili ya wachamngu, haitakuwa mbali.
032_00	Haya ndiyo mnayo ahidiwa kwa kila mwenye kurejea kwa Mwenyezi Mungu na akajilinda.
033_00	Mwenye kumwogopa Mwingi wa Rehema hali kuwa hamwoni, na akaja kwa moyo ulio elekea-
034_00	(Ataambiwa) ingieni kwa salama. Hiyo ndiyo siku ya daima dawamu.
035_00	Humo watapata wakitakacho, na kwetu yako ya ziada.
036_00	Na kaumu ngapi tuliziangamiza kabla yao walio kuwa na nguvu zaidi kuliko hawa! Nao walitanga tanga katika nchi nyingi. Je! Walipata pa kukimbilia?
037_00	Hakika katika hayo upo ukumbusho kwa mwenye moyo au akatega sikio naye yupo anashuhudia.
038_00	Na bila ya shaka Sisi tumeziumba mbingu na ardhi na vilio baina yao mnamo siku sita; na wala hayakutugusa machofu.
039_00	Basi vumilia kwa hayo wasemayo, na mtakase kwa kumsifu Mola wako Mlezi kabla ya kuchomoza jua na kabla ya kuchwa.
040_00	Na katika usiku pia mtakase, na baada ya kusujudu.
041_00	Na sikiliza siku atapo nadi mwenye kunadi kutoka pahala karibu.
042_00	Siku watakapo sikia ukelele wa haki. Hiyo ndiyo siku ya kufufuka.
043_00	Hakika Sisi tunahuisha na tunafisha, na kwetu Sisi ndio marejeo.
044_00	Siku itapo wapasukia ardhi mbio mbio! Mkusanyo huo kwetu ni mwepesi.
045_00	Sisi tunajua kabisa wayasemayo. Wala wewe si mwenye kuwatawalia kwa ujabari. Basi mkumbushe kwa Qur'ani anaye liogopa onyo.
