001_00	Alif Lam Mim.
002_00	Hiki ni Kitabu kisichokuwa na shaka ndani yake; ni uwongofu kwa wachamungu,
003_00	Ambao huyaamini ya ghaibu na hushika Sala, na hutoa katika tuliyo wapa.
004_00	Na ambao wanayaamini yaliyo teremshwa kwako, na yaliyo teremshwa kabla yako; na Akhera wana yakini nayo.
005_00	Hao wapo juu ya uwongofu utokao kwa Mola wao Mlezi, na hao ndio walio fanikiwa.
006_00	Hakika wale walio kufuru ni sawa kwao ukiwaonya au usiwaonye, hawaamini.
007_00	Mwenyezi Mungu amepiga muhuri juu ya nyoyo zao na juu ya masikio yao, na juu ya macho yao pana kifuniko. Basi watapata adhabu kubwa.
008_00	Na katika watu, wako wasemao: Tumemwamini Mwenyezi Mungu na Siku ya Mwisho, wala wao si wenye kuamini.
009_00	Wanatafuta kumdanganya Mwenyezi Mungu na wale walio amini, lakini hawadanganyi ila nafsi zao; nao hawatambui.
010_00	Nyoyoni mwao mna maradhi, na Mwenyezi Mungu amewazidishia maradhi. Basi watakuwa na adhabu chungu kwa sababu ya kusema kwao uwongo.
011_00	Na wanapo ambiwa: Msifanye uharibifu ulimwenguni. Husema: Bali sisi ni watengenezaji.
012_00	Hakika wao ndio waharibifu, lakini hawatambui.
013_00	Na wanapo ambiwa: Aminini kama walivyo amini watu. Husema: Tuamini kama walivyo amini wapumbavu? Hakika wao ndio wapumbavu, lakini hawajui tu.
014_00	Na wanapo kutana na walio amini husema: Tumeamini. Na wanapo kuwa peke yao na mashet'ani wao husema: Hakika sisi tu pamoja nanyi. Hakika sisi tunawadhihaki tu.
015_00	Mwenyezi Mungu atawadhihaki wao na atawawacha katika upotofu wao wakitangatanga ovyo.
016_00	Hao ndio walio nunua upotofu kwa uwongofu; lakini biashara yao haikupata tija, wala hawakuwa wenye kuongoka.
017_00	Mfano wao ni kama mfano wa aliye koka moto, na ulipo tanda mwangaza wake kote kote Mwenyezi Mungu aliiondoa nuru yao na akawawacha katika giza, hawaoni.
018_00	Viziwi, mabubu, vipofu; kwa hivyo hawatarejea.
019_00	Au ni kama mvua kubwa itokayo mbinguni, ina giza na radi na umeme; wakawa wakitia vidole vyao masikioni mwao kwa ajili ya mingurumo, kwa kuogopa kufa.
019_01	Na Mwenyezi Mungu amewazunguka makafiri.
020_00	Unakaribia umeme kunyakua macho yao. Kila ukiwatolea mwangaza huenda, na unapo wafanyia giza husimama.
020_01	Na angelitaka Mwenyezi Mungu angeliondoa kusikia kwao na kuona kwao. Hakika Mwenyezi Mungu ni Muweza wa kila kitu.
021_00	Enyi watu! Muabuduni Mola wenu Mlezi aliye kuumbeni nyinyi na wale wa kabla yenu, ili mpate kuokoka.
022_00	(Mwenyezi Mungu) ambaye amekufanyieni hii ardhi kuwa kama tandiko, na mbingu kama paa, na akateremsha maji kutoka mbinguni, na kwayo akatoa matunda yawe riziki zenu.
022_01	Basi msimfanyizie Mwenyezi Mungu washirika, na hali nyinyi mnajua.
023_00	Na ikiwa mna shaka kwa hayo tuliyo mteremshia mja wetu basi leteni sura moja ya mfano wake, na muwaite mashahidi wenu badala ya Mwenyezi Mungu, ikiwa mnasema kweli.
024_00	Na mkitofanya - na wala hamtofanya kamwe - basi uogopeni moto ambao kuni zake ni watu na mawe walio andaliwa hao wanao kanusha.
025_00	Na wabashirie walio amini na wakatenda mema kwamba watapata mabustani yapitayo mito kati yake;
025_01	kila watapo pewa matunda humo, watasema: Haya ndiyo kama tuliyo pewa mbele. Na wataletewa
025_02	matunda yaliyo fanana; na humo watakuwa na wake walio takasika; na wao humo watadumu.
026_00	Hakika Mwenyezi Mungu haoni haya kutoa mfano hata wa mbu na ulio wa zaidi yake.
026_01	Ama wale walio amini hujua ya kwamba hiyo ni haki iliyo toka kwa Mola wao Mlezi, lakini wale walio kufuru husema: Ni nini analo kusudia Mwenyezi Mungu kwa mfano huu? Kwa mfano huu huwapoteza wengi na huwaongoa wengi; lakini hawapotezi ila wale wapotovu,
027_00	Wanao vunja ahadi ya Mwenyezi Mungu baada ya kwisha ifunga, na wakayakata aliyo amrisha Mwenyezi Mungu kuungwa, na wakafanya uharibifu katika nchi; hao ndio wenye khasara.
028_00	Vipi mnamkanusha Mwenyezi Mungu na hali mlikuwa wafu akakufufueni! Kisha atakufisheni, tena atakufufueni, kisha kwake mtarejeshwa?.
029_00	Yeye ndiye aliye kuumbieni vyote vilivyomo katika ardhi. Tena akazielekea mbingu, na akazifanya mbingu saba. Naye ndiye Mjuzi wa kila kitu.
030_00	Na pale Mola wako Mlezi alipo waambia Malaika: Mimi nitamweka katika ardhi Khalifa (mfwatizi), wakasema: Utaweka humo atakaye fanya uharibifu humo na kumwaga damu, hali sisi tunakutakasa kwa sifa zako na tunakutaja kwa utakatifu wako?
030_01	Akasema: Hakika Mimi nayajua msiyo yajua.
031_00	Na akamfundisha Adam majina ya vitu vyote, kisha akaviweka mbele ya Malaika, na akasema: Niambieni majina ya hivi ikiwa mnasema kweli.
032_00	Wakasema: Subhanaka, Wewe umetakasika! Hatuna ujuzi isipokuwa kwa uliyo tufunza Wewe. Hakika Wewe ndiye Mjuzi Mwenye hikima.
033_00	Akasema: Ewe Adam!
033_01	Waambie majina yake. Basi alipo waambia majina yake alisema: Sikukwambieni kwamba Mimi ninajua siri za mbinguni na za duniani, na ninayajua mnayo yadhihirisha na mliyo kuwa mnayaficha?
034_00	Na tulipo waambia Malaika: Msujudieni Adam, wakamsujudia wote isipo kuwa Iblis, alikataa na akajivuna na akawa katika makafiri.
035_00	Na tulisema: Ewe Adam! Kaa wewe na mkeo katika Bustani, na kuleni humo maridhawa popote mpendapo, lakini msiukaribie mti huu tu; mkawa katika wale walio dhulumu.
036_00	Lakini Shet'ani aliwatelezesha hao wawili na akawatoa katika waliyo kuwamo, na tukasema: Shukeni, nanyi ni maadui nyinyi kwa nyinyi.
036_01	Katika ardhi yatakuwa makaazi yenu na starehe kwa muda.
037_00	Kisha Adam akapokea maneno kwa Mola wake Mlezi, na Mola wake Mlezi alimkubalia toba yake; hakika Yeye ndiye Mwingi wa kukubali toba na Mwenye kurehemu.
038_00	Tukasema: Shukeni nyote; na kama ukikufikieni uwongofu utokao kwangu, basi watakao fuata uwongofu wangu huo haitakuwa khofu juu yao wala hawatahuzunika.
039_00	Na wenye kukufuru na kuzikanusha ishara zetu, hao ndio watakao kuwa watu wa Motoni, humo watadumu.
040_00	Enyi Wana wa Israili! Kumbukeni neema yangu niliyo kuneemesheni, na timizeni ahadi yangu, na Mimi nitatimiza ahadi yenu, na niogopeni Mimi tu.
041_00	Na aminini niliyo yateremsha ambayo yanasadikisha mliyo nayo, wala msiwe wa kwanza kuyakataa. Wala msiuze Ishara zangu kwa thamani ndogo. Na niogopeni Mimi tu.
042_00	Wala msichanganye kweli na uwongo na mkaificha kweli nanyi mnajua.
043_00	Na shikeni Sala, na toeni Zaka, na inameni pamoja na wanao inama.
044_00	Je! Mnawaamrisha watu mema na mnajisahau nafsi zenu, na hali nyinyi mnasoma Kitabu? Basi je, hamzingatii?
045_00	Na tafuteni msaada kwa kusubiri na kwa kusali; na kwa hakika jambo hilo ni gumu isipokuwa kwa wanyenyekevu,
046_00	Ambao wana yakini kuwa hakika watakutana na Mola wao Mlezi na ya kuwa hakika watarejea kwake.
047_00	Enyi Wana wa Israili! Kumbukeni zile neema zangu nilizo kuneemesheni, na nikakuteuweni kuliko wote wengineo.
048_00	Na iogopeni Siku ambayo mtu hatomfaa mtu kwa lolote, wala hayatakubaliwa kwake maombezi, wala hakitapokewa kikomboleo kwake; wala hawatanusuriwa.
049_00	Na vile tulipo kuokoeni kwa watu wa Firauni walio kupeni adhabu mbaya, wakiwachinja wana wenu wa kiume
049_01	na wakawawacha hai wanawake; na katika hayo ulikuwa ni mtihani mkubwa ulio toka kwa Mola wenu Mlezi.
050_00	Na tulipo ipasua bahari kwa ajili yenu na tukakuokoeni, tukawazamisha watu wa Firauni, na huku mnatazama.
051_00	Na tulipo muahidi Musa masiku arubaini, kisha mkachukua ndama (mkamuabudu) baada yake, na mkawa wenye kudhulumu.
052_00	Kisha tukakusameheni baada ya hayo, ili mpate kushukuru.
053_00	Na tulipo mpa Musa Kitabu na pambanuo ili mpate kuongoka.
054_00	Na Musa alipo waambia watu wake: Enyi watu wangu! Hakika nyinyi mmezidhulumu nafsi zenu kwa kuchukua kwenu ndama (kumuabudu). Basi tubuni kwa Muumba wenu na ziueni nafsi zenu.
054_01	Haya ni bora kwenu mbele ya Muumba wenu. Naye akapokea toba yenu. Hakika Yeye ndiye apokeaye toba na Mwenye kurehemu.
055_00	Na mlipo sema: Ewe Musa! Hatutakuamini mpaka tumwone Mwenyezi Mungu waziwazi. Ikakunyakueni radi nanyi mnaangalia.
056_00	Kisha tukakufufueni baada ya kufa kwenu, ili mpate kushukuru.
057_00	Na tukakutilieni kivuli kwa mawingu na tukakuteremshieni Manna na Salwa; tukakwambieni: Kuleni vitu vizuri hivi tulivyo kuruzukuni.
057_01	Nao hawakutudhulumu Sisi lakini walikuwa wanajidhulumu nafsi zao.
058_00	Na tulipo sema: Ingieni mji huu, na humo mle mpendapo maridhawa, na ingieni katika mlango wake kwa unyenyekevu, na semeni: Tusamehe!
058_01	Tutakusameheni makosa yenu, na tutawazidishia wema wafanyao wema.
059_00	Lakini walio dhulumu waliibadili kauli isiyo kuwa waliyo ambiwa. Kwa hivyo tukaiteremsha juu ya wale walio dhulumu adhabu kutoka mbinguni kwa sababu ya walivyo kuwa wamepotoka.
060_00	Na Musa alipo omba maji kwa ajili ya watu wake, tulimwambia: Lipige jiwe kwa fimbo yako.
060_01	Mara zikatimbuka chemchem kumi na mbili; kila kabila ikajua mahali pake pa kunywea. Tukawaambia: Kuleni na mnywe riziki ya Mwenyezi Mungu, wala msiasi katika nchi mkafanya uharibifu.
061_00	Na mlipo sema: Ewe Musa!
061_01	Hatuwezi kuvumilia chakula cha namna moja tu, basi tuombee kwa Mola wako Mlezi atutolee vile vinavyo mea katika ardhi, kama mboga zake, na matango yake, na thom zake, na adesi zake, na vitunguu vyake.
061_02	Akasema: Mnabadili kilicho duni kwa kilicho bora?
061_03	Shukeni mjini, huko mtapata mlivyo viomba.
061_04	Na wakapigwa na unyonge, na umasikini, na wakastahili ghadhabu ya Mwenyezi Mungu. Na haya ni kwa sababu walikuwa wakiyakataa maneno ya Mwenyezi Mungu, na wakiwauwa Manabii pasipo haki. Hayo ni kwa walivyo asi na wakapindukia mipaka.
062_00	Hakika Walio amini, na Mayahudi na Wakristo, na Wasabai; yeyote atakaye muamini Mwenyezi Mungu na Siku ya Mwisho
062_01	na akatenda mema basi watapata malipwa yao kwa Mola wao Mlezi, wala haitakuwa khofu juu yao, wala hawatahuzunika.
063_00	Na tulipo chukua ahadi yenu, na tukaunyanyua mlima juu yenu (tukakwambieni): Shikeni kwa nguvu haya tuliyo kupeni, na yakumbukeni yaliyomo ndani yake ili mpate kujilinda.
064_00	Kisha mligeuka baada ya haya. Na lau kuwa si fadhila za Mwenyezi Mungu juu yenu na rehema zake, mngeli kuwa miongoni mwa wenye kukhasirika.
065_00	Na hakika mlikwisha yajua ya wale miongoni mwenu walio ivunja Sabato, (siku ya mapumziko, Jumaa Mosi) na tukawaambia: Kuweni manyani wadhalilifu.
066_00	Kwa hivyo tukayafanya hayo kuwa onyo kwa wale walio kuwa katika zama zao na walio kuja baada yao, na mawaidha kwa wachamngu.
067_00	Na Musa alipo waambia watu wake: Hakika Mwenyezi Mungu anakuamrisheni mchinje ng'ombe. Wakasema: Je!
067_01	Unatufanyia mzaha? Akasema: Audhubil lahi! Najikinga kwa Mwenyezi Mungu nisiwe miongoni mwa wajinga.
068_00	Wakasema: Tuombee kwa Mola wako Mlezi atupambanulie ni ng'ombe gani? Akasema: Hakika Yeye anasema kwamba ng'ombe huyo si mpevu, wala si kinda, bali ni wa katikati baina ya hao. Basi fanyeni mnavyo amrishwa.
069_00	Wakasema: Tuombee kwa Mola wako atupambanulie nini rangi yake? Akasema: Yeye anasema, kuwa ng'ombe huyo ni wa manjano, na rangi yake imekoza, huwapendeza wanao mtazama.
070_00	Wakasema: Tuombee kwa Mola wako Mlezi atupambanulie ni yupi? Hakika tunaona ng'ombe wamefanana. Na kwa yakini, Inshaallah, Mwenyezi Mungu akipenda, tutaongoka.
071_00	Akasema: Yeye anasema: Kuwa huyo ni ng'ombe asiye tiwa kazini kulima ardhi wala kumwagia maji mimea, mzima, hana baka.
071_01	Wakasema: Sasa umeleta haki. Basi wakamchinja, na walikaribia kuwa wasifanye hayo.
072_00	Na mlipo muuwa mtu, kisha mkakhitalifiana kwayo, na Mwenyezi Mungu ni mwenye kuyatoa hayo mliyo kuwa mkiyaficha.
073_00	Tukasema: Mpigeni kwa kipande chake (huyo ng'ombe). Ndivyo hivi Mwenyezi Mungu huwahuisha wafu; na anakuonyesheni Ishara zake ili mpate kufahamu.
074_00	Kisha nyoyo zenu zikawa ngumu baada ya hayo, hata zikawa kama mawe au ngumu zaidi; kwani kuna mawe yanayo timbuka mito, na kuna mengine yanayo pasuka yakatoka maji ndani yake, na kuna mengine huanguka kwa sababu ya khofu ya Mwenyezi Mungu.
074_01	Na Mwenyezi Mungu si mwenye kughafilika na mnayo yafanya.
075_00	Mnatumai watakuaminini na hali baadhi yao walikuwa wakisikia maneno ya Mwenyezi Mungu, kisha wakayabadili baada ya kuwa wameyafahamu, na hali wanajua?
076_00	Na wanapo kutana na wale walio amini husema: Tumeamini.
076_01	Na wanapo kuwa peke yao, wao kwa wao, husema: Mnawaambia aliyo kufunulieni Mwenyezi Mungu ili wapate kukuhojieni mbele ya Mola wenu Mlezi? Basi hamfahamu nyinyi?
077_00	Hawajui ya kwamba Mwenyezi Mungu anayajua wanayo yaficha na wanayo yatangaza?
078_00	Na wako miongoni mwao wasio jua kusoma; hawakijui Kitabu isipo kuwa uwongo wanao utamani, nao hawana ila ni kudhania tu.
079_00	Basi ole wao wanao andika kitabu kwa mikono yao, kisha wakasema: Hiki kimetoka kwa Mwenyezi Mungu, ili wachumie kwacho pato dogo.
079_01	Basi ole wao kwa yale iliyo andika mikono yao, na ole wao kwa yale wanayo yachuma.
080_00	Na walisema: Hautatugusa Moto ila kwa siku chache tu. Sema: Mmechukua ahadi kwa Mwenyezi Mungu?
080_01	Kweli Mwenyezi Mungu hatokwenda kinyume na ahadi yake. Au mnamsingizia Mwenyezi Mungu mambo msiyo yajua?
081_00	Naam, anaye chuma ubaya - na makosa yake yakamzunguka - hao ndio watu wa Motoni; humo watadumu.
082_00	Na wale walio amini na wakatenda mema, hao ndio watu wa Peponi, humo watadumu.
083_00	Na tulipo funga agano na Wana wa Israili: Hamtamuabudu yeyote ila Mwenyezi Mungu; na muwafanyie wema wazazi na jamaa na mayatima na masikini, na semeni na watu kwa wema, na shikeni Sala, na toeni Zaka.
083_01	Kisha mkageuka isipo kuwa wachache tu katika nyinyi; na nyinyi mnapuuza.
084_00	Na tulipo chukua agano lenu kuwa hamtamwaga damu zenu, wala hamtatoana majumbani mwenu; nanyi mkakubali nanyi mnashuhudia.
085_00	Kisha nyinyi kwa nyinyi mnauwana, na mnawatoa baadhi yenu majumbani kwao, mkisaidiana kwa dhambi na uadui.
085_01	Na wakikujieni mateka mnawakomboa, na hali kuwatoa mmekatazwa.
085_02	Je!
085_03	Mnaamini baadhi ya Kitabu na mnakataa baadhi yake? Basi hana malipo mwenye kutenda hayo miongoni mwenu ila hizaya katika maisha ya duniani, na Siku ya Kiyama watapelekwa kwenye adhabu kali kabisa. Na Mwenyezi Mungu si mwenye kughafilika na yale mnayo yatenda.
086_00	Hao ndio walio nunua uhai wa dunia kwa (uhai wa) Akhera; kwa hivyo hawatapunguziwa adhabu wala hawatanusuriwa.
087_00	Na hakika tulimpa Musa Kitabu na tukafuatisha baada yake Mitume wengine.
087_01	Na tukampa Isa, mwana wa Mariamu, hoja zilizo waziwazi, na tukamtia nguvu kwa Roho Takatifu. Basi kila walipo kufikieni Mitume kwa yale ambayo hayapendwi na nafsi zenu, mlijivuna; wengine mkawakanusha, na wengine mkawauwa.
088_00	Na walisema: Nyoyo zetu zimefunikwa. Bali Mwenyezi Mungu amewalaani kwa kufuru zao: kwa hivyo ni kidogo tu wanayo yaamini.
089_00	Na kilipo wajia Kitabu kitokacho kwa Mwenyezi Mungu kinacho thibitisha waliyo nayo - na wao walikuwa wakitafutia ushindi kuwashinda makafiri - yalipo wajia yale waliyo kuwa wakiyajua waliyakanusha.
089_01	Basi laana ya Mwenyezi Mungu juu ya wakanushao!
090_00	Kiovu kweli walicho jiuzia nafsi zao, nacho ni kule kukataa kwao aliyo yateremsha Mwenyezi Mungu, kwa ajili ya kuona maya kwa kuwa Mwenyezi Mungu humteremshia fadhila yake amtakaye miongoni mwa waja wake.
090_01	Basi wamejiletea wenyewe ghadhabu juu ya ghadhabu. Na makafiri watapata mateso ya kudhalilisha.
091_00	Na wanapo ambiwa: Yaaminini aliyo yateremsha Mwenyezi Mungu. Wao husema: Tunaamini tuliyo teremshiwa sisi.
091_01	Na huyakataa yasiyo kuwa hayo. Na hali ya kuwa hii ndiyo Haki inayo thibitisha yale waliyo nayo wao. Sema: Mbona mliwauwa Manabii wa Mwenyezi Mungu hapo zamani ikiwa kweli mlikuwa Waumini?
092_00	Na alikufikieni Musa na hoja zilizo waziwazi, kisha mkamchukua ndama (kumuabudu) baada yake, na mkawa wenye kudhulumu.
093_00	Na tulipo chukua ahadi yenu na tukauinua mlima juu yenu (tukakwambieni): Kamateni kwa nguvu haya tuliyo kupeni na sikieni. Wakasema: Tumesikia na tumekataa!
093_01	Na wakanyweshwa nyoyoni mwao (imani ya) ndama kwa kufuru yao. Sema: Ni uovu mno iliyo kuamrisheni imani yenu ikiwa ni wenye kuamini.
094_00	Sema: Ikiwa nyumba ya Akhera iliyoko kwa Mwenyezi Mungu ni yenu tu bila ya watu wengine, basi tamanini mauti kama nyinyi mnasema kweli.
095_00	Wala hawatayatamani kamwe kwa sababu ya yale yaliyo tangulizwa na mikono yao; na Mwenyezi Mungu ni mwenye kuwajua vyema wanao dhulumu.
096_00	Na hakika utawaona ni wenye kuwashinda watu wote kwa pupa ya kuishi, na kuliko washirikina.
096_01	Kila mmoja wao anatamani lau angeli pewa umri wa miaka elfu. Wala hayo ya kuzidishiwa umri hayamuondoshei adhabu; na Mwenyezi Mungu anayaona wanayo yatenda.
097_00	Sema: Aliye kuwa ni adui wa Jibril, basi huyo ndiye aliye iteremsha Qur'ani moyoni mwako kwa idhini ya Mwenyezi Mungu, inayo thibitisha yaliyo kuwa kabla yake, na ni uwongofu na bishara njema kwa Waumini.
098_00	Aliye kuwa adui wa Mwenyezi Mungu na Malaika wake na Mitume wake na Jibril na Mikail, basi hakika Mwenyezi Mungu ni adui wa makafiri.
099_00	Hakika tumekuteremshia Ishara zilizo wazi na hapana wanao zikataa ila wapotovu.
100_00	Je! Ati ndio kila wanapo funga ahadi huwapo kikundi miongoni mwao kikaivunja? Bali wengi wao hawaamini.
101_00	Na alipo wajia Mtume kutoka kwa Mwenyezi Mungu, mwenye kuthibitisha yale waliyo nayo, kundi moja miongoni mwa
