001_00	H'a Mim
002_00	Naapa kwa Kitabu kinacho bainisha.
003_00	Hakika Sisi tumeifanya Qur'ani kwa Kiarabu ili mfahamu.
004_00	Na hakika hiyo imo katika Asili ya Maandiko yalioko kwetu, ni tukufu na yenye hikima.
005_00	Je! Tuache kukukumbusheni kabisa kwa kuwa nyinyi ni watu mlio pita mipaka kwa ukafiri?
006_00	Na Manabii wangapi tuliwatuma kwa watu wa zamani!
007_00	Na hawajii Nabii yeyote ila walikuwa wakimkejeli.
008_00	Na tuliwaangamiza walio kuwa na nguvu kushinda wao. Na mfano wa watu wa zamani umekwisha pita.
009_00	Na ukiwauliza: Nani aliye ziumba mbingu na ardhi? Bila ya shaka watasema: Kaziumba Mwenye nguvu, Mjuzi,
010_00	Ambaye amekufanyieni ardhi kama tandiko, na akakufanyieni ndani yake njia mpate kuongoka.
011_00	Na ambaye ndiye aliye teremsha kutoka mbinguni maji kwa kiasi, na kwa hayo tukaifufua nchi iliyo kufa. Na namna hivi ndivyo mtakavyo tolewa.
012_00	Na ambaye ndiye aliye umba katika kila kitu jike na dume, na akakufanyieni marikebu na wanyama mnao wapanda.
013_00	Ili mkae vizuri migongoni mwao, kisha mkumbuke neema za Mola wenu Mlezi mnapokaa sawa sawa juu yao na mseme: Ametakasika aliye mfanya huyu atutumikie, na tusingeli weza kufanya haya wenyewe.
014_00	Na hakika sisi tutarudi kwa Mola wetu Mlezi.
015_00	Na wanamfanyia katika waja wake fungu. Kwa hakika mwanaadamu ni mtovu wa fadhila aliye dhaahiri.
016_00	Au amejichukulia watoto wanawake katika vile alivyo viumba, na akakuteulieni nyinyi watoto wanaume?
017_00	Na anapo bashiriwa mmoja wao kwa yale aliyo mpigia mfano Mwenyezi Mungu, uso wake husawijika na hujaa hasira.
018_00	Ati aliye lelewa katika mapambo, na katika mabishano hawezi kusema kwa bayana...?
019_00	Na wakawafanya Malaika, ambao ni waja wa Mwingi wa Rehema, ni wanawake! Kwani wameshuhudia kuumbwa kwao? Ushahidi wao utaandikwa na wao watahojiwa!
020_00	Nao husema: Angeli penda Mwingi wa Rehema tusingeli waabudu sisi. Hawana ujuzi wowote wa hayo! Hawana ila kusema uwongo tu!
021_00	Kwani tuliwapa Kitabu kabla ya hichi, na ikawa wao wanakishikilia hicho?
022_00	Bali wanasema: Hakika sisi tuliwakuta baba zetu wanashika dini makhsusi, basi na sisi tunaongoza nyayo zao.
023_00	Na kadhaalika hatukumtuma mwonyaji kwenye mji wowote ila watu wake walio deka kwa starehe walisema: Hakika sisi tuliwakuta baba zetu wanashika dini makhsusi, na sisi tunafuata nyayo zao.
024_00	Akasema (Mwonyaji): Hata nikikuleteeni yenye uwongofu bora kuliko mlio wakuta nao baba zenu? Wakasema: Sisi tunayakataa tu hayo mliyo tumwa.
025_00	Basi tukawalipizia. Angalia ulikuwaje mwisho wa walio kadhibisha!
026_00	Na pale Ibrahim alipo mwambia baba yake na kaumu yake: Hakika mimi ninajitenga mbali na hayo mnayo yaabudu,
027_00	Isipo kuwa yule aliye niumba, kwani Yeye ataniongoa.
028_00	Na akalifanya hili liwe neno lenye kubaki katika vizazi vyake ili warejee.
029_00	Bali tuliwastarehesha hawa na baba zao mpaka ikawafikia Haki na Mtume aliye bainisha.
030_00	Na ilipo wafikia Haki wakasema: Huu ni uchawi, na sisi hakika tunaukataa.
031_00	Na walisema: Kwa nini Qur'ani hii haikuteremshwa kwa mtu mkubwa katika miji miwili hii?
032_00	Kwani wao ndio wanao gawa rehema za Mola wako Mlezi?
032_01	Sisi tumewagawanyia baina yao maisha yao katika uhai wa duniani, na tukawanyanyua baadhi yao juu ya wengine kwa daraja nyingi; kwa hivyo baadhi yao wanawafanya wenginewe wawatumikie. Na rehema za Mwenyezi Mungu ni bora kuliko hayo wanayo yakusanya.
033_00	Na lau isinge kuwa watu watakuwa kundi moja tungeli wajaalia wanao mkufuru Rahmani wana nyumba zao zina dari ya fedha, na ngazi zao pia wanazo pandia,
034_00	Na milango ya nyumba zao na vitanda wanavyo egemea juu yake,
035_00	Na mapambo. Lakini hayo si chochote ila ni starehe ya maisha ya dunia tu, na Akhera iliyoko kwa Mola wako Mlezi ni ya wenye kumchamngu.
036_00	Anaye yafanyia upofu maneno ya Rahmani tunamwekea Shet'ani kuwa ndiye rafiki yake.
037_00	Na hakika wao wanawazuilia Njia na wenyewe wanadhani kuwa wameongoka.
038_00	Hata atakapo tujia atasema: Laiti ungeli kuwako baina yangu na wewe kama umbali baina ya mashariki na magharibi. Rafiki mwovu mno wewe!
039_00	Na kwa kuwa mlidhulumu, haitakufaeni kitu leo kwamba nyinyi mnashirikiana katika adhabu.
040_00	Je! Unaweza kuwasikilizisha viziwi, au unaweza kuwaongoa vipofu na waliomo katika upotofu ulio wazi?
041_00	Na hata tukikuondoa, Sisi tutalipiza kisasi chetu kwao.
042_00	Au tutakuonyesha tulio waahidi. Nasi bila ya shaka tuna uweza juu yao.
043_00	Basi wewe yashike yaliyo funuliwa kwako. Hakika wewe uko kwenye Njia Iliyo Nyooka.
044_00	Na hakika haya ni ukumbusho kwako na kwa kaumu yako. Na mtakuja ulizwa.
045_00	Na waulize Mitume wetu tulio watuma kabla yako: Je! Tulifanya miungu mingine iabudiwe badala ya Rah'mani?
046_00	Na bila ya shaka tulimtuma Musa kwa Ishara zetu ende kwa Firauni na waheshimiwa wake, na akasema: Hakika mimi ni Mtume wa Mola Mlezi wa walimwengu wote!
047_00	Lakini alipo wajia na Ishara zetu wakaingia kuzicheka.
048_00	Na hatukuwaonyesha Ishara yoyote ila hiyo ilikuwa kubwa zaidi kuliko nyenginewe. Na tukawakamata kwa adhabu ili warejee.
049_00	Na wakasema: Ewe mchawi! Tuombee kwa Mola wako Mlezi kwa ile ahadi aliyo kuahidi; hakika sisi tutakuwa wenye kuongoka.
050_00	Basi tulipo waondolea adhabu hiyo, mara wakaingia kuvunja ahadi.
051_00	Na Firauni alitangaza kwa watu wake, akisema: Enyi watu wangu! Kwani mimi sinao huu ufalme wa Misri, na hii mito inapita chini yangu? Je! Hamwoni?
052_00	Au mimi si bora kuliko huyu aliye mnyonge, wala hawezi kusema waziwazi?
053_00	Basi mbona hakuvikwa vikuku vya dhahabu, au hawakuja Malaika pamoja naye wakamwandama?
054_00	Basi aliwachezea watu wake, na wakamt'ii. Kwa hakika hao walikuwa watu wapotovu.
055_00	Walipo tukasirisha tuliwapatiliza tukawazamisha wote!
056_00	Kisha tukawafanya kuwa watangulizi na mfano kwa wa baadaye.
057_00	Na alipo pigiwa mfano Mwana wa Mariamu, watu wako waliupiga ukelele.
058_00	Wakasema: Miungu yetu kwani si bora kuliko huyu? Hawakukupigia mfano huo ila kwa ubishi tu. Bali hao ni watu wagomvi!
059_00	Hakuwa yeye (Isa) ila ni Mtumwa tuliye mneemesha na tukamfanya ni mfano kwa Wana wa Israili.
060_00	Na tungeli penda tungeli wafanyia miongoni mwenu Malaika katika ardhi wakifuatana.
061_00	Na kwa hakika yeye ni alama ya Saa ya Kiyama. Basi usiitilie shaka, na nifuateni. Hii ndiyo Njia Iliyo Nyooka.
062_00	Wala asikuzuilieni Shet'ani. Hakika yeye ni adui yenu wa dhaahiri.
063_00	Na alipo kuja Isa na dalili zilizo wazi, alisema: Nimekujieni na hikima, na ili nikuelezeni baadhi ya yale mliyo khitalifiana. Basi mcheni Mwenyezi Mungu, na mnit'ii mimi.
064_00	Kwa hakika Mwenyezi Mungu ni Mola wangu Mlezi, na ni Mola wenu Mlezi. Basi Muabuduni Yeye tu. Hii ndiyo Njia Iliyo Nyooka.
065_00	Lakini makundi kwa makundi yao yalikhitalifiana wao kwa wao. Ole wao walio dhulumu kwa adhabu ya siku chungu.
066_00	Je! Nini wanangojea ila Saa iwajie kwa ghafla na wala wao hawatambui?
067_00	Siku hiyo marafiki watakuwa ni maadui, wao kwa wao, isipo kuwa wachamngu.
068_00	Enyi waja wangu! Hamtakuwa na khofu siku hiyo, wala hamtahuzunika.
069_00	Ambao waliziamini Ishara zangu na walikuwa Waislamu.
070_00	Ingieni Peponi, nyinyi na wake zenu; mtafurahishwa humo.
071_00	Watakuwa wanapitishiwa sahani za dhahabu na vikombe; na vitakuwamo ambavyo nafsi zinavipenda na macho yanavifurahia, na nyinyi mtakaa humo milele.
072_00	Na hiyo ni Pepo mliyo rithishwa kwa hayo mliyo kuwa mkiyafanya.
073_00	Mnayo humo matunda mengi mtakayo yala.
074_00	Kwa hakika wakosefu watakaa katika adhabu ya Jahannamu.
075_00	Hawatapumzishwa nayo na humo watakata tamaa.
076_00	Wala Sisi hatukuwadhulumu, bali wao ndio walio kuwa madhaalimu.
077_00	Nao watapiga kelele waseme: Ewe Malik! Na atufishe Mola wako Mlezi! Naye aseme: Hakika nyinyi mtakaa humo humo!
078_00	Kwa yakini tulikuleteeni Haki, lakini wengi katika nyinyi mlikuwa mnaichukia Haki.
079_00	Au waliweza kupitisha amri yao? Bali ni Sisi ndio tunao pitisha.
080_00	Au wanadhani kwamba hatusikii siri zao na minong'ono yao? Wapi! Na wajumbe wetu wapo karibu nao, wanayaandika.
081_00	Sema: Ingeli kuwa Rahmani ana mwana, basi mimi ningeli kuwa wa kwanza kumuabudu.
082_00	Ametakasika Mola Mlezi wa mbingu na ardhi, Mola Mlezi wa A'rshi, na hayo wanayo msifia.
