001_00	Alif Lâm Mîm.
002_00	Ik Romeinen zijn overwonnen.
003_00	In het nabijgelegen land, en na hun nederlaag zullen zij overwinnen.
004_00	In enkelen jaren. Aan Allah behoort het bevel, voordien en nadien. En op die dag zullen de gelovigen zich verheugen.
005_00	Dank zij de hulp van Allah. Hij helpt wie Hij wil. En Hij is de Almachtige, de Meest Bamhartige.
006_00	Als een belofte van Allah. Allah breekt Zijn belofte niet, maar de meeste mensen weten het niet.
007_00	Zij kennen het uiterlijke van het wereldse leven, terwijl zij met betrekking tot het Hiernamaals onachtzamen zijn.
008_00	En denken zij niet na over zichzelf?
008_01	Allah heet de hemelen en de aarde en wat daartussen is, niet geschapen dan in Waarheid en voor een vastgestelde termijn. En voorwaar, de meeste mensen geloven zeker niet in de ontmoeting met hun Heer.
009_00	En reizen zij (ongelovigen) niet op de aarde, zodat zij zien hoe het einde was van degenen v??r hen?
009_01	Zij waren sterker in kracht dan zij.
009_02	En zij bewerkten de aarde en zij bebouwden haar meer dan zij (de ongelovigen) haar bebouwden. En hun Boodschappers waren tot hen gekomen met de duidelijke bewijzen. Het was Allah niet die hun onrecht aandeed, maar zij deden zichzelf onrecht aan.
010_00	Daarna was de ergste bestraffing het einde van degenen die slechte werken verrichtten, omdat zij de Verzen van Allah loochenden en zij er de spot mee plachten te drijven.
011_00	Allah schept de schepping, daarop wekt Hij haar op en tenslotte worden jullie tot Hem terruggekeerd.
012_00	En op de Dag waarop het Uur valt wanhopen de zondaren.
013_00	Er is voor hen onder hun afgoden geen voorspreker en zij zullen hun afgoden ontkennen.
014_00	Op de Dag waarop het Uur valt, op die Dag zullen zij gegroepeerd worden.
015_00	Wat degenen die geloven en goede daden verrichten betreft: zij zullen in een hof worden verblijd.
016_00	En wat degenen die ongelovig zijn en Onze Verzen en de ontmoeting van het Hiernamaals loochenen betreft: zij zijn degenen die voor de bestraffing voorgeleid zullen worden.
017_00	Prijst daarom de Glorie van Allah wanneer jullie (ergens) in de namiddag zijn en wanneer jullie (ergens) in de ochtend zijn.
018_00	En aan Hem is alle lof in de hemelen en op de aarde, en in de avond en wanneer jullie (ergens) in de voormiddag zijn.
019_00	Hij brengt het levende voort uit het dode en Hij brengt het dode voort uit het levende en Hij doet de aarde leven na haar dood. Zo worden jullie (na jullie dood) opgewekt.
020_00	En het behoort tot Zijn Tekenen dat Hij jullie uit aarde heeft geschapen, waarop jullie je toen als mensen verspreidden.
021_00	En het behoort tot Zijn Tekenen dat Hij van jullie eigen soort echtgenotes heeft geschapen, opdat jullie rust bij haar vinden en Hij bracht tussen jullie liefde en barmhartigheid.
021_01	Voorwaar, daarin zijn zeker Tekenen voor een volk dat nadenkt.
022_00	En tot Zijn Tekenen behoort de schepping van de hemelen en de aardeen het verschillende van jullie talen en kleuren. Voorwaar, daarin zijn zeker Tekenen voor de bezitters van kennis.
023_00	En tot Zijn Tekenen behoort jullie slaap, 's nachts en overdag en jullie zoeken naar Zijn gunst. Voorwaar, daarin zijn zeker Tekenen voor een volk dat luistert.
024_00	En tot Zijn Tekenen behoort dat Hij jullie de bliksem laat zien, om vrees en hoop op te wekken.
024_01	En Hij doet water uit de hemel neerdalen, waarna Hij daarmee de aarde doet leven na haar dood. Voorwaar, daairin zijn zeker Tekenen voor een volk dat begrijpt.
025_00	En tot Zijn Tekenen behoort dat Hij de hemel en de aarde in stand houdt, met Zijn bevel. Daarna wanneer Hij jullie met een roep uit de aarde doet oproepen, dan zullen jullie tevoorschijn komen.
026_00	En aan Hem behoort wie er in de hemelen en op de arde zijn. Allen zijn Hem gehoorzaam.
