001_00	Thâ Hâ.
002_00	Wij hebben de Koran niet tot jou doen neerdalen om jou ongelukkig te maken.
003_00	Maar slechts als een waarschuwing voor wie (Allah) vreest.
004_00	Als een openbaring van Hem Die de aarde en de hoge hemelen geschapen heeft.
005_00	De Barmhartige, Die op de Troon zetelt.
006_00	Aan Hem behoort wat in de hemelen en op de aarde is en wat ertussen is en wat zich onder de grond bevindt.
007_00	Of jij niet luide stem spreekt (of niet): voorwaar, Hij kent het geheim en het meest verborgene.
008_00	Allah, er is geen god den Hij, de Schone Namen (Asmâoelhoesnâ)behoren Hem toe.
009_00	En heeft het verhaal van Môesa jou bereikt?
010_00	Toen hij een vuur zag, en tot zij familie zei "Blijft hier, want ik zie een vuur. Misschien zal ik daarvan een fakkel bij jullie brengen of zal ik bij het vuur Leiding vinden."
011_00	En toen hij daar aankwam, werd geroepen: "O Môesa!"
012_00	Voorwaar, Ik ben jouw Heer, dus trek jouw sandalen uit: vooirwau, jij bevindt je in de heilige vallei Thoewa.
013_00	En ik heb jou uitverkoren, dus luister naar wat geopenbaard wordt.
014_00	Voorwaarm, Ik ben Allah, er is geen god dan Ik. Aanbid mij daarom en onderhoud de shalât om Mij te gedenken.
015_00	Voorwaar, het Uur zal komen. Ik sta op het punt om Zelf te onthullen dat iedere ziel beloond zal worden voor wat zij nastreeft.
016_00	Laat je daarom er niet van affhouden door degene die er niet in gelooft en zijn begeerte volgt, zodat jij niet ten onder gaat.
017_00	Wat is dat daar in jouw rechterhand, O Môesa?"
018_00	Hij (Môesa) zei: "Dat is mijn staf, waarop ik leun en warmee ik bladeren afsla voor mijn schapen en die ik ook voor andere doelen gebruik."
019_00	Hij (Allah) zei: "Werp hem neer, O Môesa!"
020_00	Toen wierp hij hem neer en hij word een slang die zich snel voortbewoog.
021_00	Hij (Allah) zei: "Pak hem op en wees niet bang, Wij zullen hem weer in de oorspronkelijke toestand terugbrengen.
022_00	En stop jouw hand onderjouw kraag, hij zal wit tevoorschijn komen, zonder ziekte, als een ander Teken.
023_00	Zodat Wij jou iets te laten zien van Onze gmte Tekenen.
024_00	Ga naar Fir'aun: voorwaar, hij overtrad."
025_00	Hij (Môesa) zei: "O Heer, verruim mijn borst.
026_00	En maak mijn taak makkelijk voor mij.
027_00	En verlos mij van het gebrek in mijn tong.
028_00	Zodat zij mijn woorden zullen begrijpen.
029_00	En stel voor mij een helper aan uit mijn familie.
030_00	Hârôen, mijn broeder.
031_00	Versterk met hem mijn kracht.
032_00	En laat hem delen in mijn taak.
033_00	Zodat wij U veel kunnen prijzen.
034_00	En U veel zullen gedenken.
035_00	Voorwaar, U bent Alziend over ons."
036_00	Hij (Allah) zei: "Waarlijk, jouw verzoek is ingewilligd, O Môesa.
037_00	En voorzeker, Wij hebben jou een andere keer begunstigd.
038_00	Toen Wi jouw moeder inspireerden met wat geinspireerd werd.
039_00	(Wij zeiden haar:) 'Leg hem in de kist en werp hem in de zee, zodat de zee hem op de kust zal werpen; een vijand
039_01	van Mij en een vijand van hem zal hem opnemen.' En ik heb Mijn liefde over jou uitgestort opdat jij onder Mijn toezicht grootgebracht werd.
040_00	Toen jouw zuster heenging en (tegen de familie van Fir'aun) zei: 'Zal ik hem naar iemand brengen, die voor hem kan zorgen?' Zo brachten Wij jou bij jouw moeder terug, zodat haar ogen verblijdden en niet treurden.
040_01	En jij hebt iemand gedood; daarop hebben Wij jou uit de moeilijkheden gered en Wij hebben jou aan veel beproevingen blootgesteld. Zo verbleef jij jaren onder het volk van Madyan, toen kwam jij, zoals bepaald, O Môesa.
041_00	En ik heb jou voor Mijzelf gekozen.
042_00	Gaat heen jij en je broeder en veronachtzaamt Mijn gedachtenis niet.
043_00	Gaat naar Fir'aun: voorwaar, hij overtrad.
044_00	En spreekt mild tot hem, moge hij zich laten vermanen, of er bang van worden."
045_00	Zij zeiden: "Onze Heer, voorwaar, wij zijn bang dat hij gewelddadig zal zijn tegen ons, of zal overtreden."
046_00	Hij zei: "Weest niet bang. Voorwaar, Ik ben met jullie beiden, Ik hoor en Ik zie.
047_00	Gaat daarom naar hem toe.
047_01	en zegt: 'Voorwaar, wij zijn Boodschappers van jouw Heer, stuur de Kinderen van Israël met ons en bestraft hen niet. Wij zijn waarlijk tot jou gekomen met een Teken van jouw Heer, en vrede is met degene die de Leiding volgde.
048_00	Voorwaar, het is aan ons geopenbaard, dat de bestraffing over hem zal komen die (Allah) loochent en zich afwendt."'
049_00	Hij (Fir'aun) zei: "Wie is jullie Heer, O Môesa?"
050_00	Hij (Môesa) zei: "Onze Heer is Degene Die aan ieder ding van Zijn schepping vorm gegeven heeft en (het) daarna geleid heeft."
051_00	Hij (Fir'aun) zei, "Hoe staat het dan met de vroegere generaties?"
052_00	Hij (Môesa) zei: "De kennis over hen is bij mijn Heer, in een Boek. Mijn Heer maakt geen fouten en vergeet niet."
053_00	Degene Die de aarde voor jullie uitspreidde en er wegen voor jullie op aanlegde, en water uit de hemel deed neerdalen. Waarmee Wij paren van verschillende soorten planten hebben voortgebracht.
054_00	Eet en laat jullie vee grazen: voorwaar, daarin zijn Tekenen voor de bezitters van verstand.
055_00	Uit haar hebben Wij jullie geschapen en daarin zullen Wij jullie terug doen keren en daaruit zullen Wij jullie een andere keer opwekken.
056_00	En voorzeker, Wij hebben hem (Fir'aun) al Onze Tekenen laten zien, maar hij ontkende en weigerde.
057_00	(Fir'aun zei:) "Ben jij naar ons toegekomen om ons uit ons land te verdrijven met jouw tovenarij, O Môesa?
058_00	Dan zullen wij zeker met eenzelfde soort tovenarij voor jou komen, maak maar een afspraak tussen ons en jou, die wij niet verbreken en jij ook niet, op een plaats op gelijke afstand."
059_00	Hij (Môesa) zei: "Jullie afspraak zal op de feestdag zijn en laat de mensen in de ochtend verzameld worden."
060_00	Toen ging Fir'aun weg om zijn plannen te beramen en daarna kwam hij terug.
061_00	Môesa zei tot hen: "Wee jullie, verzint geen leugens over Allah, want dan zal Hij jullie door een bestraffing vernietigen. En waarlijk, wie leugens verzint is degene die verlist."
062_00	Zij (de Lieden van Fir'aun) twistten met elkaar over hun zaak en hielden een geheim overleg.
063_00	Zij zeiden: "Waarlijk, dit zijn zeker twee tovenaars, die jullie met hun tovenarij uit jullie land willen verdrijven en zij gaan jullie navolgenswaardige levenswijze doen verdwijnen.
064_00	Stelt daaarom jullie plan op en komt dan in rijen. En waarlijk, hij die vandaag Wint zal de overhand krijgen."
065_00	Zij zeiden: "O Môesa, of jij werpt, of zijn wij het die het eerst werpen?"
066_00	Hij zei: "Werpt maar." En toen scheen het hem toe dat hun touwen en hun staven zich door hun tovenarij voortbewogen.
067_00	Toen voelde Môesa vrees in zich opkomen.
068_00	Wij (Allah) zeiden: "Vrees niet! Voorwaar, jij zult de overhand krijgen.
069_00	Werp neer wat in jouw rechterhand is, het zal wat zij wrochtten verslinden. Voorwaar, wat zij wrochtten is slechts een list van een tovenaar. En de tovenaar wint niet, hoe hij het ook doet."
070_00	Toen werden de tovenaars op hun knieën neergeworpen, zij zeiden: "Wij geloven in de Heer van Hârôen en Môesa,"
071_00	Hij (Fir'aun) zei: "Geloven jullie hem voordat ik jullie toestemming gegeven heb? Voorwaar, hij is zeker jullie meester die jullie tovenarij onderwezen heeft.
071_01	Ik zal zeker jullie handen en voeten aan tegenovergestelde kanten afhakken en ik zal jullie zeker kruisigen aan de stammen van palmbomen! En jullie zullen zeker weten wie van ons strenger en blijvender is wat betreft bestraffing."
072_00	Zij zeiden: "Wij zullen jou nooit verkiezen boven de duidelijke Tekenen die tot ons gekomen zijn en Degene Die ons geschapen heeft. Besluit daarom wat je besluit is: voorwaar, wat jij ook besluit, dat is van het wereldse leven.
