001_00	Gezegend is Degene in Wiens Hand de heerschappij is. En Hij is Almachtig over alle zaken.
002_00	Degenen Die de dood en het leven heeft geschapen om jullie te beproeven, (en te tonen) wie van jullie de beste daden verricht. En Hij is de Almachtige, de Vergevensgezinde.
003_00	Degene Die de hemel in lagen heeft geschapen. Jij ziet in de schepping van de Erbarmer geen onevenwichtigheid. Kijk dan nog een keer, zie jij een afwijking?
004_00	Kijk dan nog eens twee maal, jij zult jouw ogen nederig neerslaan, terwijl zij vermoeid zijn.
005_00	En voorzeker, Wij hebben de nabije hemel met lampen (sterren) gesierd en Wij maakten die om er de Satans mee te stenigen. En Wij hebben voor hen de bestraffing van Sa'îr (de Hel) bereid.
006_00	En voor degenen die niet in hun Heer geloven, is er de bestraffing van de Hel. En dat is de slechtste plaats van bestemming!
007_00	En wanneer zij daarin geworpen worden, dan horen zij een afschrikwekkend gebrul ervan, terwijl zij (de Hel) raast.
008_00	Haast barst zij van woede. Telkens wanneer een groep erin wordt geworpen, vragen de wakers ervan hen: "Is er geen waarschuwer tot jullie gekomen?"
009_00	Zij zeggen: "Welzeker, er is waarlijk een waarschuwer tot ons gekomen, maar toen loochenden wij. En wij zeiden: "Allah heeft niets neergezonden, jullie verkeren slechts in grote dwaling."
010_00	Zij zeiden: "Als wij (het) konden horen of begrijpen, dan zouden wij niet tot de bewoners van Sa'îr (de Hel) behoren!"
011_00	Zij bekennen dan hun zonden. Daarom, ten onder gaan de bewoners van Sa'îr (de Hel)!
012_00	Voorwaar, voor degenen die hun Heer in het verborgene vrezen, voor hen is er vergeving en een grote beloning.
013_00	En houdt jullie woorden geheim of maakt ze openbaar: voorwaar, Hij is Alwetend over wat er in de harten is.
014_00	Zou Hij die schiep geen kennis hebben (over het geschapene)? Hij is de Zachtmoedige, de Alwetende.
015_00	Hij is Degene Die de aarde voor jullie begaanbaar heeft gemaakt. Wandelt dan over haar zijden en eet van Zijn voorzieningen. En tot Hem is de opwekking.
016_00	Voelen jullie je er veilig voor dat Hij Die in de hemel is, jullie niet zal doen wegzinken in de aarde? Zij begint al te schudden!
017_00	Of voelen jullie je er veilig voor dat Hij Die in de hemel is, niet een vulkanische regen over jullie zal zenden? Jullie zullen dan weten hoe (terecht) Mijn waarschuwing was.
018_00	En voorzeker, degenen die er v??r hen (de Boodschappers) waren loochenden, en hoe (verschrikkelijk) was toen Mijn verafschuwing.
019_00	En kijken jullie niet naar de vogels boven jullie, hoe zij hun vleugels uitslaan en weer ineenvouwen? Er is niemand die ze tegenhoudt dan de Erbarmer. Voorwaar, Hij is Alziende over alle zaken.
020_00	Of wie is het die voor jullie als een leger is en die jullie helpt naast de Erbarmer? De ongelovigen verkeren slechts in dwaling,
021_00	Of wie is het die jullie voorziet als Hij Zijn voorzieningen tegenhoudt? Nee, zij volharden in hoogmoed en afschuw.
022_00	Is hij dan, die voortkruipt met zijn gezicht over de grond, beter geleid dan hij die rechtop op het rechte Pad loopt?
023_00	Zeg: "Hij is Degene Die jullie heeft doen ontstaan en voor jullie het gehoor, het gezichtsvermogen en de harten heeft gemaakt. Weinig is de dankbaarheid die jullie tonen."
024_00	Zeg: "Hij is Degene Die jullie op de aarde vermenigvuldigd heeft en tot Hem zullen jullie verzameld worden."
025_00	En zij zeggen: "Wanneer zal deze aanzegging plaatsvinden, als jullie waarachtigen zijn?"
026_00	Zeg: "De kennis daarover is slechts bij Allah en ik ben slechts een duidelijke waarschuwer."
027_00	Wanneer zij dan (de bestraffing) van dichtbij zien, worden de gezichten van degenen die niet geloven bedroefd, en er zal worden gezegd: "Dit is waar jullie om plachten te vragen."
028_00	Zeg: "Wat dachten jullie, als Allah mij en wie met mij zijn vernietigt of als Hij ons begenadigt, wie beschermt dan de ongelovigen tegen een pijnlijke bestraffing?"
029_00	Zeg: "Hij is de Erbarmer, Wij geloven in Hem en wij vertrouwen op Hem." Jullie zullen weten wie in duidelijke dwaling verkeert."
030_00	Zeg: "Wat dachten jullie, als jullie water plotseling in de aarde verdwijnt, wie zal jullie dan stromend water brengen?"
