001_00	Wee de zwendelaars!
002_00	Degenen die wanneer zij mensen voor zich laten wegen de volle maat eisen.
003_00	Maar wanneer zij voor anderen afmeten of voor hen afwegen, benadelen zij (hen).
004_00	Zijn diegenen dan er niet van overtuigd dat zij opgewekt zullen worden?
005_00	Op een geweldige Dag?
006_00	Op de Dag waarop de mensen voor de Heer der Werelden staan?
007_00	Nee, voorwaar, het boek van de zondigen is in Siddjîen.
008_00	En wat doet jou weten wat Siddjîen is?
009_00	Een volbeschreven boek.
010_00	Wee die Dag de loochenaars!
011_00	Degenen die de Dag des Oordeels loochenen.
012_00	En niemand loochent die behalve elke zondige overtreder.
013_00	Wanneer Onze Verzen aan hem worden voorgedragen, zegt hij: "Fabels van de vroegeren!"
014_00	Nee! Wat zij plachten te doen heeft zelfs hun harten bedekt.
015_00	Nee, voorwaar, zij zullen zeker op die Dag van hun Heer afgescheiden zijn.
016_00	Vervolgens zullen zij zeker Djahîm (de Hel) binnengaan.
017_00	Daarop wordt gezegd: "Dit is dat wat jullie plachten te loochenen."
018_00	Nee! Voorwaar, het boek van de deugdzamen is zeker in 'Illiyyôen.
019_00	En wat doet jou weten wat 'Illiyyôen is?
020_00	Een volbeschreven Boek.
021_00	De bij (Allah) gebrachten zijn er getuigen van.
022_00	Voorwaar, de deugdzamen zullen zeker in Na'im (het Paradijs) vertoeven.
023_00	Op rustbanken kijken zij toe.
024_00	Jij herkent in hun gezichten de stralende gelukzaligheid
025_00	Hun wordt verzegeld drinken ingeschonken.
026_00	Waarvan het zegel van muskus is, en laten de wedijveraars hierom dan wedijveren.
027_00	En zijn mengdrank is van (de bron) Tasmîm.
028_00	Een bron waarvan de nabijgebrachten drinken.
029_00	Voorwaar, degenen die zondigden plachten over degenen die geloofden te lachen.
030_00	En wanneer zij aan hen voorbijgingen, knipoogden zij naar elkaar.
031_00	En wanneer zij terugkeerden naar hun volk, keerden zij verheugd terug.
032_00	En wanneer zij hen zagen, zeiden zij: "Voorwaar, zij zijn zeker dwalend."
033_00	En zij zijn niet als bewakers over hen gezonden.
034_00	Maar op deze Dag zullen degenen die geloven lachen over de ongelovigen.
035_00	Op rustbanken kijken zij toe.
036_00	Worden de ongelovigen niet vergolden voor wat zij plachten te doen?
