001_00	Degenen die ongelovig zijn en afhouden van de Weg van Allah: Hij zal hun werken verloren doen gaan.
002_00	Maar degenen die geloven en goede werken verrichten en die geloven in wat aan Moehammad is neergezonden - en het is de Waarheid van hun Heer: Hij zal hun zonden uitwissen en hun toestand verbeteren.
003_00	Dat is omdat degenen die ongelovig zijn de valsheid volgen, terwijl degenen die gelovig zijn de Waarheid van hun Heer volgen. Zo maakt Allah voor de mensen vergelijkingen.
004_00	Wanneer jullie degenen die ongelovig zijn (op het slagveld) ontmoeten: doodt hen. Wanneer jullie hen verslagen hebben: bindt (de gevangenen) dan stevig vast, of laat (hen) vrij of vrij (na) een losgeld, tot de oorlog voorbij is. Zo is het.
004_01	En als Allah het wil, dan vernietigt Hij hen zeker. Maar Hij wil een groep van jullie beproeven met een andere groep. En degenen die gedood worden op de Weg van Allah: Hij doet hun werk nooit verloren gaan.
005_00	Hij leidt hen en verbetert hun toestand.
006_00	En Hij doet hen het Paradijs binnengaan dat Hij aan hen bekend heeft gemaakt.
007_00	O jullie die geloven, als jullie (de godsdienst van) Allah helpen, dan zal Hij jullie helpen en jullie voeten stevig (op het slagveld) plaatsen.
008_00	En degenen die niet geloofden, vernietiging is er voor hen! En Hij doet hun werken verloren gaan.
009_00	Dat is omdat zij haatten wat Allah heeft neergezonden, dus maakte Hij hun daden vruchteloos.
010_00	Reizen zij dan niet op de aarde, zodat zij zien hoe het einde was vast degenen v??r hen? Allah vernietigde hen. En de ongelovigen wacht hetzelfde.
011_00	Dat is omdat Allah de Beschermer van degenen die geloven is, en omdat er voor de ongelovigen geen beschermer is.
012_00	Voorwaar, Allah zal degenen die geloven en goede werken verrichten doen binnengaan in Tuinen (het Paradijs) waar onderdoor de rivieren stromen, terwijl degenen die ongelovig zijn (van het wereldse leven) genieten en eten zoals het vee eet.
012_01	De Hel zal hun verblijfplaats zijn.
013_00	En hoeveel steden zijn er niet sterker dan de stad die jou (O Moehammad) heeft verdreven? Wij hebben hen vernietigd en er was geen helper voor hen.
014_00	Is hij die zich op een duidelijk bewijs van zijn Heer beroept, gelijk aan degene wiens slechte daden schoonschijnend zijn gemaakt (door de Satan) en die zijn begeerten volgt?
015_00	Is het (geluk van) het Paradijs dat aan de Moettaqôen beloofd is, waarin rivieren zijn met versblijvend water, en van melk waarvan de smaak niet verandert,
015_01	en rivieren van Khamr, als een genieting voor hen die drinken, en rivieren van zuivere honing, en waarin voor hen allerlei vruchten zijn en vergeving van
015_02	hun Heer; gelijk (aan de ellende van) hen die eeuwig levenden in de Hel zijn, in wie kokend water wordt gegoten, dat hun ingewanden dan aan stukken snijdt?
016_00	En onder hen zijn er die naar jou luisteren; maar wanneer zij bij jou weggaan, zeggen zij tot degenen aan wie de kennis
016_01	is gegeven (de metgezellen van de Profeet): "Wat zei hij daarnet?" Zij zijn degenen wiens harten Allah heeft verzegeld en die hun begeerten volgen.
017_00	Maar degenen die de Leiding volgden: Hij vermeerderde hun Leiding en Hij gaf hun hun vrees (voor Hem).
018_00	Zij (de ongelovigen) wachten slechts op het Uur dat plotseling tot hen zal komen. Voorzeker, de Tekenen ervan zijn al gekomen. Hoe kunnen zij wanneer (het Uur) tot hen komt, dan nog hun vermaning krijgen?
019_00	Weet dat er geen god is dan Allah en vraag om vergeving voor jouw zonden en voor (de zonden van) de gelovige mannen en de gelovige vrouwen. En Allah kent jullie bezigheden (op aarde) en jullie verblijfplaats (in het Hiernamaals).
020_00	En degenen die geloven zeggen: "Was er maar een Soerah neergezonden (die het voeren van oorlog beveelt).
020_01	Maar wanneer dan een onweerlegbare (Moehkamah) Soerah wordt neergezonden, waarin (het bevel tot) oorlog wordt genoemd, dan zie jij degenen in wier harten een ziekte is, naar jou kijken met de blik van degene die in zwijm dreigt te vallen uit doodsangst.
020_02	Wee hen!
021_00	Gehoorzaamheid en een juist woord (zouden beter zijn). Wanneer dan de zaak (van het bevel tot oorlog) is besloten, (dan hebben zij er een afkeer van). Maar als zij oprecht zouden zijn tegenover Allah, dan zou dat beter voor hen zijn.
022_00	Het kan zijn, als jullie je afwenden, dat jullie verderf zaaien op de aarde en jullie familiebanden verbreken.
023_00	Zij zijn degenen die Allah vervloekt heeft en die Hij doof gemaakt heeft, en Hij heeft hun ogen blind gemaakt.
024_00	Denken zij niet na over de Koran? Er zijn zelfs sloten op hun harten.
