001_00	Ya Sîn.
002_00	Bij de wijze Koran.
003_00	Voorwaar, jij (Mohammed) behoort zeker tot de gezanten.
004_00	Op het rechte Pad.
005_00	(Deze Koran) als een neerzending van de Almachtige, de Meest Barmhartige.
006_00	Opdat jij een volk zal waarschuwen waarvan hun voorvaderen niet gewaarschuwd zijn, zodat zij achtelozen waren.
007_00	Voorzeker, het woord (van bestraffing) is tegen de meesten van hen bewaarheid omdat zij niet geloven.
008_00	Voorwaar, Wij hebben om hun nekken ketenen gelegd en die reiken tot de kinnen, zodat hun hoofden opgeheven blijven.
009_00	En Wij hebben v??r hen een hindernis geplaatst en achter hen een hindernis en Wij hebben hun ogen bedekt, zodat zij niet kunnen zien.
010_00	En het maakt geen verschil of jij hen waarschuwt of niet waarschuwt, zij geloven niet.
011_00	Voorwaar, jij kunt slechts waarschuwen wie de Vermaning volgt en de Erbarmer vreest, hoewel hij Hem niet kan waarnemen. Verkondig hem daarom de verheugende tijding van vergeving en een edele beloning.
012_00	Voorwaar, Wij zijn het Die de doden tot leven brengen en Wij schrijven op wat zij gedaan hebben en (ook) hun sporen. En alle zaken hebben Wij opgesomd in een duidelijk boek.
013_00	En geef hen een voorbeeld: de bewoners van de stad toen de gezanten tot haar kwamen.
014_00	Toen Wij er twee tot hen zonden, waarop zij hen loochenden, toen versterkten Wij (hen) met een derde. Zij zeiden toen: "Voorwaar, wij zijn gezanten voor jullie."
015_00	Zij zeiden: "Jullie zijn slechts mensen zoals wij en de Erbarmer heeft niets neergezonden, jullie doen niets anders dan liegen."
016_00	Zij zeiden: "Voorwaar, onze Heer weet dat wij zeker gezanten voor jullie zijn.
017_00	En onze taak is slechts het overbrengen van de duidelijke verkondiging.
018_00	Zij zeiden: "Voorwaar, wij zien een kwaad lot in jullie, als jullie dan niet ophouden, dan zullen wij jullie zeker stenigen en dan zal jullie zeker een pijnlijke bestraffing van ons treffen."
019_00	Zij zeiden: "Jullie kwade lot ligt bij jullie zelf, is het omdat jullie vermaand worden? Nee, jullie zijn een buitensporig volk."
020_00	En uit het verste gedeelte van de stad kwam een man aangesneld, die zei: "O mijn volk, volgt de gezanten.
021_00	Volgt hen die geen beloning van jullie vragen en rechtgeleiden zijn.
022_00	En waarom zou ik niet Hem aanbidden Die mij heeft geschapen? En tot Hem worden jullie teruggekeerd.
023_00	Hoe zou ik dan naast Hem goden kunnen nemen? Als de Barmhartige voor mij tegenspoed zou wensen, dan zou hun voorspraak mij niets baten en mij niet redden.
024_00	Voorwaar, dan zou ik zeker in duidelijke dwaling verkeren.
025_00	Voorwaar, ik geloof in jullie Heer, luistert daarom."
026_00	Er werd gezegd: "Treed het Paradijs binnen." Hij zei: "O wee, wist mijn volk maar.
027_00	Wat mijn Heer mij heeft vergeven en mij tot één van de geëerden heeft gemaakt!"
028_00	En Wij hebben na hem geen leger (van engelen) uit de hemel tot zijn volk gezonden, en Wij zonden hen niet.
029_00	Het was slechts één bliksemslag en toen waren zij dood.
030_00	Wat jammer voor de dienaren, er komt geen Boodschapper tot hen, of zij drijven de spot met hem.
031_00	Weten zij dan niet hoeveel generaties v??r hen Wij vernietigd hebben? Zij zullen niet tot hun (wereldse levens) terugkeren.
032_00	En zij zullen allen bijelkaar bij Ons voorgeleiden zijn.
033_00	En een teken voor hen is de dode aarde die Wij tot leven doen komen en waaruit Wij graan voortbrengen waarvan zij eten.
034_00	En Wij hebben daarin tuinen met dadelpalmen en druivenstruiken gemaakt en Wij hebben daarin bronnen doen ontspringen.
035_00	Opdat zij van haar vruchten eten en van wat hun handen hebben verricht. Zijn zij dan niet dankbaar?
036_00	Heilig is Degene Die al de soorten heeft geschapen die de aarde voortbrengt en uit henzelf en van wat zij niet weten.
037_00	En een Teken voor hen is de nacht waarvan Wij de dag onttrekken, dan bevinden zij zich in de duisternis.
038_00	En de zon loopt in haar vaste baan. Dat is de verordening van de Almachtige, de Alwijze.
039_00	En Wij hebben voor de maan standen bepaald, zodat zij terugkeert als een oud sikkeltje van een dadeltros.
040_00	Het is niet mogelijk dat de zon de maan bereikt en de nacht kan de dag niet inhalen. Allen bewegen in een kringloop.
041_00	En het is een Teken voor hen dat Wij hun nakomelingen dragen in een volgeladen schip.
042_00	En Wij hebben voor hen iets dat daarop lijkt geschapen, waarop zij rijden.
043_00	En als Wij willen, dan doen Wij hen verdrinken en dan zal er geen helper voor hen zijn, en zij zullen niet worden gered.
044_00	Behalve als een genade van Ons, en als een gunst voor een vastgestelde tijd.
045_00	En wanneer tot hen wordt gezegd: "Vreest wat v??r jullie en wat achter jullie is, hopelijk zullen jullie begenadigd worden, (toen keerden zij zich af.)"
046_00	En er komt geen Teken tot hen, van de Tekenen van hun Heer, of zij wenden zich er van af.
047_00	En wanneer tot hen wordt gezegd: "Geeft uit van waar Allah jullie mee voorzien heeft," dan zeggen degenen die ongelovig zijn tot degenen die gelovig zijn: "Zouden wij degenen voeden die Hij had kunnen voeden, als Allah het gewild had? Jullie verkeren slechts in duidelijke dwaling."
048_00	En zij zeggen: "Wanneer zal deze belofte vervuld worden, als jullie waarachtigen zijn?"
049_00	Zij wachten op niets anders dan één enkele bliksemslag die hen grijpt terwijl zij redetwisten.
