001_00	Alif Lam Ra. Dit zijn Verzen van het Boek, en een duidelijke Koran.
002_00	Misschien zullen degenen die ongelovig zijn wensen dat zij Moslims waren.
003_00	Lad hen eten en zich vermaken en worden afgeleid door de (valse) hoop, later ze zullen (het) weten.
004_00	En Wij hebben nooit een stad vernietigd, behalve op een vastgestelde tijdstip.
005_00	Er is geen gemeenschap die haar tijdstip kan verhaasten of vertragen.
006_00	Zij zeiden: "O jij, aan wie de vermaning (Koran) is neergezonden: voorwaar, jij bent zeker bezeten.
007_00	Waarom heb jij de Engelen niet naar ons gebracht, als jij tot de waarachtigen behoort?"'
008_00	Wij sturen de Engelen niet, behalve met de Waarheid. En zij zouden dan geen uitstel (van hun bestraffing) hebben gekregen.
009_00	Voorwaar, Wij zijn het Die de Vermaning (de Koran) hebben neergezonden. En voorwaar, Wij zijn daarover zeker de Wakers.
010_00	En voorzeker, Wij hebben (Boodschappers) voor jou gezonden naar de vroegere volkeren.
011_00	En er kwam nooit een Boodschapper tot hen of zij dreven de spot met hen.
012_00	Op deze wijze doen wij het (ongeloof) in de harten van de misdadigers binnengaan.
013_00	Zij geloven er niet in, hoewel de gebruikelijke handelwijze (de bestraffing van Allah) van de vroegeren wazlijk heeft plaatsgevonden.
014_00	En als Wij voor hen een poort van de hemel zouden openen, wardoor zij dan zouden kunnen blijven opstijgen.
015_00	(Dan) zouden zij zeker zeggen: "Voorwaar, ons gezichtsvermogen is beneveld; wij zijn zelfs een betoverd volk."
016_00	En voorzeker, Wij hebben in de hemel sterrenstelsels aangebracht en Wij hebben haar versierd voor de aanschouwers.
017_00	En Wij hebben haar bewaakt tegen elke vervloekte Satan.
018_00	Behalve degene die (de Satan) heeft afgeluisterd, dan achtervolgd wordt door een heldere vlam.
019_00	En Wij hebben de aarde uitgestrekt en Wij hebben daarop bergen geplaatst en Wij hebben daarop van alles doen groeien volgens een evenwichte maat.
020_00	En Wij hebben voor jullie daar levensonderhoud gemaakt, (ook voor) degene voor wie jullie niet de voorzieners zijn.
021_00	Er is geen ding waarvan de schatten niet bij Ons zijn, en Wij zenden deze slechts volgens een vastgestelde maatgeving neer.
