001_00	Bij de hard uitrukkenden.
002_00	Bij de zacht uittrekkenden.
003_00	Bij de snel uitvoerenden.
004_00	De snel voorbijstrevenden.
005_00	De uitvoerenden van een bevel.
006_00	Op de Dag waarop de bevende doet beven.
007_00	Zal deze gevolgd worden door de (tweede) beving.
008_00	De harten zullen op die Dag bonzen.
009_00	Hun ogen zullen angstig teneergeslagen zijn.
010_00	Zij zeggen: "Zullen wij zeker worden teruggebracht in de vorige staat?
011_00	Als wij vergruisde beenderen zijn geworden?"
012_00	Zij zeggen: "Dat is dan een verliesgevende terugkeer.
013_00	En voorwaar, het zal slechts één enkele stoot zijn.
014_00	En dan staan zij op het aardoppervlak.
015_00	Heeft het verhaal van Môesa jou bereikt?
016_00	Toen zijn Heer hem riep in de heilige vallei van Thoewa.
017_00	(Allah zei:) "Ga naar Fir'aun: voorwaar, hij was in overtreding.
018_00	En zeg tot hem: "Heb jij de wil om jezelf te reinigen (van zonde)?
019_00	En dat ik jou tot jouw Heer zal leiden, zodat jij (Hem) vreest?"
020_00	En hij toonde hem de grote Tekenen (wonderen).
021_00	Maar hij loochende en was ongehoorzaam.
022_00	Vervolgens draaide hij zich om en vluchtte.
023_00	Toen verzamelde hij (zijn tovenaars) en riep uit.
024_00	En zei: "Ik ben jullie heer, de hoogste."
025_00	En Allah greep hem met de bestraffing voor het eerste en het laatste (van wat hij zei)."
026_00	Voorwaar, daarin is zeker onderricht voor wie (Allah) vreest.
027_00	Is de schepping van jullie moeilijker dan die van de hemel die Hij gebouwd heeft?
028_00	Hij verhief haar (de hemel) en vervolmaakte haar.
029_00	En Hij maakte haar nacht duister en Hij maakte haar dag licht.
030_00	En daarna spreidde Hij de aarde uit.
031_00	En Hij bracht uit haar haar water en planten tevoorschijn.
032_00	En Hij verstevigde de bergen.
033_00	Als een voorziening voor jullie en voor jullie vee.
034_00	Wanneer dan de overweldigende gebeurtenis plaatsvindt.
035_00	Op die Dag zal de mens zich herinneren wat hij bedreef.
036_00	En de Hel zal getoond worden aan wie ziet.
037_00	Wat betreft degene die overtrad.
038_00	En de voorkeur gaf aan het wereldse leven.
039_00	Voorwaar, de Hel is de verblijfplaats!
040_00	En wat betreft degene die de macht van zijn Heer vreesde en zijn ziel weerhield van slechte begeerten.
041_00	Voorwaar, het Paradijs is de verblijfplaats.
042_00	Zij vragen jou naar het Uur: "Wanneer zal het plaatsvinden?"
043_00	Hoe kan jij dat noemen?
044_00	Bij jouw Heer is de kennis daarover.
045_00	Voorwaar, jij bent slechts een vermaner voor wie het (Uur) vreest.
046_00	Op de Dag dat zij het (Uur) zien, zal het zijn alsof zij slechts een avond of de morgen op de aarde verbleven.
