001_00	AMETUKUKA ambaye mkononi mwake umo Ufalme wote; na Yeye ni Mwenye uweza juu ya kila kitu.
002_00	Ambaye ameumba mauti na uhai ili kukujaribuni ni nani miongoni mwenu mwenye vitendo vizuri zaidi. Na Yeye ni Mwenye nguvu na Mwenye msamaha.
003_00	Aliye umba mbingu saba kwa matabaka. Huoni tafauti yoyote katika uumbaji wa Mwingi wa Rehema. Hebu rudisha nadhari! Unaona kosa lolote?
004_00	Tena rudisha nadhari mara mbili, nadhari yako itakurejea mwenyewe hali ya kuwa imehizika nayo imechoka.
005_00	Na kwa hakika tumeipamba mbingu ya karibu kwa mataa, na tumeyafanya ili kuwapigia mashetani, na tumewaandalia adhabu ya Moto uwakao kwa nguvu.
006_00	Na kwa walio mkufuru Mola wao Mlezi ipo adhabu ya Jahannamu. Na ni marejeo maovu yalioje hayo!
007_00	Watakapo tupwa humo watausikia mngurumo wake na huku inafoka.
008_00	Inakaribia kupasuka kwa hasira. Kila mara likitupwa kundi humo walinzi wake huwauliza: Kwani hakukujieni mwonyaji?
009_00	Watasema: Kwani! Ametujia mwonyaji, lakini tulimkadhibisha, na tukasema: Mwenyezi Mungu hakuteremsha chochote. Nyinyi hamumo ila katika upotovu mkubwa!
010_00	Na watasema: Lau kuwa tungeli sikia, au tungeli kuwa na akili, tusingeli kuwa katika watu wa Motoni!
011_00	Wakakiri dhambi zao. Basi kuangamia ni kwa watu wa Motoni!
012_00	Hakika wanao mwogopa Mola wao Mlezi kwa ghaibu, watapata maghfira na ujira mkubwa.
013_00	Na ficheni kauli zenu, au zitangazeni; hakika Yeye ni Mjuzi wa yaliyomo vifuani.
014_00	Asijue aliye umba, naye ndiye Mjua siri, Mwenye khabari?
015_00	Yeye ndiye aliye idhalilisha ardhi kwa faida yenu, basi tembeeni katika pande zake, na kuleni katika riziki zake. Na kwake Yeye ndio kufufuliwa.
016_00	Mnadhani mko salama kwa alioko juu kuwa hatakudidimizeni kwenye ardhi, na tahamaki hiyo inatikisika!
017_00	Au mnadhani mko salama kwa alioko juu ya kuwa Yeye hakupelekeeni kimbunga chenye changarawe? Mtajua vipi maonyo yangu?
018_00	Na bila ya shaka walikwisha kanusha walio kuwa kabla yao; basi kulikuwaje kukasirika kwangu?
019_00	Kwani hawawaoni ndege walioko juu yao namna wanavyo zikunjua mbawa zao, na kuzikunja? Hawawashikilii ila Mwingi wa rehema. Hakika Yeye ni Mwenye kuona kila kitu.
020_00	Au ni lipi hilo jeshi lenu la kukunusuruni badala ya Mwingi wa Rehema? Hakika makafiri hawamo ila katika udanganyifu.
021_00	Au ni nani huyo ambaye atakupeni riziki kama Yeye akizuia riziki yake? Bali wao wanakakamia tu katika jeuri na chuki.
022_00	Je! Anaye kwenda akisinukia juu ya uso wake ni mwongofu zaidi, au yule anaye kwenda sawasawa katika Njia Iliyo Nyooka?
023_00	Sema: Yeye ndiye aliye kuumbeni tangu mwanzo, na akakupeni masikio na macho, na nyoyo. Ni kidogo kabisa shukrani zenu.
024_00	Sema: Yeye ndiye aliye kutawanyeni katika ardhi, na kwake mtakusanywa.
025_00	Na wanasema: Lini ahadi hii, ikiwa mnasema kweli?
026_00	Sema: Hakika ujuzi wake uko kwa Mwenyezi Mungu; na hakika mimi ni mwonyaji tu mwenye kubainisha.
027_00	Lakini watakapo iona karibu, nyuso za walio kufuru zitahuzunishwa, na itasemwa: Hayo ndiyo mliyo kuwa mkiyaomba.
028_00	Sema: Mwaonaje, ikiwa Mwenyezi Mungu atanihiliki mimi na walio pamoja nami, au akiturehemu, ni nani atakaye walinda makafiri na adhabu chungu?
029_00	Sema: Yeye ndiye Mwingi wa Rehema; tunamuamini Yeye, na juu yake tunategemea. Mtakuja jua ni nani aliye katika upotovu ulio dhaahiri.
030_00	Sema: Mwaonaje, yakiwa maji yenu yamedidimia chini, nani atakueleteeni maji yanayo miminika?
