001_00	Mteremsho wa Kitabu hiki umetokana na Mwenyezi Mungu, Mwenye nguvu, Mwenye hikima.
002_00	Hakika Sisi tumekuteremshia Kitabu hiki kwa Haki. Basi muabudu Mwenyezi Mungu ukimsafia Dini Yeye tu.
003_00	Hakika Dini Safi ni ya Mwenyezi Mungu tu.
003_01	Na wale wanao wafanya wenginewe kuwa ni walinzi wakisema: Sisi hatuwaabudu ila wapate kutujongeza tu kumkaribia Mwenyezi Mungu - Hakika Mwenyezi Mungu atahukumu baina yao katika wanayo khitalifiana.
003_02	Hakika Mwenyezi Mungu hamwongoi aliye mwongo kafiri.
004_00	Lau kuwa Mwenyezi Mungu angeli taka kuwa na mwana, basi bila ya shaka angeli teua amtakaye katika alio waumba. Subhanahu, Ametakasika na hayo! Yeye ni Mwenyezi Mungu Mmoja, Mtenda atakalo.
005_00	Ameumba mbingu na ardhi kwa Haki. Hufunika usiku juu ya mchana, na hufunika mchana juu ya usiku. Na amefanya jua na mwezi vitumike.
005_01	Kila kimojapo kinakwenda kwa kipindi kilicho wekewa. Jueni mtanabahi! Yeye ndiye Mwenye nguvu, Mwenye kusamehe!
006_00	Amekuumbeni kutokana na nafsi moja. Kisha akamfanya mwenziwe katika nafsi ile ile. Na akakuleteeni wanyama wa mifugo jozi nane.
006_01	Anakuumbeni katika matumbo ya mama zenu, umbo baada ya umbo, katika viza vitatu. Huyu ndiye Mwenyezi Mungu Mola wenu Mlezi. Ufalme ni wake.
006_02	Hapana mungu isipo kuwa Yeye. Basi nyinyi mnageuzwa wapi?
007_00	Mkikufuru basi Mwenyezi Mungu si mwenye haja nanyi, lakini hafurahii kufuru kwa waja wake. Na mkishukuru Yeye hufurahika nanyi. Wala mbebaji habebi mzigo wa mwingine.
007_01	Kisha marejeo yenu ni kwa Mola wenu Mlezi. Hapo atakwambieni mliyo kuwa mkiyafanya. Hakika Yeye ni Mwenye kuyajua vyema yaliyomo vifuani.
008_00	Na taabu inapo mfikia mtu humwomba Mola wake Mlezi naye ameelekea kwake. Kisha akimpa neema kutoka kwake, husahau yale aliyo kuwa akimwitia zamani, na akamfanyia Mwenyezi Mungu washirika ili apoteze watu njia yake.
008_01	Sema: Starehe na ukafiri wako kwa muda mchache. Kwani hakika wewe utakuwa miongoni mwa watu wa Motoni.
009_00	Je! Afanyae ibada nyakati za usiku kwa kusujudu na kusimama akitahadhari na Akhera, na akitaraji rehema za Mola wake Mlezi...
009_01	Sema: Ati watakuwa sawa wale wanao jua na wale wasio jua? Hakika wanao kumbuka ni watu wenye akili.
010_00	Sema: Enyi waja wangu mlio amini! Mcheni Mola wenu Mlezi.
010_01	Wale wafanyao wema katika dunia hii watapata wema. Na ardhi ya Mwenyezi Mungu ni kunjufu. Hakika wenye subira watapewa ujira wao bila ya hisabu.
011_00	Sema: Hakika mimi nimeamrishwa nimuabudu Mwenyezi Mungu kwa kumsafishia Dini Yeye tu.
012_00	Na nimeamrishwa niwe wa mwanzo wa Waislamu.
013_00	Sema: Hakika mimi ninaogopa adhabu ya Siku Kubwa nikimuasi Mola wangu Mlezi.
014_00	Sema: Mwenyezi Mungu tu namuabudu kwa kumsafishia Yeye tu Dini yangu.
015_00	Basi nyinyi abuduni mpendacho badala yake Yeye. Sema: Hakika walio khasirika ni wale walio jikhasiri nafsi zao na ahali zao Siku ya Kiyama. Tambueni kuwa hiyo ndiyo khasara iliyo dhaahiri.
016_00	Yatawekwa juu yao mat'abaka ya moto, na chini yao mat'abaka. Kwa hayo Mwenyezi Mungu anawakhofisha waja wake. Enyi waja wangu! Nicheni Mimi!
017_00	Na wale wanao jiepusha na ibada potovu, na wakarejea kwa Mwenyezi Mungu, watapata bishara njema. Basi wabashirie waja wangu.
018_00	Ambao husikiliza maneno, wakafuata lilio bora yao. Hao ndio alio waongoa Mwenyezi Mungu, na hao ndio wenye akili.
019_00	Je! Yule mwenye kustahiki hukumu ya adhabu, je, wewe unaweza kumwokoa aliyomo katika Moto?
020_00	Lakini walio mcha Mola wao Mlezi watapata ghorofa zilizo jengwa juu ya ghorofa; chini yake hupita mito. Ndiyo ahadi ya Mwenyezi Mungu. Mwenyezi Mungu havunji ahadi yake.
021_00	Je! Huoni kwamba Mwenyezi Mungu ameteremsha maji kutoka mbinguni.
021_01	Kisha akayapitisha kwenye chemchem katika ardhi, kisha kwa maji hayo akatoa mimea yenye rangi mbali mbali? Kisha hunyauka ukaiona imekuwa kimanjano, na kisha huifanya mapepe. Bila ya shaka katika hayo upo ukumbusho kwa wenye akili.
022_00	Je! Yule ambaye Mwenyezi Mungu amemfungulia kifua chake kwa Uislamu, na akawa yuko kwenye nuru itokayo kwa Mola wake Mlezi (ni sawa na mwenye moyo mgumu?) Basi ole wao wenye nyoyo ngumu zisio mkumbuka Mwenyezi Mungu! Hao wamo katika upotofu wa dhaahiri.
023_00	Mwenyezi Mungu ameteremsha hadithi nzuri kabisa, Kitabu chenye kufanana na kukaririwa; husisimua kwacho ngozi za wenye kumkhofu Mola wao Mlezi. Kisha ngozi zao na nyoyo zao hulainika kwa kumkumbuka Mwenyezi Mungu.
