001_00	IMEWAKARIBIA watu hisabu yao, nao wamo katika mghafala wanapuuza.
002_00	Hayawafikilii mawaidha mapya kutoka kwa Mola wao Mlezi ila huyasikiliza na huku wanafanya mchezo.
003_00	Zimeghafilika nyoyo zao. Na wale walio dhulumu hunong'onezana kwa siri: Ni nani ati huyu isipo kuwa ni binaadamu tu kama nyinyi! Mnauwendea uchawi hali nanyi mnaona?
004_00	Alisema: Mola wangu Mlezi anayajua yasemwayo mbinguni na katika ardhi. Na Yeye ni Mwenye kusikia Mwenye kujua.
005_00	Lakini wao walisema: Hizo ni ndoto za ovyo ovyo, bali amezizua tu, bali huyo ni mtunga mashairi. Basi atuletee miujiza kama walivyo tumwa wale wa mwanzo.
006_00	Hawakuamini kabla yao watu wa mji tulio uangamiza. Basi, je, wataamini hawa?
007_00	Na kabla yako hatukuwatuma ila watu wanaume tulio wapa wahyi (ufunuo). Basi waulizeni wenye ilimu ikiwa nyinyi hamjui.
008_00	Wala hatukuwafanya miili isiyo kula chakula, wala hawakuwa wenye kuishi milele.
009_00	Kisha tukawatimizia miadi, na tukawaokoa wao na tulio wataka, na tukawateketeza walio pita mipaka.
010_00	Na hakika tumekuteremshieni Kitabu ambacho ndani yake yamo makumbusho yenu. Je! Hamzingatii?
011_00	Na mingapi katika miji iliyo kuwa ikidhulumu tumeiteketeza, na tukawasimamisha baada yao watu wengine.
012_00	Basi walipo ihisi adhabu yetu, mara wakaanza kukimbia.
013_00	Msikimbie! Na rejeeni kwenye zile zile starehe zenu, na maskani zenu, mpate kusailiwa!
014_00	Wakasema: Ole wetu! Hakika sisi tulikuwa madhaalimu.
015_00	Hakikuacha hicho kuwa kilio chao mpaka tukawafanya kama walio fyekwa, wamezimika.
016_00	Na hatukuziumba mbingu na ardhi na vilivyo baina yao kwa mchezo.
017_00	Kama tungeli taka kufanya mchezo tunge jifanyia Sisi wenyewe, lau kwamba tungeli kuwa ni wafanyao mchezo.
018_00	Bali tunaitupa kweli juu ya uwongo ikauvunja na mara ukatoweka. Na ole wenu kwa mnayo yazua.
019_00	Na ni vyake Yeye tu Mwenyezi Mungu vilivyomo mbinguni na katika ardhi. Na walioko kwake hawafanyi kiburi wakaacha kumuabudu, wala hawachoki.
020_00	Wanamtakasa usiku na mchana, wala hawanyong'onyei.
021_00	Au wamepata miungu katika ardhi inayo fufua?
022_00	Lau wangeli kuwamo humo miungu wengine isipo kuwa Mwenyezi Mungu basi bila ya shaka hizo mbingu na ardhi zingeli fisidika. Subahana 'Llah Ametakasika Mwenyezi Mungu, Bwana wa A'rshi (Kiti cha Enzi), na hayo wanayo yazua.
023_00	Yeye hahojiwi kwa ayatendayo, na wao ndio wanao hojiwa kwa wayatendayo.
024_00	Au wanawaabudu miungu mingine badala yake? Sema: Leteni ushahidi wenu!
024_01	Haya ni ukumbusho wa hawa walio nami, na ukumbusho wa walio kabla yangu. Lakini wengi wao hawaijui kweli, na kwa hivyo wanapuuza.
025_00	Na hatukumtuma kabla yako Mtume yeyote ila tulimfunulia ya kwamba hapana mungu isipo kuwa Mimi. Basi niabuduni Mimi tu.
026_00	Na wanasema: Arrahman, Mwingi wa Rehema, ana mwana! Subhanahu, Ametakasika na hayo! Bali hao (wanao waita wana) ni watumwa walio tukuzwa.
027_00	Hawamtangulii kwa neno, nao wanafanya amri zake.
028_00	Anayajua yaliyo mbele yao na yaliyo nyuma yao. Wala hawamwombei yeyote ila yule anaye mridhia Yeye, nao kwa ajili ya kumwogopa wananyenyekea.
029_00	Na yeyote kati yao atakaye sema: Mimi ni mungu, badala yake, basi huyo tutamlipa malipo yake Jahannamu. Hivyo ndivyo tuwalipavyo wenye kudhulumu.
030_00	Je! Hao walio kufuru hawakuona kwamba mbingu na ardhi zilikuwa zimeambatana, kisha Sisi tukazibabandua? Na tukajaalia kwa maji kila kilicho hai? Basi je, hawaamini?
031_00	Na tukaweka katika ardhi milima iliyo thibiti ili isiwayumbishe, na tukaweka humo njia pana ili wapate kuongoka.
032_00	Na tukaifanya mbingu kuwa dari iliyo hifadhiwa, lakini wanazipuuza Ishara zake.
033_00	Na Yeye ndiye aliye umba usiku na mchana na jua na mwezi, vyote katika anga vinaogelea.
034_00	Nasi hatukumjaalia mwanaadamu yeyote kabla yako kuwa na maisha ya milele. Basi je! Ukifa wewe, wao wataishi milele?
035_00	Kila nafsi itaonja mauti; na tunakujaribuni kwa mtihani wa shari na kheri. Na kwetu Sisi mtarejeshwa.
036_00	Na wakikuona walio kufuru hawakufanyi wewe ila ni kitu cha maskhara tu, (wakisema): Je! Ndiye huyu anaye itaja miungu yenu? Na hali wao wanakataa kumkumbuka Arrahman, Mwingi wa Rehema!
037_00	Mwanaadamu ameumbwa na haraka. Nitakuonyesheni Ishara zangu. Basi msinihimize.
038_00	Na wanasema: Ahadi hii itatokea lini, ikiwa nyinyi mnasema kweli?
039_00	Lau wangeli jua wale walio kufuru wakati ambao hawatauzuia Moto kwenye nyuso zao wala migongo yao, na wala hawatanusuriwa!
040_00	Bali utawafikia kwa ghafla, na utawashitua na wala hawataweza kuurudisha, wala hawatapewa muhula!
041_00	Na Mitume walio kabla yako walikwisha dhihakiwa. Kwa hivyo wale walio wafanyia maskhara yaliwafika yale waliyo kuwa wakiyafanyia dhihaka.
042_00	Sema: Nani anaye kulindeni usiku na mchana na Arrahmani Mwingi wa Rehema? Bali wao wanapuuza kumkumbuka Mola wao Mlezi.
043_00	Au wao wanao miungu watao weza kuwakinga nasi? Hao hawawezi kujinusuru nafsi zao, wala hawatalindwa nasi!
044_00	Bali tuliwastarehesha hawa na baba zao mpaka umri ukawa mrefu kwao. Je, hawaoni ya kwamba Sisi tunaifikia ardhi tukiipunguza ncha zake?
044_01	Basi je! Hao ni wenye kushinda?
045_00	Sema: Mimi nakuonyeni kwa Wahyi. Na viziwi hawasikii wito wanapo onywa.
046_00	Na wanapo guswa na mpulizo mmoja tu wa adhabu itokayo kwa Mola wako Mlezi, bila ya shaka wao husema: Ole wetu! Hakika tulikuwa wenye kudhulumu.
047_00	Nasi tutaweka mizani za uadilifu kwa Siku ya Kiyama. Basi nafsi haitadhulumiwa kitu chochote. Hata ikiwa ni uzito wa chembe ya khardali tutaileta. Nasi tunatosha kuwa washika hisabu.
048_00	Na kwa yakini tuliwapa Musa na Haaruni kipambanuzi, na mwangaza, na makumbusho kwa wachamngu,
049_00	Ambao wanamkhofu Mola wao Mlezi faraghani, na wanaiogopa Saa ya Kiyama.
050_00	Na haya ni makumbusho yaliyo barikiwa, tuliyo yateremsha. Basi je! Mnayakataa?
051_00	Na hakika tulikwisha mpa Ibrahim uwongofu wake zamani, na tulikuwa tunamjua.
052_00	Alipo mwambia baba yake na watu wake: Ni nini haya masanamu mnayo yashughulikia kuyaabudu?
053_00	Wakasema: Tumewakuta baba zetu wakiyaabudu.
054_00	Akasema: Bila ya shaka nyinyi na baba zenu mmekuwa katika upotofu ulio dhaahiri.
055_00	Wakasema: Je! Umetujia kwa maneno ya kweli au wewe ni katika wachezao tu?
056_00	Akasema: Bali Mola wenu Mlezi ni Mola Mlezi wa mbingu na ardhi ambaye ndiye aliye ziumba. Na mimi ni katika wenye kuyashuhudia hayo.
057_00	Na Wallahi! Nitayafanyia vitimbi masanamu yenu haya baada ya mkisha geuka kwenda zenu.
058_00	Basi akayavunja vipande vipande, ila kubwa lao, ili wao walirudie.
059_00	Wakasema: Nani aliye ifanyia haya miungu yetu? Hakika huyu ni katika walio dhulumu.
060_00	Wakasema: Tumemsikia kijana mmoja akiwataja. Anaitwa Ibrahim.
061_00	Wakasema: Mleteni mbele ya macho ya watu, wapate kumshuhudia!
062_00	Wakasema: Je! Wewe umeifanyia haya miungu yetu, ewe Ibrahim?
063_00	Akasema: Bali amefanya hayo huyu mkubwa wao. Basi waulizeni ikiwa wanaweza kutamka.
064_00	Basi wakajirudi nafsi zao, wakasema: Hakika nyinyi mlikuwa madhaalimu!
065_00	Kisha wakarejea kwenye ule ule upotovu wao wakasema: Wewe unajua kwamba hawa hawesemi.
066_00	Akasema: Basi nyinyi mnawaabudu asiye kuwa Mwenyezi Mungu wasio kufaini kitu wala kukudhuruni?
067_00	Aibu yenu nyinyi na hivyo mnavyo viabudu badala ya Mwenyezi Mungu! Basi nyinyi hamtii akilini?
068_00	Wakasema: Mchomeni moto, na muinusuru miungu yenu, ikiwa nyinyi ni watendao jambo!
069_00	Sisi tukasema: Ewe moto! Kuwa baridi na salama kwa Ibrahim!
070_00	Wao walimkusudia maovu, lakini Sisi tukawafanya wao ndio walio khasiri.
071_00	Na tukamwokoa yeye na Luut'i tukawapeleka kwenye nchi tulio ibariki kwa ajili ya walimwengu wote.
072_00	Naye tukampa Is-haq, na Yaaqub kuwa ni ziada. Na wote tukawajaalia wawe watu wema.
073_00	Na tukawafanya maimamu wakiongoa watu kwa amri yetu. Na tukawafunulia watende kheri, na washike Sala, na watoe Zaka; na walikuwa wanatuabudu Sisi tu.
074_00	Na Luut'i tukampa hukumu na ilimu na tukamwokoa na ule mji ulio kuwa ukifanya maovu. Hakika hao walikuwa watu wabaya, wachafu.
075_00	Na tukamuingiza katika rehema yetu. Hakika yeye ni miongoni mwa watenda mema.
076_00	Na Nuhu alipo ita zamani, nasi tukamuitikia, na tukamwokoa yeye na watu wake kutokana na shida kubwa.
077_00	Na tukamnusuru na watu walio zikanusha Ishara zetu. Hakika hao walikuwa watu wabaya. Basi tukawazamisha wote.
078_00	Na Daud na Suleiman walipo kata hukumu katika kadhiya ya konde walipo lisha humo mbuzi wa watu usiku. Na Sisi tulikuwa wenye kushuhudia hukumu yao hiyo.
079_00	Tukamfahamisha Suleiman. Na kila mmoja wao tulimpa hukumu na ilimu. Na tuliifanya milima na ndege kuwa pamoja na Daud imnyenyekee na imtakase Mwenyezi Mungu. Na Sisi ndio tulio fanya hayo.
080_00	Na tukamfundisha kuunda mavazi ya vita kwa ajili yenu ili yakuhifadhini katika kupigana kwenu. Je! Mtakuwa wenye kushukuru?
081_00	Na tukamsahilishia Suleiman upepo wa kimbunga wendao kwa amri yake kwenye ardhi tuliyo ibarikia. Na Sisi ndio tunao jua kila kitu.
082_00	Na pia mashet'ani wanao mpigia mbizi na kufanya kazi nyenginezo. Na Sisi tulikuwa walinzi wao.
083_00	Na Ayyubu, alipo mwita Mola wake Mlezi, akasema: Mimi yamenipata madhara. Na Wewe ndiye unaye rehemu kuliko wote wanao rehemu.
084_00	Basi tukamwitikia, na tukamwondolea madhara aliyo kuwa nayo, na tukampa watu wake na mfano wao pamoja nao kuwa ni rehema inayo toka kwetu, na ukumbusho kwa wafanyao ibada.
085_00	Na Ismail, na Idris, na Dhulkifli - wote walikuwa miongoni mwa wanao subiri.
086_00	Na tukawaingiza katika rehema yetu. Hakika wao walikuwa katika watu wema.
087_00	Na Dhun-Nun alipoondoka hali ameghadhibika, na akadhani ya kwamba hatutakuwa na uwezo juu yake. Basi aliita katika giza: Hapana mungu isipo kuwa Wewe Subhanaka Uliye takasika. Hakika mimi nilikuwa miongoni mwa wenye kudhulumu.
088_00	Basi tukamwitikia na tukamwokoa kutokana na dhiki. Na hivyo ndivyo tunavyo waokoa Waumini.
