001_00	Walio kufuru na wakazuilia njia ya Mwenyezi Mungu, Yeye atavipotoa vitendo vyao.
002_00	Na walio amini, na wakatenda mema, na wakaamini aliyo teremshiwa Muhammad - nayo ni Haki iliyo toka kwa Mola wao Mlezi - atawafutia makosa yao na ataitengeneza hali yao.
003_00	Hayo ni kwa sababu walio kufuru wamefuata upotovu, na walio amini wamefuata Haki iliyo toka kwa Mola wao Mlezi. Hivyo ndivyo Mwenyezi Mungu anavyo wapigia watu mifano yao.
004_00	Basi mnapo wakuta walio kufuru wapigeni shingoni mwao, mpaka mkiwadhoofisha wafungeni pingu. Tena waachilieni kwa hisani au wajikomboe, mpaka vita vipoe.
004_01	Ndio hivyo. Na lau angeli taka Mwenyezi Mungu angeli washinda mwenyewe, lakini haya ni kwa sababu akutieni mitihani nyinyi kwa nyinyi. Na walio uliwa katika njia ya Mwenyezi Mungu hatazipoteza a'mali zao.
005_00	Atawaongoza na awatengezee hali yao.
006_00	Na atawaingiza katika Pepo aliyo wajuulisha.
007_00	Enyi mlio amini! Mkimnusuru Mwenyezi Mungu naye atakunusuruni na ataithibitisha miguu yenu.
008_00	Na walio kufuru, basi kwao ni maangamizo, na atavipoteza vitendo vyao.
009_00	Hayo ni kwa sababu waliyachukia aliyo yateremsha Mwenyezi Mungu, basi akaviangusha vitendo vyao.
010_00	Kwani hawakutembea katika ardhi wakaona ulikuwaje mwisho wa walio kuwa kabla yao? Mwenyezi Mungu aliwaangamiza, na kwa makafiri hawa itakuwa mfano wa hayo.
011_00	Hayo ni kwa sababu Mwenyezi Mungu ni Mlinzi wa walio amini. Na makafiri hawana mlinzi.
012_00	Hakika Mwenyezi Mungu atawaingiza walio amini na wakatenda mema katika Bustani zipitiwazo na mito kati yake.
012_01	Na walio kufuru hujifurahisha na hula kama walavyo wanyama, na Moto ndio makaazi yao.
013_00	Na miji mingapi iliyo kuwa na nguvu zaidi kuliko mji wako huu ulio kutoa; nao tuliwateketeza na wala hawakuwa wa kuwanusuru.
014_00	Je! Mwenye kuwa na bayana kutoka kwa Mola wake Mlezi ni kama aliye pambiwa uovu wa vitendo vyake, na wakafuata pumbao lao?
015_00	Mfano wa Pepo walio ahidiwa wachamngu ina mito ya maji yasiyo vunda, na mito ya maziwa isiyo haribika ladha yake, na mito ya mvinyo yenye ladha kwa wanywao, na mito ya asali iliyo safishwa.
015_01	Na wao humo watakuwa na kila namna ya matunda, na maghfira kutoka kwa Mola wao Mlezi.
015_02	Basi hao ni kama watakao dumu Motoni na wakinyweshwa maji yanayo chemka ya kuwakata matumbo yao?
016_00	Na wapo miongoni mwao wanao kusikiliza, mpaka wakiondoka kwako huwauliza walio pewa ilimu: Amesema nini sasa hivi?
016_01	Hao ndio ambao Mwenyezi Mungu amepiga muhuri juu ya nyoyo zao, na wakafuata pumbao lao.
017_00	Na wale walio ongoka anawazidishia uongofu na anawapa uchamngu wao.
018_00	Kwani wanangojea jengine isipo kuwa iwafikie Saa (ya Kiyama) kwa ghafla? Na hakika alama zake zimekwisha kuja. Na itapo wajia kutawafaa wapi kukumbuka hapo?
019_00	Basi jua ya kwamba hapana mungu ila Mwenyezi Mungu, na omba maghufira kwa dhambi zako na za Waumini wanaume na Waumini wanawake. Na Mwenyezi Mungu anajua mahali penu pa kwenda na kurudi, na mahali penu pa kukaa.
020_00	Na Waumini wanasema: Kwa nini haiteremshwi Sura?
020_01	Na inapo teremshwa Sura madhubuti na ikatajwa ndani yake khabari ya vita, utawaona wenye maradhi katika nyoyo zao wanakutazama mtazamo wa anaye zimia kwa mauti.
020_02	Basi ni bora kwao
021_00	Ut'iifu na kauli njema. Na jambo likisha azimiwa, basi wakiwa ni wakweli kwa Mwenyezi Mungu, bila ya shaka itakuwa ni kheri kwao.
022_00	Basi yanayo tarajiwa kwenu mkitawala ndio mfisidi katika nchi na mwatupe jamaa zenu?
023_00	Hao ndio Mwenyezi Mungu alio walaani, na akawatia uziwi, na akawapofoa macho yao.
024_00	Je! Hawaizingatii hii Qur'ani? Au kwenye nyoyo (zao) zipo kufuli?
025_00	Kwa hakika wanao rudi nyuma baada ya kwisha wabainikia uwongofu, Shetani huyo amewashawishi na amewaghuri.
026_00	Hayo ni kwa sababu waliwaambia walio chukia aliyo yateremsha Mwenyezi Mungu: Tutakut'iini katika baadhi ya mambo. Na Mwenyezi Mungu anajua siri zao.
027_00	Basi itakuwaje Malaika watakapo wafisha wakawa wanawapiga nyuso zao na migongo yao!
028_00	Hayo ni kwa sababu wao waliyafuata yaliyo mchukiza Mwenyezi Mungu na wakachukia yanayo mridhisha, basi akaviangusha vitendo vyao.
029_00	Je! Wenye maradhi nyoyoni mwao wanadhani kwamba Mwenyezi Mungu hatazidhihirisha chuki zao?
030_00	Na tungeli penda tungeli kuonyesha hao na ungeli watambua kwa alama zao; lakini bila ya shaka utawajua kwa namna ya msemo wao. Na Mwenyezi Mungu anavijua vitendo vyenu.
031_00	Na bila ya shaka tutakujaribuni mpaka tuwadhihirishe wapignao Jihadi katika nyinyi na wanao subiri. Nasi tutazifanyia mtihani khabari zenu.
032_00	Kwa hakika walio kufuru na wakazuilia njia ya Mwenyezi Mungu na wakapinzana na Mtume baada ya kwisha wabainikia uwongofu, hao hawatamdhuru Mwenyezi Mungu kwa lolote. Naye ataviangusha vitendo vyao.
033_00	Enyi mlio amini! Mt'iini Mwenyezi Mungu, na mt'iini Mtume, wala msiviharibu vitendo vyenu.
034_00	Hakika walio kufuru na wakazuilia njia ya Mwenyezi Mungu, kisha wakafa na hali ni makafiri, Mwenyezi Mungu hatawasamehe makosa yao.
035_00	Basi msiregee na kutaka suluhu, maana nyinyi ndio mtakao shinda. Na Mwenyezi Mungu yu pamoja nanyi, wala hatakunyimeni malipo ya vitendo vyenu.
036_00	Hakika uhai wa duniani ni mchezo na pumbao. Na mkiamini na mkamchamngu Mwenyezi Mungu atakupeni ujira wenu, wala hakutakeni mali yenu.
037_00	Na akikutakeni hayo na kukushikilieni mtafanya ubakhili, na atatoa undani wa chuki zenu.
038_00	Angalieni! Nyinyi mnaitwa mtumie katika njia ya Mwenyezi Mungu, na wapo katika nyinyi wanao fanya ubakhili.
038_01	Na anaye fanya ubakhili basi anajifanyia ubakhili mwenyewe. Na Mwenyezi Mungu si mhitaji, na nyinyi ndio wahitaji. Na mkigeuka atawaleta watu wengine badala yenu, nao hawatakuwa kama nyinyi.
