001_00	Alif Laam Miim.
002_00	Mwenyezi Mungu, hakuna mungu ila Yeye Aliye Hai, Msimamizi wa yote milele.
003_00	Amekuteremshia Kitabu kwa haki, kinacho sadikisha yaliyo kuwa kabla yake. Na aliteremsha Taurati na Injili
004_00	Kabla yake, ziwe uwongofu kwa watu. Na akateremsha Furqani (Upambanuo). Hakika walio zikanusha Ishara za Mwenyezi Mungu watakuwa na adhabu kali. Na Mwenyezi Mungu ni Mwenye nguvu na Mwenye kulipa.
005_00	Hakika Mwenyezi Mungu hakifichiki chochote kwake, duniani wala mbinguni.
006_00	Yeye ndiye anaye kuundeni ndani ya matumbo ya wazazi kwa namna apendayo. Hapana mungu ila Yeye, Mwenye nguvu na Mwenye hikima.
007_00	Yeye ndiye aliye kuteremshia Kitabu hichi. Ndani yake zimo Aya muhkam, zenye maana wazi.
007_01	Hizo ndizo msingi wa Kitabu hichi.
007_02	Na ziko nyengine za mifano. Ama wale ambao nyoyoni mwao umo upotovu wanafuata zile za mifano kwa kutafuta fitna, na kutafuta maana yake; na wala hapana ajuaye maana yake ila Mwenyezi Mungu. Na wale wenye msingi madhubuti katika ilimu husema: Sisi tumeziamini, zote zimetoka kwa Mola wetu Mlezi. Lakini hawakumbuki hayo isipo kuwa wenye akili.
008_00	(Na hao husema): Mola wetu Mlezi! Usizipotoe nyoyo zetu baada ya kwisha tuongoa, na utupe rehema itokayo kwako. Hakika Wewe ndiye Mpaji.
009_00	Mola wetu Mlezi! Wewe ndiye Mkusanyaji wa watu kwa Siku isiyo na shaka ndani yake. Hakika Mwenyezi Mungu havunji miadi yake.
010_00	Kwa hakika wale walio kufuru hazitowafaa kitu kwa Mwenyezi Mungu mali zao, wala watoto wao; nao hao ndio kuni za Motoni-
011_00	- Kama yaliyo wapata watu wa Firauni na wale walio kuwa kabla yao. Walikanusha Ishara zetu, basi Mwenyezi Mungu aliwashika kwa madhambi yao; na Mwenyezi Mungu ni Mkali wa kuadhibu.
012_00	Waambie walio kufuru: Karibuni mtashindwa na mtakusanywa, mtiwe kwenye Jahannam; nako huko ni makao mabaya kabisa.
013_00	Hakika ilikuwa ni Ishara kwenu katika yale majeshi mawili yalipo pambana. Jeshi moja likipigana katika Njia ya Mwenyezi Mungu, na jingine kafiri likiwaona zaidi kuliko wao mara mbili, kwa kuona kwa macho.
013_01	Na Mwenyezi Mungu humuunga mkono amtakaye kwa nusura yake. Hakika katika hayo yapo mazingatio kwa wenye macho.
