001_00	HAKIKA wamefanikiwa Waumini,
002_00	Ambao ni wanyenyekevu katika Sala zao,
003_00	Na ambao hujiepusha na mambo ya upuuzi,
004_00	Na ambao wanatoa Zaka,
005_00	Na ambao wanazilinda tupu zao,
006_00	Isipo kuwa kwa wake zao au kwa iliyo wamiliki mikono yao ya kulia. Kwani hao si wenye kulaumiwa.
007_00	Lakini anaye taka kinyume cha haya, basi hao ndio warukao mipaka.
008_00	Na ambao wanazitimiza amana zao na ahadi zao,
009_00	Na ambao Sala zao wanazihifadhi -
010_00	Hao ndio warithi,
011_00	Ambao watairithi Pepo ya Firdausi, wadumu humo.
012_00	Na kwa yakini tumemuumba mtu kutokana na asli ya udongo.
013_00	Kisha tukamjaalia awe tone ya mbegu ya uzazi katika kalio madhubuti.
014_00	Kisha tukaiumba tone kuwa damu iliyo ganda, na tukaiumba damu kuwa pande la nyama, kisha tukaliumba pande la nyama kuwa mifupa, na mifupa tukaivika nyama.
014_01	Kisha tukamfanya kiumbe mwengine. Basi ametukuka Mwenyezi Mungu Mbora wa waumbaji.
015_00	Kisha hakika nyinyi baada ya hayo mtakufa.
016_00	Kisha hakika nyinyi Siku ya Kiyama mtafufuliwa.
017_00	Na kwa yakini tumeziumba juu yenu njia saba. Nasi hatukuwa wenye kughafilika na viumbe.
018_00	Na tumeteremsha kutoka mbinguni maji kwa kiasi na tukayatuliza katika ardhi. Na hakika Sisi tunaweza kuyaondoa.
019_00	Kwa maji hayo tukakufanyieni bustani za mitende na mizabibu, mnapata humo matunda mengi, na katika hayo mnakula;
020_00	Na mti utokao katika mlima wa Sinai, unatoa mafuta na kuwa kitoweo kwa walao.
021_00	Na hakika mnayo mazingatio makubwa katika nyama hoa - tunakunywesheni katika vile viliomo matumboni mwao, na nyinyi mnapata katika hao manufaa mengi, na pia mnawala.
022_00	Na juu yao na juu ya marikebu mnabebwa.
023_00	Na hakika tulimtuma Nuhu kwa watu wake, akasema: Enyi watu wangu! Muabuduni Mwenyezi Mungu. Nyinyi hamna mungu asiye kuwa Yeye. Basi je! Hamwogopi?
024_00	Walisema wale wakuu walio kufuru katika watu wake: Huyu si chochote ila ni mtu tu kama nyinyi. Anataka kujipa ubora juu yenu.
024_01	Na lau kuwa Mwenyezi Mungu amependa basi yakini angeli teremsha Malaika. Hatukusikia haya kwa baba zetu wa zamani.
025_00	Huyu si lolote ila ni mtu mwenye wazimu. Basi mngojeeni tu kwa muda.
026_00	Akasema (Nuhu): Mola wangu Mlezi! Ninusuru kwa kuwa wamenikanusha.
027_00	Tukampa wahyi: Unda jahazi mbele ya macho yetu na uwongozi wetu! Basi itapo fika amri yetu na ikafurika tanuri, hapo waingize ndani yake wa kila namna dume na jike, na ahali zako, isipo kuwa yule ambaye katika wao juu yake imekwisha tangulia kauli.
027_01	Wala usinitajie hao walio dhulumu. Kwani hao bila ya shaka watazamishwa.
028_00	Basi utakapo tulia wewe na walio pamoja nawe humo marikebuni, sema: Alhamdulillahi Sifa zote njema ni za Mwenyezi Mungu, aliye tuokoa na watu madhaalimu!
029_00	Na sema: Mola wangu Mlezi! Niteremshe mteremsho wenye baraka, na Wewe ni Mbora wa wateremshaji.
030_00	Hakika katika hayo yapo mazingatio. Na kwa yakini Sisi ni wenye kuwafanyia mtihani.
031_00	Kisha baada yao tukaanzisha kizazi kingine.
032_00	Tukawapelekea Mtume miongoni mwao, kuwaambia: Muabuduni Mwenyezi Mungu! Hamna mungu asiye kuwa Yeye. Jee, hamwogopi?
033_00	Na wakubwa katika watu wake walio kufuru na wakakanusha mkutano wa Akhera, na tukawadekeza kwa starehe katika
033_01	maisha ya dunia, walisema: Huyu si chochote ila ni binaadamu kama nyinyi; anakula mlacho, na anakunywa mnywacho.
034_00	Na nyinyi mkimt'ii mtu kama nyinyi basi hakika mtakuwa khasarani.
035_00	Hivyo anakuahidini ati ya kwamba mtakapo kufa na mkawa udongo na mifupa kuwa mtatolewa?
036_00	Hayawi! Hayawi hayo mnayo ahidiwa.
037_00	Hapana ila uhai wetu wa duniani tu, tunakufa na kuishi basi. Wala sisi hatutafufuliwa.
038_00	Huyu si lolote ila ni mtu anaye mzulia Mwenyezi Mungu uwongo, wala sisi sio wa kumuamini.
039_00	Akasema: Mola wangu Mlezi! Ninusuru kwa sababu wananikanusha.
040_00	(Mwenyezi Mungu) akasema: Baada ya muda mchache watakuwa wenye kujuta.
041_00	Basi ukawanyakua ukelele kwa haki, na tukawafanya kama takataka zinazo elea juu ya maji. Ikapotelea mbali kaumu ya madhaalimu!
042_00	Kisha tukaleta baada yao vizazi vingine.
043_00	Hapana umma uwezao kutanguliza ajali yake wala kuikawiza.
044_00	Kisha tukawatuma Mitume wetu, mmoja baada ya mmoja. Kila umma alipo wafikia Mtume wao walimkanusha.
044_01	Tukawafuatanisha hawa baada ya hawa, na tukawafanya ni hadithi za kusimuliwa. Wakapotelea mbali watu wasio amini.
045_00	Kisha tukamtuma Musa na nduguye, Haaruni, pamoja na ishara zetu na hoja zilizo wazi.
046_00	Kumwendea Firauni na wakuu wake. Lakini walijivuna, nao walikuwa watu majeuri.
047_00	Wakasema: Je, tuwaamini wanaadamu wawili hawa kama sisi, na ambao watu wao ni watumwa wetu?
048_00	Basi wakawakanusha, na wakawa miongoni mwa walio angamizwa.
049_00	Na hakika tulimpa Musa Kitabu ili wapate kuongoka.
050_00	Na tukamfanya mwana wa Mariamu na mama yake kuwa ni Ishara, na tukawapa makimbilio kwenda mahali palipo inuka penye utulivu na chemchem za maji.
051_00	Enyi Mitume! Kuleni vyakula vizuri na tendeni mema. Hakika Mimi ni Mjuzi wa mnayo yatenda.
052_00	Na kwa yakini huu Umma wenu ni Umma mmoja, na Mimi ni Mola wenu Mlezi, basi nicheni Mimi.
053_00	Lakini walikatiana jambo lao mapande mbali mbali. Kila kundi likifurahia kwa waliyo nayo.
054_00	Basi waache katika ghafla yao kwa muda.
055_00	Je! Wanadhani ya kuwa kwa vile tunavyo wapa mali na watoto
056_00	Ndio tunawahimizia kheri? Lakini wenyewe hawatambui.
057_00	Kwa hakika hao ambao kwa kumwogopa Mola wao Mlezi wananyenyekea,
058_00	Na wale ambao Ishara za Mola wao Mlezi wanaziamini,
059_00	Na wale ambao Mola wao Mlezi hawamshirikishi,
060_00	Na wale ambao wanatoa walicho pewa, na hali nyoyo zao zinagopa kwa kuwa watarejea kwa Mola wao Mlezi,
061_00	Basi wote hao ndio wanao kimbilia katika mambo ya kheri, na ndio watakao tangulia kuyafikia.
062_00	Na hatuilazimishi nafsi ila kwa kadri ya uwezo wake. Na tunacho kitabu kisemacho kweli. Nao hawatadhulumiwa.
063_00	Lakini nyoyo zao zimeghafilika na hayo, na wanavyo vitendo vinginevyo wanavyo vifanya.
064_00	Hata tutakapo watia katika adhabu wale walio dekezwa kwa starehe kati yao, hapo ndipo watapo yayatika.
065_00	Msiyayatike leo! Hakika nyinyi hamtanusurika nasi.
066_00	Hakika zilikuwa Aya zangu mkisomewa, nanyi mkirudi nyuma juu ya visigino vyenu,
067_00	Na huku mkitakabari na usiku mkiizungumza (Qur'ani) kwa dharau.
068_00	Je, hawakuifikiri kauli, au yamewajia yasiyo wafikia baba zao wa zamani?
069_00	Au hawakumjua Mtume wao, ndio maana wanamkataa?
070_00	Au wanasema: Ana wazimu? Bali amewajia kwa Haki, na wengi wao wanaichukia Haki.
071_00	Na lau kuwa Haki ingeli fuata matamanio yao, basi zingeli haribika mbingu na ardhi na waliomo ndani. Bali tumewaletea ukumbusho wao, nao wanajitenga mbali na ukumbusho wao.
072_00	Au unawaomba ujira? Lakini ujira wa Mola wako Mlezi ni bora, na Yeye ndiye Mbora wa wanao ruzuku.
073_00	Na kwa yakini wewe unawaita kwenye Njia Iliyo Nyooka.
074_00	Na hakika wale wasio iamini Akhera wanajitenga na Njia hiyo.
075_00	Na lau tungeli warehemu na tukawaondolea shida waliyo nayo bila ya shaka wangeli endelea katika upotofu wao vile vile, wakitangatanga.
076_00	Na hakika tuliwatia adhabu kali; lakini hawakuelekea kwa Mola wao Mlezi wala hawakunyenyekea.
077_00	Mpaka tulipo wafungulia mlango wa adhabu kali, hapo ndipo wakawa wenye kukata tamaa.
078_00	Na Yeye ndiye aliye kuumbieni kusikia na kuona na nyoyo za kufahamu. Ni kuchache mno kushukuru kwenu.
079_00	Na Yeye ndiye aliye kuenezeni katika ardhi, na kwake Yeye mtakusanywa.
080_00	Na Yeye ndiye anaye huisha na kufisha, na yake Yeye mabadiliko ya usiku na mchana. Basi je! Hamfahamu?
081_00	Bali wanasema kama walivyo sema watu wa kwanza.
082_00	Walisema: Je! Tukisha kufa tukawa udongo na mifupa ndio tutafufuliwa?
083_00	Tuliahidiwa haya sisi na baba zetu zamani. Hayakuwa haya ila ni visa vya uwongo vya watu wa zamani.
084_00	Sema: Ni ya nani ardhi na viliomo ndani yake, kama nyinyi mnajua?
085_00	Watasema: Ni vya Mwenyezi Mungu! Sema: Basi, je, hamkumbuki?
086_00	Sema: Ni nani Mola Mlezi wa mbingu saba na Mola Mlezi wa A'rshi Kuu?
087_00	Watasema: Ni vya Mwenyezi Mungu. Sema: Basi je, hamwogopi?
088_00	Sema: Ni nani mkononi mwake umo Ufalme wa kila kitu, naye ndiye anaye linda, wala hakilindwi asicho taka, kama mnajua?
089_00	Watasema: (Ufalme huo) ni wa Mwenyezi Mungu. Sema: Basi vipi mnadanganyika?
090_00	Bali tumewaletea Haki, na kwa yakini hao ni waongo.
091_00	Mwenyezi Mungu hana mwana yeyote, wala hanaye mungu mwengine.
091_01	Inge kuwa hivyo basi kila mungu angeli chukua alivyo umba, na baadhi yao wangeli washinda wengine. Mwenyezi Mungu ameepukana na sifa wanazo msifu.
092_00	Mjuzi wa siri na dhaahiri, na ametukuka juu ya hayo wanayo mshirikisha nayo.
093_00	Sema: Mola wangu Mlezi! Ukinionyesha adhabu waliyo ahidiwa,
094_00	Mola wangu Mlezi! Usinijaalie katika watu madhaalimu hao.
095_00	Na hakika Sisi ni waweza wa kukuonyeshsa tuliyo waahidi.
096_00	Kinga maovu kwa kutenda yaliyo mema zaidi. Sisi tunajua wayasemayo.
097_00	Na sema: Mola wangu Mlezi! Najikinga kwako na wasiwasi wa mashet'ani.
098_00	Na najikinga kwako, Mola wangu Mlezi, wasinikaribie.
099_00	Mpaka yanapo mfikia mmoja wao mauti, husema: Mola wangu Mlezi! Nirudishe.
100_00	Ili nitende mema sasa badala ya yale niliyo yaacha. Wapi! Hii ni kauli aisemayo yeye tu. Na nyuma yao kipo kizuizi mpaka siku watapo fufuliwa.
101_00	Basi litapo pulizwa baragumu hapo hautakuwapo ujamaa baina yao siku hiyo, wala hawataulizana.
102_00	Ama wale ambao mizani zao zitakuwa nzito, hao ndio wenye kufanikiwa.
103_00	Na wale ambao mizani zao zitakuwa nyepesi, hao ndio walio zitia khasarani nafsi zao, na katika Jahannamu watadumu.
104_00	Moto utababua nyuso zao, nao watakuwa na nyuso zilizo kunjana.
105_00	Je! Hazikuwa Aya zangu mkisomewa, na nyinyi mkizikanusha?
106_00	Mola wetu Mlezi! Tulizidiwa na uovu wetu na tukawa watu tulio potea.
107_00	Mola wetu Mlezi! Tutoe humu Motoni. Na tufanyapo tena basi kweli sisi ni wenye kudhulumu.
108_00	Atasema Mwenyezi Mungu: Tokomeeni humo, wala msinisemeze.
109_00	Bila ya shaka lilikuwapo kundi katika waja wangu likisema: Mola wetu Mlezi! Tumeamini; basi tusamehe na uturehemu, nawe ndiwe Mbora wa wanao rehemu.
110_00	Lakini nyinyi mliwakejeli hata wakakusahaulisheni kunikumbuka, na mlikuwa mkiwacheka.
111_00	Hakika Mimi leo nimewalipa kwa vile walivyo subiri. Bila ya shaka hao ndio wenye kufuzu.
112_00	Atasema: Mlikaa muda gani katika ardhi kwa hisabu ya miaka?
113_00	Watasema: Tulikaa siku moja au sehemu ya siku. Basi waulize wanao weka hisabu.
114_00	Atasema: Nyinyi hamkukaa huko duniani ila kidogo, laiti ingeli kuwa mnajua.
115_00	Je! Mlidhani ya kwamba tulikuumbeni bure na ya kwamba nyinyi kwetu hamtarudishwa?
116_00	Ametukuka Mwenyezi Mungu, Mfalme wa Haki, hapana mungu ila Yeye, Mola Mlezi wa A'rshi Tukufu.
117_00	Na anaye muomba - pamoja na Mwenyezi Mungu - mungu mwenginewe hana ushahidi wa hili; basi bila ya shaka hisabu yake iko kwa Mola wake Mlezi. Kwa hakika makafiri hawafanikiwi.
118_00	Nawe sema: Mola wangu Mlezi! Samehe na urehemu nawe ni Mbora wa wanao rehemu.
