001_00	Alif Lam Mim (A. L. M.)
002_00	Hizi ni Aya za Kitabu chenye hikima.
003_00	Kuwa ni Uwongofu na Rehema kwa wafanyao wema,
004_00	Wanao shika Sala, na wanatoa Zaka, nao wana yakini na Akhera.
005_00	Hao ndio walio na uwongofu utokao kwa Mola wao Mlezi, na hao ndio wenye kufanikiwa.
006_00	Na miongoni mwa watu wapo wanao nunua maneno ya upuuzi, ili wawapoteze watu na njia ya Mwenyezi Mungu pasipo kujua, na wanaichukulia ni maskhara. Hao watapata adhabu ya kuwafedhehesha.
007_00	Na (mtu kama huyo) anapo somewa Aya zetu huzipa mgongo kwa kujivuna, kama kwamba hakuzisikia, kama kwamba masikioni mwake mna uziwi. Basi mbashirie kuwa atapata adhabu chungu.
008_00	Hakika walio amini na wakatenda mema watakuwa nazo Bustani za neema.
009_00	Watadumu humo - ni ahadi ya Mwenyezi Mungu ya kweli. Na Yeye ndiye Mwenye nguvu, Mwenye hikima.
010_00	Ameziumba mbingu bila ya nguzo mnazo ziona; na ameweka katika ardhi milima ili ardhi isikuyumbisheni; na ametawanya hu
010_01	mo kila namna ya wanyama; na tumeteremsha maji kutoka mbinguni, na tukaotesha katika ardhi mimea mizuri ya kila namna.
011_00	Huu ni uumbaji wa Mwenyezi Mungu. Basi nionyesheni wameumba nini hao wasio kuwa Yeye! Lakini madhaalimu wamo katika upotovu uliyo dhaahiri.
012_00	Na tulimpa Luqman hikima, tukamwambia: Mshukuru Mwenyezi Mungu. Na mwenye kushukuru basi hakika anashukuru kwa manufaa ya nafsi yake. Na aliye kufuru, basi Mwenyezi Mungu ni Mkwasi, Msifiwa.
013_00	Na Luqman alipo mwambia mwanawe kwa kumpa mawaidha: Ewe mwanangu! Usimshirikishe Mwenyezi Mungu. Kwani hakika ushirikina bila ya shaka ni dhulma iliyo kubwa.
014_00	Na tumemuusia mtu kwa wazazi wake wawili. Mama yake ameichukua mimba yake kwa udhaifu juu ya udhaifu, na kumwachisha ziwa baada ya miaka miwili. (Tumemuusia): Nishukuru Mimi na wazazi wako. Ni kwangu Mimi ndiyo marudio.
015_00	Na pindi wakikushikilia kunishirikisha na ambayo huna ilimu nayo, basi usiwat'ii.
015_01	Lakini kaa nao kwa wema duniani, nawe ishike njia ya anaye elekea kwangu. Kisha marejeo yenu ni kwangu Mimi, na Mimi nitakuambieni mliyo kuwa mkiyatenda.
016_00	Ewe mwanangu!
016_01	Kikiwapo kitu cha uzito wa chembe ya khardali kikawa ndani ya jabali au ndani ya mbingu au ndani ya ardhi, basi Mwenyezi Mungu atakileta. Hakika Mwenyezi Mungu ni Mjuzi wa yaliyo fichika, Mwenye khabari za yote.
017_00	Ewe mwanangu! Shika Sala, na amrisha mema, na kataza maovu, na subiri kwa yanayo kupata. Hayo ni katika mambo ya kuazimiwa..
018_00	Wala usiwabeuwe watu, wala usitembee katika nchi kwa maringo. Hakika Mwenyezi Mungu hampendi kila anaye jivuna na kujifakhirisha.
019_00	Na ushike mwendo wa katikati, na teremsha sauti yako. Hakika katika sauti mbaya zote bila ya shaka iliyo zidi ni sauti ya punda.
020_00	Kwani hamwoni ya kwamba Mwenyezi Mungu amevifanya vikutumikieni viliomo mbinguni na kwenye ardhi, na akakujalizieni neema zake, za dhaahiri na za siri?
020_01	Na miongoni mwa watu wapo wanao bishana juu ya Mwenyezi Mungu pasipo ilimu, wala uwongofu, wala Kitabu chenye nuru.
021_00	Na wanapo ambiwa: Fuateni aliyo yateremsha Mwenyezi Mungu, husema: Bali tunafuata tuliyo wakuta nayo baba zetu.
021_01	Je! Ijapo kuwa Shet'ani anawaita kwenye adhabu ya Moto uwakao?
022_00	Na mwenye kuuelekeza uso wake kwa Mwenyezi Mungu, naye akawa anafanya wema, basi huyo hakika amekwisha kamata fundo lilio madhubuti. Na mwisho wa mambo yote ni kwa Mwenyezi Mungu.
023_00	Na anaye kufuru, isikuhuzunishe kufuru yake. Kwetu ndio marudio yao, na hapo tutawaambia waliyo yatenda. Hakika Mwenyezi Mungu ni Mjuzi wa yaliyomo vifuani.
024_00	Tunawastarehesha kwa uchache, kisha tutawasukuma kwenye adhabu ngumu.
025_00	Na ukiwauliza: Nani aliye ziumba mbingu na ardhi? Bila ya shaka watasema: Mwenyezi Mungu. Wewe sema: Alhamdulillahi! Sifa njema zote ni za Mwenyezi Mungu. Lakini wengi wao hawajui.
026_00	Ni vya Mwenyezi Mungu vyote viliomo mbinguni na katika ardhi. Hakika Mwenyezi Mungu ndiye Mkwasi, Mwenye kusifiwa.
027_00	Na lau kuwa miti yote iliyomo duniani ikawa ni kalamu, na bahari (ikawa wino), na ikaongezewa juu yake bahari nyengine saba, maneno ya Mwenyezi Mungu yasingeli kwisha. Hakika Mwenyezi Mungu ni Mwenye nguvu, Mwenye hikima.
028_00	Hakukuwa kuumbwa kwenu, wala kufufuliwa kwenu ila ni kama nafsi moja tu. Hakika Mwenyezi Mungu ni Mwenye kusikia Mwenye kuona.
029_00	Kwani huoni kwamba Mwenyezi Mungu huuingiza usiku katika mchana, na huuingiza mchana katika usiku, na amedhalilisha jua na mwezi?
029_01	Vyote hivyo vinakwenda mpaka wakati ulio wekwa. Na Mwenyezi Mungu anazo khabari za mnayo yatenda.
030_00	Hivi ni kwa sababu hakika Mwenyezi Mungu ndiye wa kweli, na hakika wanacho kiomba ni cha uwongo. Na kwamba hakika Mwenyezi Mungu ndiye Mtukufu na ndiye Mkubwa.
031_00	Kwani huoni kwamba marikebu hupita baharini zikichukua neema za Mwenyezi Mungu, ili kukuonyesheni baadhi ya Ishara zake? Hakika katika haya zipo Ishara kwa kila mwenye kusubiri, mwenye kushukuru.
