001_00	Tukio la haki.
002_00	Nini hilo Tukio la haki?
003_00	Na nini kitakujuulisha nini hilo Tukio la haki?
004_00	Thamudi na A'di waliukadhibisha Msiba unao situsha.
005_00	Basi Thamudi waliangamizwa kwa balaa kubwa mno.
006_00	Na ama A'di waliangamizwa kwa upepo mkali usio zuilika.
007_00	Alio wapelekea masiku saba, na siku nane, mfululizo bila ya kusita. Utaona watu wamepinduka kama kwamba ni magongo ya mitende yalio wazi ndani.
008_00	Basi je! Unamwona mmoja wao aliye baki?
009_00	Na Firauni na walio mtangulia, na miji iliyo pinduliwa chini juu, walileta khatia.
010_00	Wakamuasi Mtume wa Mola wao Mlezi, ndipo Yeye Mola akawakamata kwa mkamato ulio zidi nguvu.
011_00	Maji yalipo furika Sisi tulikupandisheni katika safina,
012_00	Ili tuyafanye hayo kuwa ni waadhi kwenu na kila sikio linalo sikia liyahifadhi.
013_00	Na litapo pulizwa barugumu mpulizo mmoja tu,
014_00	Na ardhi na milima ikaondolewa, na ikavunjwa kwa mvunjo mmoja,
015_00	Siku hiyo ndio Tukio litatukia.
016_00	Na mbingu zitapasuka, kwani siku hiyo zitakuwa dhaifu kabisa.
017_00	Na Malaika watakuwa pembezoni mwa mbingu; na wanane juu ya hawa watakuwa wamebeba Kiti cha Enzi cha Mola wako Mlezi.
018_00	Siku hiyo mtahudhurishwa - haitafichika siri yoyote yenu.
019_00	Basi ama atakaye pewa kitabu chake kwa mkono wake wa kulia, atasema: Haya someni kitabu changu!
020_00	Hakika nalijua ya kuwa nitapokea hisabu yangu.
021_00	Basi yeye atakuwa katika maisha ya kupendeza,
022_00	Katika Bustani ya juu,
023_00	Matunda yake yakaribu.
024_00	Waambiwe: Kuleni na mnywe kwa furaha kwa sababu ya mlivyo tanguliza katika siku zilizo pita.
025_00	Na ama atakaye pewa kitabu chake katika mkono wake wa kushoto, basi yeye atasema: Laiti nisingeli pewa kitabu changu!
026_00	Wala nisingeli jua nini hisabu yangu.
027_00	Laiti mauti ndiyo yangeli kuwa ya kunimaliza kabisa.
028_00	Mali yangu hayakunifaa kitu.
029_00	Madaraka yangu yamenipotea.
030_00	(Pasemwe): Mshikeni! Mtieni pingu!
031_00	Kisha mtupeni Motoni!
032_00	Tena mtatizeni katika mnyororo wenye urefu wa dhiraa sabiini!
033_00	Kwani huyo hakika alikuwa hamuamini Mwenyezi Mungu Mtukufu,
034_00	Wala hahimizi kulisha masikini.
035_00	Basi leo hapa hana jamaa wa kumwonea uchungu,
036_00	Wala hana chakula ila usaha wa watu wa Motoni.
037_00	Chakula hicho hawakili ila wakosefu.
038_00	Basi naapa kwa mnavyo viona,
039_00	Na msivyo viona,
040_00	Kwa hakika hii ni kauli iliyo letwa na Mjumbe mwenye hishima.
041_00	Wala si kauli ya mtunga mashairi. Ni machache sana mnayo yaamini.
042_00	Wala si kauli ya kuhani. Ni machache mnayo yakumbuka.
043_00	Ni uteremsho utokao kwa Mola Mlezi wa walimwengu wote.
044_00	Na lau kama angeli tuzulia baadhi ya maneno tu,
045_00	Bila ya shaka tungeli mshika kwa mkono wa kulia,
046_00	Kisha kwa hakika tungeli mkata mshipa mkubwa wa moyo!
047_00	Na hapana yeyote katika nyinyi ambaye angeli weza kutuzuia.
048_00	Kwa hakika hii ni mawaidha kwa wachamngu.
049_00	Na hakika Sisi bila ya shaka tunajua kwamba miongoni mwenu wapo wanao kadhibisha.
050_00	Na hakika bila ya shaka itakuwa ni majuto kwa wanao kataa.
051_00	Na hakika hii bila ya shaka ni haki ya yakini.
052_00	Basi litakase jina la Mola wako Mlezi Mtukufu.
