001_00	Alif Lam Raa. Hizi ni Aya za Kitabu kinacho bainisha.
002_00	Hakika Sisi tumeiteremsha Qur'ani kwa Kiarabu ili mpate kuzingatia.
003_00	Sisi tunasimulia simulizi nzuri kwa kukufunulia Qur'ani hii. Na ijapo kuwa kabla ya haya ulikuwa miongoni mwa wasio jua.
004_00	Yusuf alipo mwambia baba yake: Ewe babaangu! Hakika mimi nimeota nyota kumi na moja, na jua, na mwezi. Nimeota zikinisujudia.
005_00	(Baba) akasema: Ewe mwanangu! Usiwasimulie nduguzo ndoto yako, wasije wakakufanyia vitimbi. Hakika Shet'ani ni adui aliye dhaahiri kwa mwanaadamu.
006_00	Na kadhaalika Mola wako Mlezi atakuteuwa na atakufundisha tafsiri ya mambo.
006_01	Na atatimiza neema zake juu yako na juu ya ukoo wa Yaa'qub, kama alivyo watimizia hapo zamani baba zako Ibrahim na Is-haq. Hakika Mola wako Mlezi ni Mjuzi Mwenye hikima.
007_00	Kwa yakini katika Yusuf na nduguze ziko ishara kwa wanao uliza.
008_00	Pale walipo sema: Hakika Yusuf na nduguye wanapendwa zaidi na baba yetu kuliko sisi, hali sisi ni kikundi chenye nguvu. Hakika baba yetu yumo katika upotofu wa dhaahiri.
009_00	Muuweni Yusuf, au mtupeni nchi mbali ili uso wa baba yenu ukuelekeeni nyinyi. Na baada ya haya mtakuwa watu wema.
010_00	Akasema msemaji kati yao: Msimuuwe Yusuf. Lakini mtumbukizeni ndani ya kisima. Wasafiri watakuja mwokota; kama nyinyi mna sharti ya kufanya jambo.
011_00	Wakasema: Ewe baba yetu! Una nini hata hutuamini kwa Yusuf? Na hakika sisi ni wenye kumtakia kheri!
012_00	Mpeleke kesho pamoja nasi, ale kwa furaha na acheze; na bila ya shaka sisi tutamhifadhi.
013_00	Akasem: Kwa hakika inanihuzunisha kwamba nyinyi mwende naye, na ninaogopa asije mbwa mwitu akamla nanyi mmeghafilika naye.
014_00	Wakasema: Ikiwa mbwa mwitu atamla na hali sisi ni kundi lenye nguvu kabisa, basi bila ya shaka sisi tutakuwa khasarani.
015_00	Basi walipo mchukua na wakakubaliana wamtumbukize ndani ya kisima, tulimfunulia Yusuf: Hapana shaka yoyote utakuja waambia kwa jambo lao hili, na wala wao hawatambui.
016_00	Wakaja kwa baba yao usiku wakilia.
