001_00	Hakika tumekufungulia Ushindi wa dhaahiri
002_00	Ili Mwenyezi Mungu akusamehe makosa yako yaliyo tangulia na yajayo, na akutimizie neema zake, na akuongoe katika Njia Iliyo Nyooka,
003_00	Na Mwenyezi Mungu akunusuru nusura yenye nguvu -
004_00	Yeye ndiye aliye teremsha utulivu katika nyoyo za Waumini ili wazidi Imani juu ya Imani yao.
004_01	Na Mwenyezi Mungu ndiye mwenye majeshi ya mbingu na ardhi. Na Mwenyezi Mungu ni Mwenye ujuzi, Mwenye hikima -
005_00	Ili awaingize Waumini wanaume na Waumini wanawake katika Bustani zipitazo mito kati yake, wadumu humo, na awafutie makosa yao.
005_01	Na huko ndiko kufuzu kukubwa mbele ya Mwenyezi Mungu.
006_00	Na awape adhabu wanaafiki wanaume na wanaafiki wanawake, na washirikina wanaume na washirikina wanawake, wanao mdhania Mwenyezi Mungu dhana mbaya.
006_01	Utawafikia mgeuko mbaya, na Mwenyezi Mungu awakasirikie, na awalaani, na awaandalie Jahannamu. Na hayo ni marudio maovu kabisa.
007_00	Na Mwenyezi Mungu ana majeshi ya mbingu na ardhi. Na Mwenyezi Mungu ni Mwenye nguvu, Mwenye hikima.
008_00	Hakika tumekutuma wewe uwe Shahidi, na Mbashiri, na Mwonyaji,
009_00	Ili mumuamini Mwenyezi Mungu na Mtume wake, na mumsaidie, na mumhishimu, na mumtakase asubuhi na jioni.
010_00	Bila ya shaka wanao fungamana nawe, kwa hakika wanafungamana na Mwenyezi Mungu.
010_01	Mkono wa Mwenyezi Mungu uko juu ya mikono yao. Basi avunjaye ahadi hizi anavunja kwa kuidhuru nafsi yake; na anaye tekeleza aliyo muahadi Mwenyezi Mungu, Mwenyezi Mungu atamlipa ujira mkubwa.
011_00	Watakuambia mabedui walio baki nyuma: Yametushughulisha mali yetu na ahali zetu, basi tuombee msamaha. Wanasema kwa ndimi zao yasiyo kuwamo katika nyoyo zao.
011_01	Sema: Ni nani awezaye kukusaidieni chochote kwa Mwenyezi Mungu akitaka Yeye kukudhuruni au akitaka kukunufaisheni? Bali Mwenyezi Mungu anazo khabari za mnayo yatenda.
012_00	Lakini mlidhani kwamba Mtume na Waumini hawatarudi kabisa kwa ahali zao, na mkapambiwa hayo katika nyoyo zenu, na mkadhania dhana mbaya, na mkawa watu wanao angamia.
013_00	Na asiye muamini Mwenyezi Mungu na Mtume wake, basi kwa hakika Sisi tumewaandalia makafiri Moto mkali.
014_00	Na Mwenyezi Mungu ndiye mwenye ufalme wa mbingu na ardhi. Humsamehe amtakaye, na humuadhibu amtakaye. Na Mwenyezi Mungu ni Mwenye kusamehe, Mwenye kurehemu.
015_00	Walio baki nyuma watasema: Mtapo kwenda kuchukua ngawira, tuacheni tukufuateni! Wanataka kuyabadili maneno ya Mwenyezi Mungu. Sema: Hamtatufuata kabisa.
015_01	Mwenyezi Mungu alikwisha sema kama hivi zamani. Hapo watasema: Bali nyinyi mnatuhusudu. Siyo, bali walikuwa hawafahamu ila kidogo.
016_00	Waambie walio achwa nyuma katika mabedui: Mtakuja itwa kwenda pigana na watu wakali kwa vita, mpigane nao au wasalimu amri.
016_01	Basi mkimt'ii, Mwenyezi Mungu atakupeni ujira mzuri. Na mkigeuka kama mlivyo geuka kwanza, atakuadhibuni kwa adhabu iliyo chungu.
017_00	Kipofu hana lawama, wala kiguru hana lawama, wala mgonjwa hana lawama.
017_01	Na mwenye kumt'ii Mwenyezi Mungu na Mtume wake, atamuingiza katika Mabustani yapitayo mito kati yake. Na atakaye geuka upande atamuadhibu kwa adhabu chungu.
018_00	Kwa hakika Mwenyezi Mungu amewapa radhi Waumini walipo fungamana nawe chini ya mti, na alijua yaliyomo nyoyoni mwao. Basi akateremsha utulivu juu yao, na akawalipa kwa Ushindi wa karibu.
019_00	Na ngawira nyingi watakazo zichukua. Na Mwenyezi Mungu ni Mwenye nguvu, Mwenye hikima.
020_00	Mwenyezi Mungu anakuahidini ngawira nyingi mtakazo zichukua, basi amekutangulizieni hizi kwanza, na akaizuia mikono ya
020_01	watu isikufikieni, na ili hayo yawe ni Ishara kwa Waumini, na akakuongozeni Njia Iliyo Nyooka.
021_00	Na mengine hamwezi kuyapata bado, Mwenyezi Mungu amekwisha yazingia. Na Mwenyezi Mungu ni Muweza wa kila kitu.
022_00	Na lau makafiri wangeli pigana nanyi basi bila ya shaka wangeli geuza migongo, kisha wasingeli pata mlinzi wala msaidizi.
023_00	Huo ndio mwendo wa Mwenyezi Mungu ulio kwisha pita zamani, wala hutapata mabadiliko katika mwendo wa Mwenyezi Mungu.
024_00	Na Yeye ndiye aliyeizuia mikono yao kwenu, na mikono yenu kwao, katika bonde la Makka baada ya kukupeni Ushindi juu yao. Na Mwenyezi Mungu ni Mwenye kuyaona myatendayo.
025_00	Hao ndio walio kufuru na wakakuzuieni msiingie Msikiti Mtakatifu, na wakawazuilia dhabihu kufika mahala pao.
025_01	Na lau si wanaume Waumini na wanawake Waumini msio wajua mkawasaga na mkaingia makosani kutokana nao bila ya kujua...
025_02	Mwenyezi Mungu (amefanya haya) ili amuingize amtakaye katika rehema yake. Lau wangeli tengana bila ya shaka tungeli waadhibu walio kufuru kwa adhabu chungu.
026_00	Pale walio kufuru walipo tia katika nyoyo zao hasira, hasira za kijinga, Mwenyezi Mungu aliteremsha utulivu juu ya Mtume wake na juu ya Waumini, na akawalazimisha neno la kuchamngu.
026_01	Na wao walikuwa ndio wenye haki nalo na wenye kustahili. Na Mwenyezi Mungu ni Mjuzi wa kila kitu.
027_00	Hakika Mwenyezi Mungu amemtimizia Mtume wake ndoto ya haki. Bila ya shaka nyinyi mtauingia Msikiti Mtakatifu, Inshallah, kwa amani, na hali mmenyoa vichwa vyenu na mmepunguza nywele.
027_01	Hamtakuwa na khofu. Yeye anajua msiyo yajua. Basi atakupeni kabla ya haya Ushindi karibuni.
028_00	Yeye ndiye aliye mtuma Mtume wake kwa uwongofu na Dini ya Haki, ili aitukuze juu ya dini zote. Na Mwenyezi Mungu anatosha kuwa Shahidi.
029_00	Muhammad ni Mtume wa Mwenyezi Mungu.
029_01	Na walio pamoja naye wana nguvu mbele ya makafiri, na wanahurumiana wao kwa wao. Utawaona wakiinama na kusujudu wakitafuta fadhila na radhi za Mwenyezi Mungu. Alama zao zi katika nyuso zao, kwa athari ya kusujudu. Huu ndio mfano wao katika Taurati.
029_02	Na mfano wao katika Injili ni kama mmea ulio toa chipukizi lake, kisha ukalitia nguvu, ukawa mnene, ukasimama sawa juu ya ubuwa wake, ukawafurahisha wakulima, ili kuwakasirisha kwa ajili yao makafiri.
029_03	Mwenyezi Mungu amewaahidi walio amini na wakatenda mema katika wao msamaha na ujira mkubwa.
