001_00	TROENDE!
001_01	Tag inte Mina fiender - de är också era fiender - till bundsförvanter som ni skänker vänskap och tillgivenhet, [människor som] har avvisat den sanning som ni har fått del av, och som har jagat bort Sändebudet och er [själva från era hem] på grund av er tro på Gud, er Herre!
001_02	Om ni har valt att kämpa för Min sak och strävar efter [att vinna] Mitt välbehag, [tag dem då inte till vänner] som ni i hemlighet visar tillgivenhet. Jag har full kännedom om det som ni vill dölja liksom om det som ni gör öppet. De bland er som handlar så har avvikit från den raka vägen.
002_00	Om de fick ta befälet över er skulle de öppet visa er sin fiendskap och lyfta sina händer mot er och låta sina tungor löpa i onda avsikter; ja, de skulle vilja att [också] ni förnekade sanningen.
003_00	Varken era anförvanter eller era söner skall vara er till hjälp på Uppståndelsens dag, då [Gud] skall döma mellan er. Gud ser vad ni gör.
004_00	Ett gott föredöme har ni i Abraham och de som följde honom, när de sade till sina landsmän: "Vi är inte ansvariga för er och för det som ni dyrkar i Guds ställe och vi tar avstånd från er.
004_01	Fiendskap och hat skall råda mellan oss och er ända till dess ni tror på den Ende Guden." [Men tag] inte [exempel av] Abraham när han sade till sin fader: "Jag lovar att be [Gud] ge dig Sin förlåtelse; men jag kan inte av Gud utverka någon [lindring i ditt straff]." [Abraham och de som följde honom bad:] "Herre!
004_02	Till Dig sätter vi vår lit, till Dig vänder vi oss i ånger [över våra synder] och Du är målet för vår färd!
005_00	Herre! Gör oss inte till [Ditt redskap när] Du vill sätta förnekarna av sanningen på prov! Och Herre! Förlåt oss [våra synder]! Du är den Allsmäktige, den Vise!"
006_00	I dem har ni ett gott föredöme, [ett föredöme] för den som ser fram mot [mötet med] Gud och den Yttersta dagen med hopp [och fruktan]. Och den som vänder ryggen [åt Gud bör tänka på att] Gud är Den som är Sig själv nog, Den som allt lov och pris tillkommer.
007_00	Kanske skall Gud i Sin allmakt låta vänskap uppstå mellan er och dem som ni nu ser som era fiender; Gud är ständigt förlåtande, barmhärtig.
008_00	Gud förbjuder er inte att visa godhet mot dem som inte bekämpar er på grund av [er] tro och inte driver
008_01	ut er ur era hem, och [Han förbjuder er inte] att bemöta dem med rättvisa och opartiskhet - Gud älskar de opartiska.
009_00	Det är inga andra än de som bekämpar er på grund av [er] tro och som vill driva bort er från era hem eller hjälper [dem som vill] driva bort er, vilkas skydd och vänskap Gud förbjuder er att söka.
009_01	De som söker deras vänskap och skydd har begått orätt mot sig själva!
010_00	TROENDE!
010_01	När troende kvinnor som har utvandrat kommer till er, förhör dem! Ingen utom Gud känner deras tro, men om ni har övertygat er om att de är troende, sänd då inte tillbaka dem till förnekarna av sanningen; deras män har inte [längre] rätt att leva med dem och de har inte rätt att leva med sina män.
010_02	Men ge tillbaka till männen vad [brudgåvan] har kostat dem.
010_03	Och ni begår ingen synd om ni sedan tar dem till hustrur efter att ha gett dem deras brudgåva.
010_04	Håll inte fast vid det äktenskapliga bandet med kvinnor som förnekar sanningen; begär att få tillbaka det som ni har gett [dem som brudgåva], och låt dem [vars hustrur går över till er] begära tillbaka det som de har gett ut [för sina hustrur]. Detta är Guds dom; Han dömer [rättvist] mellan er [och de icke-troende]. Gud är allvetande, vis.
011_00	Och om [ni lider en förlust genom att] hustrun till någon av de troende lämnar honom och återgår till förnekarna och ni kan göra
011_01	en motsvarande vinst, ge då den vars hustru övergett honom motvärdet till vad han gett [henne i brudgåva] och frukta Gud, som ni tror på!
012_00	Profet!
012_01	När troende kvinnor kommer till dig för att avlägga trohetsed - [och lovar] att inte sätta något, vad det än är, vid Guds sida, att inte stjäla, att inte begå äktenskapsbrott, att inte döda sina egna barn, att inte sprida förtal som de själva diktat upp och att aldrig vägra dig lydnad i det som är rätt och rimligt - tag då emot deras trohetsed och be Gud förlåta dem deras synder; Gud är ständigt förlåtande, barmhärtig.
013_00	TROENDE! Sök inte vänskap och skydd hos dem som har drabbats av Guds vrede! De hoppas inte på det eviga livet, liksom de som [helt] förnekar sanningen inte hoppas [få återse] dem som [de har följt till graven].
