001_00	NÄR HIMLEN rämnar,
002_00	och stjärnorna skingras,
003_00	och haven svämmar över sina bräddar,
004_00	och gravarna störtas över ända -
005_00	[då] skall varje själ klart inse vad den har sänt framför sig och [vad den] har skjutit upp.
006_00	VAD KOM dig, människa, att missta dig i fråga om din Herre, den Givmilde?
007_00	[Han] som har skapat dig och format dig [med hänsyn till den uppgift du skall fylla] och gett din natur dess jämvikt;
008_00	skapat dig i enlighet med Sin vilja.
009_00	Nej, [i er otacksamhet] förnekar ni domen!
010_00	Och det finns de som vakar över er,
011_00	ädla skrivare,
012_00	som [känner er och] vet vad ni gör.
013_00	De gudfruktiga skall helt visst finna salighet
014_00	och de som har sjunkit djupt i synd skall förvisso finna helvetets eld;
015_00	där skall de brinna på Domens dag
016_00	och de skall inte komma undan [straffet].
017_00	Och vad kan låta dig förstå vad Domens dag betyder
018_00	Ja, vad kan låta dig förstå vad Domens dag betyder?
019_00	Det är den Dag då ingen människa kan hjälpa en annan; den Dag då [det blir uppenbart att] all makt och all myndighet tillhör Gud.
