001_00	DU som täcker över dig [med din mantel]!
002_00	Vaka [i bön] under natten, inte hela,
003_00	men halva natten - eller förkorta denna tid något,
004_00	eller förläng den - och läs högt ur Koranen i en lugn och jämn rytm, med klart uttal och tanken fäst vid dess mening.
005_00	Vi inpräglar i ditt [hjärta] ord av stor vikt. -
006_00	Den nattliga [bönen] går med stadigare steg och dess ord ljuder renare,
007_00	medan en strid ström av ärenden om dagen påkallar din uppmärksamhet.
008_00	Åkalla alltid din Herres namn och ge dig i din andakt hän åt Honom med hela din själ.
009_00	Han är Herre över öst och väst; ingen gudom finns utom Han. Lita därför [i allt] till Honom som din Beskyddare
010_00	och bär vad [illasinnade människor] säger med tålamod, men håll dig värdigt på avstånd från dem.
011_00	Och lämna åt Mig att [ta itu med] dem som förnekar sanningen [i Mina budskap] och ägnar sig åt att njuta av livets goda [utan en tanke på evigheten]. Låt dem hållas ännu en liten tid!
012_00	Hos Oss ligger bojor [i beredskap] och helvetets eld [väntar]
013_00	och föda som kväver [den ätande], och [annat] svårt lidande,
014_00	den Dag då jorden och bergen skall bäva och bergen bli till drivor av lös sand.
015_00	VI HAR sänt ett sändebud till er, som skall vittna mot er, liksom Vi sände ett sändebud till Farao.
016_00	Men Farao lydde inte sändebudet och Vi straffade honom med ett fruktansvärt straff.
017_00	Om ni framhärdar i att förneka sanningen, hur skall ni skydda er mot [följderna av detta] den Dag då barnens lockar skall gråna,
018_00	himlen skall rämna och Hans löfte bli verklighet
019_00	Detta är en påminnelse. Låt nu den som vill, söka en väg till sin Herre [medan det är tid]!
020_00	DIN HERRE vet att du [Muhammad] vakar [i bön] nästan två tredjedelar av natten eller halva natten eller en tredjedel av den, tillsammans med några av dina följeslagare.
020_01	Och Gud, som fastställer nattens och dagens längd, vet att ni inte håller räkning på [era vakor] och Han vänder Sig till er [och lättar i Sin barmhärtighet era bördor].
020_02	Läs således ur Koranen vad ni med lätthet kan läsa. [Gud] vet att det kommer att finnas sjuka bland er och andra som färdas långt bort för att söka [den utkomst som] Han i Sin godhet [beviljar dem], och andra som kämpar för Guds sak.
020_03	Läs alltså vad ni med lätthet kan läsa och förrätta bönen och hjälp de behövande och ge Gud ett lån av goda gärningar - varje god handling som ni sänder framför er [till Domen] skall ni återfinna hos Gud, förskönad och [följd av] en rikare belöning.
020_04	Och be om Guds förlåtelse för era synder - Gud är ständigt förlåtande, barmhärtig!
