001_00	Ta ha.
002_00	VI HAR inte uppenbarat Koranen för dig för att vålla dig oro och bekymmer;
003_00	[nej, den är] bara en påminnelse till dem som fruktar [Gud], -
004_00	sänd av Honom som har skapat jorden och de högsta himlarna,
005_00	den Nåderike som tronar [över skapelsen] i Sin allmakts härlighet.
006_00	Honom tillhör allt det som himlarna rymmer och det som jorden bär och allt som finns däremellan och allt som marken gömmer.
007_00	Vare sig du säger högt [vad du tänker eller inte, vet Han det], eftersom Han känner [människans] hemligheter och det som är än djupare dolt.
008_00	Gud - ingen gudom finns utom Han; Hans är fullkomlighetens sköna namn!
009_00	HAR DU [Muhammad] hört berättelsen om Moses?
010_00	Han hade sett en eld [på avstånd] och sade till de sina: "Stanna här! Jag har upptäckt en eld; kanske kan jag hämta en fackla åt er därifrån eller råka [någon] vid elden som visar oss vägen."
011_00	Men när han närmade sig kallade en röst på honom: "Moses!
012_00	Jag är din Herre! Tag av dina sandaler; du står nämligen i den heliga dalen Tuwa.
013_00	Jag har utvalt dig [till profet]; lyssna nu noga till det som skall uppenbaras [för dig].
014_00	Jag är Gud. Ingen gudom finns utom Jag. Dyrka Mig därför och förrätta bönen för att minnas Mig!
015_00	Den Yttersta stunden skall komma, även om Jag håller dess [ankomst] hemlig, för att var och en skall lönas för det som han har strävat mot.
016_00	Låt därför ingen som förnekar den och som [bara] följer sitt eget sinne, rubba dig i din tro på den - annars störtar du dig i fördärvet.
017_00	Moses, vad är det du har i din högra hand?"
018_00	Han svarade: "Det är min stav, som jag stöder mig på och som jag använder för att skala av löv från träden för mina får; jag har också annan nytta av den."
019_00	[Gud] sade: "Kasta den ifrån dig, Moses!"
020_00	[Moses] kastade den och se, då blev den till en orm, som kvickt ville slingra sig undan.
021_00	[Gud] sade: "Grip nu tag i den och var inte rädd! Vi skall låta den återgå till sitt förra tillstånd.
022_00	Tryck din hand [under kläderna] mot kroppens sida; då du drar fram den [skall den vara] skinande vit, utan en fläck - ett andra tecken [efter tecknet med staven] -
023_00	Vi har nämligen velat låta dig se några av Våra stora tecken.
024_00	Bege dig [nu] till Farao, som har gått för långt i sitt övermod."
025_00	[Moses] sade: "Herre! Öppna mitt bröst [för Ditt ljus]
026_00	och gör min uppgift lätt
027_00	och lös min tungas band
028_00	så att de förstår mina ord,
029_00	och ge mig som medhjälpare en av de mina,
030_00	Aron, min broder.
031_00	Låt honom bli ett stöd för mig
032_00	och låt honom dela min uppgift,
033_00	så att vi oförtröttligt får prisa Din härlighet
034_00	och ständigt minnas Dig!
035_00	Du som ser oss [som vi är med våra fel och brister]!"
036_00	[Gud] sade: "Moses! Allt det som du har bett om har beviljats dig!
037_00	Vi har redan en gång visat dig Vår nåd
038_00	då Vi gav din moder denna ingivelse:
039_00	'Lägg honom i en kista och sätt ut den i floden; floden skall föra [kistan] till stranden och en som är Min fiende och h
039_01	ans fiende skall [finna honom och] ta sig an honom.' Och Jag omgav dig med Min kärlek och du växte upp under Mina ögon..
040_00	Och då gick din syster [till Farao palats] och sade: 'Skall jag visa er till [en kvinna] som kan ta hand om honom [och amma honom]?' Så gav Vi dig tillbaka till din moder, så att hennes ögon fick glädjas och hon glömde sin sorg. [När du hade nått vuxen ålder] dödade du en man.
040_01	Vi befriade dig från ångesten [över detta] men prövade dig med [andra svåra] prövningar. Därpå vistades du flera år hos folket i Madyan; och nu, Moses, har du enligt Mitt beslut kommit [till Vårt möte];
041_00	Jag har nämligen knutit dig till Mig själv.
042_00	Bege er [nu] i väg med Mina budskap, du och din broder, och låt inte trötthet hindra er att anropa Mig!
043_00	Gå till Farao - han har gått för långt i sitt övermod -
044_00	men tala till honom i försonliga ordalag; kanske förmås han då till eftertanke eller grips av fruktan."
045_00	De svarade: "Herre! Vi är rädda att han skall hindra oss i vårt uppdrag eller gå fram mot oss med våld."
046_00	[Gud] svarade: "Ni har ingenting att frukta! Jag skall vara med er; Jag hör och ser [allt].
047_00	Gå nu till honom och säg: 'Vi är din Herres sändebud. Låt Israels barn lämna landet med oss och straffa dem inte!
047_01	Vi för med oss till dig ett tecken från din Herre. [Guds] fred skall vara med den som följer [Hans] vägledning!
048_00	Det har uppenbarats för oss att [Hans] straff skall drabba dem som förnekar sanningen och vänder den ryggen.'”
049_00	[När de fått företräde och Moses hade talat] sade [Farao]: "Vem, Moses, är då er Herre?"
050_00	[Moses] svarade: "Han som ger åt varje ting dess väsen och form och sedan leder det på dess väg - Han är vår Herre."
051_00	[Farao] sade: "Hur är det då med de släkten som levde före oss?"
052_00	[Moses] svarade: "Kunskapen om [vad som hänt] dem finns hos min Herre, [upptecknad] i ett beslut; min Herre begår aldrig ett misstag och Han glömmer ingenting."
053_00	[DET ÄR] Han som har gjort jorden till er vagga och stakat ut på den de vägar [ni har att följa för att få er utkomst], och som låter regn falla från skyn - med detta låter Vi växter spira av alla slag.
054_00	[Av växterna och deras frukter] får ni livnära er och låta er boskap beta. I detta ligger helt visst budskap till människor som [styrs av] sitt förnuft.
055_00	Av denna [jord] har Vi skapat er och till den låter Vi er vända tillbaka och ur den skall Vi [kalla] er att stiga fram ännu en gång.
056_00	FASTÄN VI lät [Farao] se alla Våra tecken, förkastade han dem och vägrade att tro [på Våra budskap].
057_00	Han sade: "Har du, Moses, kommit hit för att driva bort oss från vårt land med dina trollkonster
058_00	Vi skall sannerligen visa dig lika goda trollkonster som dina. Nämn därför tid för ett möte från vilket vi inte skall utebli och du inte heller får [utebli] och en [för oss alla] lämplig plats."
059_00	[Moses] svarade: "Det möte som du [vill kalla till] skall äga rum på er stora högtidsdag och låt folket samlas redan på förmiddagen."
060_00	Farao drog sig tillbaka [med sina rådgivare] för att planera hur de skulle gå till väga; och [när tiden för mötet kom] infann han sig.
061_00	Moses sade till dem: "Den av er som sätter ihop lögner om Gud drar olycka över sig; ja, Han skall förinta er med [Sitt] straff! Den som sätter ihop lögner om Gud är dömd att misslyckas."
062_00	De överlade i avskildhet om vad som var att göra
063_00	och sade till varandra: "Dessa två är helt säkert trollkarlar vars avsikt är att jaga bort oss från vårt land med sin trollkonst och att avskaffa våra föredömliga seder och bruk.
064_00	Låt oss alltså lägga fast vår plan och så gå fram på en linje; och den som i dag tar hem spelet har sannerligen vunnit en lysande triumf!"
065_00	[Trollkarlarna] sade: "Antingen kastar du, Moses, [din stav] eller också kastar vi först."
066_00	Han svarade: "Kasta ni - [jag väntar]!" Och deras trolldom gjorde sådan verkan att han tyckte sig se att deras rep och stavar verkligen rörde sig.
067_00	Och Moses sinne fylldes av onda aningar.
068_00	Vi sade: "Oroa dig inte! Det är du som har övertaget.
069_00	Kasta nu [staven] som du har i din högra hand; den skall genast snappa åt sig det som de har åstadkommit. Vad de har åstadkommit är ingenting annat än trollkonster och trollkarlen uppnår aldrig något [bestående med sina konster], vad hans syfte än är."
070_00	Och trollkarlarna [som såg sig besegrade] föll ned på sina ansikten och ropade: "Vi tror på Arons och Moses Herre!"
071_00	[Farao] sade: "Tror ni på honom innan jag har gett er tillåtelse?
071_01	Han måste vara er mästare som har undervisat er i trolldom! Jag skall sannerligen hugga av er motsatt hand och fot och jag skall korsfästa er på palmstammar utan att skona någon, för att ni skall få lära er vem av oss som utdömer de hårdaste straffen och vems straff som varar längst.
072_00	De svarade: "Aldrig skall vi sätta [troheten mot] dig framför de bevis [om sanningen] som vi fått se, och inte heller framför [troheten mot] Honom som har skapat oss! Besluta nu vad du har satt dig i sinnet - det enda du kan besluta om är det som rör livet i denna värld.
073_00	Vi tror nu på vår Herre och [ber Honom] om förlåtelse för våra synder och för den trolldom som du har tvingat oss att bedriva. Gud är den Bäste och Han lever i evighet."
074_00	DEN SOM [på Uppståndelsens dag] kommer inför sin Herre som obotfärdig syndare skall få helvetet [på sin lott]; där får han inte dö men kan inte heller leva.
075_00	Men de som kommer inför Honom som troende efter att ha levt ett rättskaffens liv skall ges den högsta värdigheten;
076_00	för dem står Edens lustgårdar beredda, vattnade av bäckar, där de skall förbli till evig tid. Det är lönen till dem som har renat sig [från synd].
