001_00	Ya seen.
002_00	VID DENNA Koran, ur vilken visdomen [flödar]!
003_00	Du [Muhammad] är i sanning en av Guds utsända
004_00	som följer en rak väg
005_00	i enlighet med den Allsmäktiges, den Nåderikes uppenbarelse,
006_00	för att du skall varna ett folk vars fäder inte har varnats och som därför [vandrar] i okunnighet.
007_00	Men [Guds] dom över de flesta av dem måste bli verklighet - de vill inte tro.
008_00	Vi har smitt kragar av järn åt dem, [kragar] som omsluter halsen ända till hakan och tvingar upp deras huvuden;
009_00	och Vi har satt ett hinder framför dem och ett hinder bakom dem, och Vi har täckt över deras [ansikten] så att de inte kan se.
010_00	Det är likgiltigt för dem om du varnar dem eller inte varnar dem; de vill inte tro.
011_00	Med din varning når du bara den som lägger påminnelsen på hjärtat och som fruktar den Nåderike, fastän Han inte kan ses eller förnimmas. Ge honom därför det glada budskapet om [Guds] förlåtelse och en frikostig belöning.
012_00	Det är Vi som uppväcker de döda till nytt liv och som upptecknar allt vad de har gjort och spåren som de efterlämnar; ja, allt är infört i en öppen bok.
013_00	OCH FRAMSTÄLL för dem en liknelse - [en berättelse om] hur invånarna i en stad betedde sig när [Våra] utsända kom till dem.
014_00	Vi sände till dem två [sändebud] och de beskyllde båda för lögn; därför sände Vi en tredje till deras hjälp. Och de sade: "Vi har sänts till er [med budskap från Gud]!"
015_00	[Invånarna] svarade: "Ni är ingenting annat än vanliga människor som vi; den Nåderike har aldrig uppenbarat något. Vad ni säger är ren lögn."
016_00	[Sändebuden] sade: "Vi har helt visst sänts till er med vår Herres vetskap;
017_00	vår uppgift är att framföra vårt budskap klart och entydigt."
018_00	[Invånarna] sade: "Vi ser er ankomst som ett varsel om kommande olyckor! Om ni inte avstår [från ert uppsåt], skall vi sannerligen stena er, ja, vi skall låta er utstå ett plågsamt straff!"
019_00	[Sändebuden] sade: "De olyckor ni tror att vi varslar om beror av er själva. [Hotar ni oss] därför att vi påminner er [om Gud och varnar er]? Ni är sannerligen människor som går till de värsta överdrifter!"
020_00	Då kom en man springande från stadens andra ände och ropade: "Lyssna, mitt folk, till budbärarna!
021_00	Lyssna till dem som inte begär någon ersättning av er och som är rätt vägledda!
022_00	Varför skulle jag inte tillbe Honom som har skapat mig? Det är till Honom som ni alla [till sist] skall föras åter.
023_00	[Varför] skulle jag sätta medgudar vid Hans sida? Om den Nåderike vill att något ont skall drabba mig, är deras förböner till ingen nytta för mig och de kan inte rädda mig.
024_00	Vilket grovt misstag hade jag då inte begått!
025_00	Jag tror på Honom som [också] är er Herre; lyssna till mig!"
026_00	Han bjöds att stiga in i paradiset - [och] utbrast: "Ack, om mitt folk visste
027_00	att min Herre har förlåtit mig och gett mig en hedersam plats!"
028_00	Efter detta sände Vi ingen himmelsk armé mot hans landsmän - det behövdes inte -
029_00	ett dån genljöd, ett enda, och allt blev tyst.
030_00	ARMA människor! Aldrig någonsin har ett sändebud kommit till dem, utan att de har gjort narr av honom!
031_00	Har de inte klart för sig hur många släkten Vi lät gå under före deras tid, [släkten] som aldrig skall återkomma?
032_00	Men alla skall de [en Dag] föras fram inför Oss.
033_00	Ett tecken [på Guds allmakt] har de fått i den döda jorden, som Vi skänker nytt liv och där Vi låter brödsäd växa, som tjänar dem till föda;
034_00	och där Vi låter palmlundar och vingårdar uppstå, vattnade av källor,
035_00	av vars frukt de äter efter att bidragit med [sina] händers arbete. Skall de då inte tacka [Honom]
036_00	Stor i Sin härlighet är Han, som har skapat allt vad jorden alstrar, människorna själva och det som de saknar kunskap om, i motsatspar.
037_00	Också i natten har de ett tecken; Vi klär av den dagen - och de sveps i mörker.
038_00	Och solen som löper mot sin viloplats, anvisad henne av Den som äger all makt, all kunskap.
039_00	Och månen, för vilken Vi har föreskrivit faser [som den måste passera] tills den blir lik den vissna, krökta stjälken till en dadelklase.
040_00	Solen skall inte skynda ifatt månen, och natten hinner inte upp dagen; var och en rör sig nämligen i sin [fastställda] bana.
041_00	Och ett tecken för dem är att Vi i den tungt lastade arken räddade deras [förfäder och dessas] efterkommande,
042_00	och Vi har skapat efterbilder till den som tjänar dem på deras resor.
043_00	Om Vi ville, kunde Vi låta dem drunkna; ingen skulle höra deras nödrop och ingen räddning nå dem,
044_00	om det inte var så att Vi förbarmade oss över dem och lät dem glädjas åt livet ännu en tid.
045_00	Men när de uppmanas: "Var på er vakt mot [de faror] som ligger framför er [och som ni har varnats för] men också mot dem som ni inte vet något om - kanske skall [Gud] visa er barmhärtighet"- [vänder de sig bort];
046_00	ja, vilket budskap som än når dem från deras Herre, vänder de ryggen till.
047_00	Och när de som förnekar sanningen uppmanas: "Ge åt andra av det som Gud har skänkt er för er försörjning", säger de till de troende: "Skall vi livnära den som Gud hade kunnat föda, om Han velat? Detta har ni helt missuppfattat!"
