001_00	VID SINAI berg!
002_00	Vid [den heliga] Skriften,
003_00	nedtecknad på öppna ark!
004_00	Vid Helgedomen, ständigt fylld av besökare!
005_00	Vid [himlens] höga valv!
006_00	Vid havet och dånet [av dess bränningar]!
007_00	DIN Herres straff skall helt visst bli verklighet;
008_00	ingen kan hindra det!
009_00	[Det skall bli verklighet] den Dag då himlen skälver i ett häftigt skalv
010_00	och bergen sätter sig i rörelse.
011_00	Förlorade denna Dag är de som kallade allt för lögn,
012_00	de som roade sig med tomt prat [och glömde evigheten];
013_00	den Dag då de skall störtas ned i helvetets eld och [en röst säger:]
014_00	"Detta är Elden som ni förnekade;
015_00	¤r den en synvilla? Eller är er syn i olag
016_00	Känn hur dess lågor bränner er! Vare sig ni uthärdar det eller inte, förändrar det ingenting för er; detta är den rätta lönen för era handlingar."
017_00	De gudfruktiga skall [den Dagen] vila lyckliga i lustgårdar,
018_00	där de gläder sig åt allt det som deras Herre har skänkt dem och över att Han har skonat dem från helvetets straff.
019_00	[Och änglarna skall uppmana dem:] "Ät och drick av hjärtans lust; [detta är belöningen] för era handlingar!"
020_00	[De sitter] stödda [av kuddar] på högsäten, ordnade i rader [mitt emot varandra]. Och Vi skall ge dem mörkögda, oskuldsfulla unga kvinnor som sällskap.
021_00	Vi skall låta deras efterkommande som följde dem i tron förena sig med dem utan att förminska något av deras egna förtjänster.
021_01	Men var och en är ansvarig för sina handlingar.
022_00	Och Vi skall förse dem med allt vad de önskar av frukt och kött,
023_00	och där skall de kappas om att tömma en skål [med vin], som varken förleder dem till lättsinnigt tal eller låter syndiga tankar stiga upp inom dem.
024_00	Och hos dem skall vara ungdomar, som betjänar dem, [av samma rena skönhet] som pärlan i [ostronets] skyddande skal.
025_00	Och de går fram till varandra och frågar [om det förflutna]
026_00	och säger: "Då vi levde bland de våra kände vi [ofta] en stark oro [vid tanken på Guds straff].
027_00	Men Gud har varit god mot oss som skonat oss från den glödheta vindens plåga;
028_00	förr bad vi alltid till Honom [och Han hörde vår bön]." - Han är den Gode, den Barmhärtige.
029_00	[FORTSÄTT] alltså att påminna [människorna, Muhammad]! Tack vare din Herres nåd är du varken en spåman eller en galning.
030_00	Kanske säger de: "Han är [bara] en poet; låt oss vänta och se vad ödet kan ha i beredskap [för honom]!"
031_00	Säg: "Vänta gärna! Jag skall vänta med er!"
032_00	Är det deras [berömda] visdom som talar på detta sätt – eller är de alltigenom onda människor?
033_00	Säger de kanske: 'Han har själv diktat ihop alltsammans?' Nej, de vill [helt enkelt] inte tro!
034_00	Låt dem då lägga fram en jämförbar text, om de talar sanning!
035_00	Skapades de kanske av en slump? Eller är de själva skaparna
036_00	Har de [också] skapat himlarna och jorden? Nej, de är inte säkra på något!
037_00	Har de din Herres skatter i sina händer? Eller är det de som styr [allt]
038_00	Eller har de en stege [med vars hjälp de når dit där] de kan lyssna [till himlens hemligheter]? Låt då den som [påstår sig ha] lyssnat, lägga fram klara bevis!
039_00	Skall Han nöja Sig med döttrar, fastän ni [själva enbart] vill ha söner?
040_00	Eller begär du en avgift av dem [för att framföra ditt budskap], så att de nu tyngs av skulder
041_00	Eller har de [sådan kunskap om] den verklighet som är dold för människor att de [kan] skriva ned [vad de vet]?
042_00	Lägger de försåt för dig [och hoppas se dig fastna i fällan]? Men förnekarna av sanningen fastnar själva i sina fällor!
043_00	Eller har de en annan gud än Gud? Stor är Gud i Sin härlighet, fjärran från allt som [människor] vill sätta vid Hans sida!
044_00	OCH OM de skulle se ett stycke av himlen störta ned, skulle de säga: "Det är ingenting annat än moln som tornar upp sig!"
045_00	Låt dem därför vara till dess de får se den Dag vars [fasor] kommer att driva dem från vettet,
046_00	den Dag då deras list inte skall vara dem till någon nytta och de inte finner hjälp någonstans.
047_00	De som ständigt begår orätt [skall straffas] redan innan [den Dagen kommer], men de flesta av dem är ovetande [om detta].
048_00	Ha tålamod [Muhammad] och vänta på din Herres dom - Vi vakar över dig. Och lova och prisa din Herre när du reser dig,
049_00	och lova och prisa Honom under natten och då stjärnorna bleknar!
