001_00	HA meem.
002_00	VID SKRIFTEN, som är klar i sig själv och som klart framställer sanningen!
003_00	Dess uppenbarelse [inleddes] under en välsignad natt - Vi har aldrig upphört att varna [människorna] -
004_00	[en natt] då varje fråga formulerades med fasthet och precision
005_00	enligt Vår befallning - Vi har aldrig upphört att sända Våra budbärare [med undervisning och vägledning]. -
006_00	Detta är en nåd från din Herre, Han som hör allt, vet allt,
007_00	Herren över himlarna och jorden och allt som finns däremellan; [detta vet ni] om ni [hör till dem som] strävar efter inre visshet!
008_00	Ingen gud finns utom Han, som skänker liv och skänker död; er Herre och era förfäders Herre.
009_00	Men de tvivlar och skämtar bort [frågans allvar].
010_00	VÄNTA på den Dag då himlen kommer att [skymmas av] en klart synlig, tät rök
011_00	som sveper in människorna; [och de skall ropa och klaga:] "Vilket straff, vilken plåga!
012_00	Herre, låt oss slippa ifrån [detta] straff, Vi tror på Dig!"
013_00	Men varifrån skall den påminnelse komma som påverkar dem? Ett sändebud har ju kommit till dem och klart framfört sitt budskap;
014_00	då vände de honom ryggen med orden: "[Denne] galning har lärts upp [av andra]!"
015_00	Vi skall skjuta upp straffet en liten tid, men ni kommer att återfalla [i synd].
016_00	Dock, den dag då Vårt dråpslag faller med fruktansvärd kraft, skall Vi utkräva [full] vedergällning [av er alla]!
017_00	LÅNGT före deras tid lät Vi Faraos folk utstå en hård prövning; en ädel budbärare kom till dem och sade:
018_00	"Överlämna Guds tjänare till mig! Jag är [Guds] sändebud [utsänd] till er och ni kan lita på mig.
019_00	Uppres er inte mot Gud! Jag kommer till er med ett klart bevis på min myndighet,
020_00	och jag ber min Herre och er Herre om skydd mot det onda som ni vill tillfoga mig.
021_00	Om ni inte tror mig, håll er då ifrån mig!"
022_00	[När Moses såg deras omedgörlighet] bad han till sin Herre [och sade]: "Dessa [människor] är djupt sjunkna i synd!"
023_00	Och [Gud befallde honom]: "De kommer att förfölja er; bege dig därför i väg med Mina tjänare under natten!
024_00	Och lämna havet stilla och kluvet bakom er; där skall [den förföljande] armén dränkas!"
025_00	Hur många trädgårdar, [vattnade av] källor, måste de inte överge,
026_00	och [vajande] sädesfält och ståtliga palats -
027_00	och de lyckliga och ombonade liv som hade varit deras!
028_00	Så [blev deras öde]! Och Vi lät andra ärva det [som de lämnade efter sig].
029_00	Men himlen och jorden fällde inga tårar över dem och de gavs ingen frist.
030_00	Så räddade Vi Israels barn från det förnedrande straffarbete
031_00	som Farao [lade på dem] - han var en förtryckare som gick till de värsta överdrifter. -
032_00	Ja, med [Vår] kunskap utvalde Vi dem [och satte dem] högre än jordens alla folk
033_00	och Vi gav dem tecken [på Vår nåd] vars klara innebörd var att de sattes på prov.
034_00	Dessa [nutida förnekare] säger:
035_00	"Vi skall dö denna första och enda gång och vi skall inte uppstå till nytt liv.
036_00	Men låt våra förfäder stå upp [och vittna] om det ni säger är sant."
037_00	Är de bättre än Tubba`s folk och deras föregångare som Vi lät gå under, förlorade som de var i sin synd?
038_00	Vi har inte skapat himlarna och jorden och allt som finns däremellan för Vårt nöjes skull;
039_00	nej, Vi har inte skapat dem utan en plan och ett syfte, men de flesta [människor] inser det inte.
040_00	ÅTSKILLNADENS dag [då de orättfärdiga skall skiljas från de rättfärdiga] är den utsatta tiden, då alla [skall samlas åter];
041_00	den Dag då vännen inte kan ingripa till förmån för sin vän och ingen kan få hjälp
042_00	utom den som Gud förbarmar Sig över; Han är den Allsmäktige, den Barmhärtige.
043_00	Det träd i vars frukt är död,
044_00	skall låta den hårdnackade förnekaren smaka sin frukt;
045_00	och den skall sjuda som smält koppar i hans inälvor,
046_00	sjuda som skållhett vatten.
047_00	[Och ett rop skall höjas:] "Grip honom och släpa honom rakt in i lågornas mitt;
048_00	häll sedan kokhett vatten över hans huvud som en [ytterligare] plåga.
049_00	Pröva på [detta straff], du som [på jorden] var den mäktige, den förnäme!
050_00	Det var detta som ni [alla] tvivlade på!"
051_00	Men de som fruktade Gud skall då [få njuta] i trygghet,
052_00	av [grönskande] lustgårdar och [porlande] källor,
053_00	klädda i siden och brokad, [vilande på högsäten] mitt emot varandra.
054_00	Sådan [skall deras lycka vara] och Vi skall ge dem mörkögda, oskuldsfulla unga kvinnor som sällskap.
055_00	Där skall de få de frukter som de önskar och frid och ro skall omge dem.
056_00	Döden skall inte nå dem där, sedan de förut dött döden på jorden och de har skonats från Eldens straff -
057_00	ett bevis på din Herres nåd - detta är den stora segern!
058_00	OCH VI har gjort denna [Skrift] lätt att förstå, [förmedlad] på ditt eget språk [Muhammad] för att de skall kunna ta den till sig.
059_00	Avvakta därför [det som skall komma]; även de skall avvakta.
