001_00	Alif lam meem.
002_00	BYSANTINERNA är slagna;
003_00	[de har besegrats] i ett närbeläget land, men efter detta nederlag skall de åter segra
004_00	inom några få år. Avgörandet ligger hos Gud - så har det [alltid] varit och så skall det förbli. Vid samma tid skall [även] de troende få glädjas
005_00	åt Guds hjälp. Han ger Sin hjälp åt vem Han vill; Han är den Allsmäktige, den Barmhärtige.
006_00	Detta är vad Gud har lovat [och] Gud bryter inte Sina löften, men de flesta människor vet inte detta.
007_00	De uppfattar [bara] det yttre skenet av livet i denna värld och är likgiltiga för de yttersta tingen.
008_00	Har de inte ägnat någon eftertanke åt [allt som visar att] Gud inte har skapat himlarna och jorden och allt däremellan utan en plan och ett syfte och att en slutpunkt är fastställd [för allt]?
008_01	Men många människor förnekar att de [en dag] skall möta sin Herre!
009_00	Har de aldrig begett sig ut i världen och sett [spåren som visar] hur slutet blev för dem som levde före deras tid [och som förnekade sanningen]?
009_01	De var mäktigare än sina [sentida efterföljare] och brukade jorden bättre och byggde upp ett större [välstånd] än [efterföljarna]. Sändebud kom [också] till dem med klara vittnesbörd om sanningen.
009_02	Men [när de drabbades av Guds straff] var det inte Han som gjorde dem orätt - det var de som hade gjort orätt mot sig själva.
010_00	Dessa förövare av det onda drabbades till sist av det svåraste av alla straff [- helvetets eld -] därför att de kallade Våra budskap för lögn och gjorde sig lustiga över dem.
011_00	GUD inleder skapelsen och skall när tiden kommer förnya den och till sist skall ni föras åter till Honom.
012_00	Och när den Yttersta stunden är inne får de obotfärdiga syndarna låta hoppet fara;
013_00	ingen av dem som de satte som medhjälpare vid Guds sida skall tala för dem, och de kommer [själva] att ta avstånd från dessa medhjälpare.
014_00	Och när den Yttersta stunden är inne kommer [människorna] att delas [i två grupper];
015_00	de som trodde och levde ett rättskaffens liv skall få njuta av en [evig] lustgårds fröjder,
016_00	men de som framhärdade i att förneka sanningen och avvisade Våra budskap och mötet [med Gud] efter döden som lögner skall föras bort till sitt straff.
017_00	PRISA Guds härlighet då mörkret faller på och då morgonen gryr -
018_00	allt lov och pris i himlarna och på jorden tillkommer Honom - och när dagen lutar mot afton och då middagshöjden passerats.
019_00	Han låter livet spira ur det som är dött och Han låter döden stiga fram ur det levande, och den jord som varit död ger Han nytt liv; och så skall [också] ni kallas att stiga fram [ur döden till ett nytt liv].
020_00	Till Hans under hör detta att Han har skapat er av jord och [nu] sprider ni er [över jorden som fullt utvecklade] människor.
021_00	Och till Hans under hör att Han har skapat hustrur åt er av er egen art, så att ni kan finna ro hos dem, och Han har låtit kärlek och ömhet uppstå mellan er.
021_01	I detta ligger helt visst budskap till människor som tänker.
022_00	Och till Hans under hör skapelsen av himlarna och jorden och skillnaderna mellan er i språk och hudfärg. I detta ligger helt visst budskap till de insiktsfulla.
023_00	Och till Hans under hör sömnen, som ni får njuta om natten och [likaså] om dagen, och [den möjlighet ni då har] att söka det som Han i Sin godhet [beviljar er för er försörjning]. I detta ligger sannerligen budskap till dem som vill lyssna.
024_00	Och bland Sina under visar Han er blixten, som inger både fruktan och hopp, och Han låter regn falla från skyn och ger på så sätt nytt liv åt den jord som varit död.
024_01	I detta ligger helt visst budskap till människor som använder sitt förstånd.
025_00	Och till Hans under hör att himlarna hålls uppe på Hans befallning [i sina lägen]. Och till sist, när Han kallar er att stiga fram ur gravarna, skall ni [alla] stiga fram.
026_00	Honom tillhör allt och alla i himlarna och på jorden - alla böjer sig under Hans vilja.
027_00	Han är Den som inleder skapelsen och som, när tiden är kommen, skall förnya den; det är en lätt sak för Gud. Enbart de högsta egenskaper kan tillskrivas Honom i himlarna och på jorden. Han är den Allsmäktige, den Vise.
028_00	Han framställer en liknelse för er, hämtad ur ert eget liv: Är ni beredda att ge någon av dem som ni
028_01	rättmätigt besitter del i det som Vi har skänkt er, med lika rätt för er båda, och att visa honom samma respekt som ni visar varandra?
028_02	Så framställer Vi [Våra] budskap fast och klart till nytta för människor som använder sitt förstånd.
029_00	Men de orättfärdiga följer bara sina önskningar; de saknar all kunskap. Vem kan leda dem rätt som Gud har låtit gå vilse? De har ingen hjälpare.
030_00	GE DIG hän med hela din själ, [du som söker sanningen,] åt den rena, ursprungliga tron, den tro som Gud vid skapelsen lade ned som en naturens norm i människan - ingenting kan rubbas i Guds skapelse!
030_01	Detta är den evigt sanna tron, men de flesta människor vet ingenting [om detta].
031_00	Vänd tillbaka i ånger till Gud [och till den sanna tron] och frukta Honom och förrätta bönen och följ inte dem som sätter medhjälpare vid Guds sida;
032_00	inte heller dem som har splittrats i sekter, där var grupp [lägger vikt vid och] gläds åt sina [särdrag].
033_00	OCH NÄR människorna drabbas av ett ont ber de, ångerfulla, till sin Herre om hjälp; men när Han i Sin nåd har bönhört dem, sätter några av dem gudar vid sin Herres sida
034_00	[liksom] för att visa att de inte vill tacka Oss för det som Vi har skänkt dem. Gläd er då åt livet [ännu en tid]! En dag skall ni få veta [sanningen].
035_00	Skulle Vi ha sänt dem ett budskap, där de nämns som de vill sätta [som medhjälpare] vid Vår sida?
036_00	När Vi visar människorna Vår nåd gläds de åt detta; men när de drabbas av ett ont som är följden av deras egna handlingar, förlorar de allt hopp.
037_00	Ser de inte att Gud ger den Han vill riklig och [den Han vill] knappare utkomst? I detta ligger helt visst budskap till människor som vill tro.
038_00	Ge till den nära anförvanten vad han har rätt att vänta och ge [till] de behövande och [till] vandringsmannen; detta är det bästa för dem som vill vinna Guds välbehag och det skall gå dem väl i händer!
039_00	Vad ni lånar ut i ockersyfte för att det skall växa [i värde] på bekostnad av [andra] människors egendom, växer inte
039_01	[i värde] inför Gud; men det ni ger till de behövande för att vinna Guds välbehag [välsignar Han] med en mångdubbel belöning.
040_00	DET ÄR GUD som har skapat er och gett er er försörjning och som en dag skall låta er dö och en Dag väcka er till nytt liv.
