001_00	VID gryningsljuset
002_00	och vid de tio nätterna!
003_00	Vid det jämna talet och det udda!
004_00	Vid natten, när den viker!
005_00	Räcker inte denna försäkran för [att övertyga] den som är begåvad med insikt och förstånd?
006_00	HAR DU inte sett hur din Herre gick till väga mot [stammen] Aad?
007_00	Och mot Iram, [de tusen] pelarnas [stad],
008_00	vars like aldrig har återskapats på jorden
009_00	Och mot thamudenerna, som högg ut [sina bostäder] i dalens klippväggar
010_00	Och mot [de oräkneliga] tältmasternas Farao?
011_00	[Alla] gick de för långt i sitt trots på jorden,
012_00	och de störde ordningen och spred överallt sedefördärv,
013_00	och därför lät din Herre straffets piska vina över dem.
014_00	Din Herre förtröttas sannerligen [inte] i Sin vaksamhet!
015_00	MEN vad människan beträffar säger hon, var gång hennes Herre för att pröva henne låter henne nå ära och välstånd: "Min Herre har hedrat mig [på grund av mina förtjänster]."
016_00	Men då Han prövar henne genom att ge henne knappare utkomst, säger hon: "Min Herre skämmer ut mig."
017_00	Nej, men [se på er själva]! Mot de faderlösa visar ni ingen givmildhet,
018_00	och ni uppmanar inte varandra att ge den nödställde att äta,
019_00	och ni slukar [andras] arv med glupande aptit.
020_00	Och er kärlek till pengar känner inga gränser!
021_00	Nej [tag er i akt]! När jordskorpan smulas sönder i stöt efter stöt,
022_00	och din Herre visar sig med änglarna i slutna led,
023_00	och helvetet görs [synligt], den Dagen skall människan minnas [Våra varningar] - men vad hjälper det henne då att hon minns
024_00	[Då] kommer hon att säga: "Om jag ändå hade tänkt på [att med goda handlingar] förbereda mig för mitt liv [i evigheten]!"
025_00	Ingen straffar så hårt som Han den Dagen skall straffa,
026_00	och ingen kan fängsla med sådana bojor som Han.
027_00	[Då säger Gud till den rättfärdige:] "Du själ, som har kommit till ro!
028_00	Vänd tillbaka till din Herre, tillfredsställd [med Hans gåvor och] omsluten av Hans välbehag!
029_00	Stig in med skaran av Mina tjänare!
030_00	Stig in i Mitt paradis!"
