001_00	EN OÄNDLIG tid förflöt före människans ankomst, [en tid] då hon var något helt okänt.
002_00	För att sätta henne på prov har Vi skapat människan av en droppe av ett flöde, blandat [med ett annat flöde], och så har Vi gett henne hörsel och syn.
003_00	Vi har visat henne [hennes] väg, [och det är sedan hennes sak] att antingen visa tacksamhet [och följa vägledningen] eller att visa otacksamhet och så förneka [Oss].
004_00	För dem som väljer förnekelsens väg har Vi kedjor och järn och en flammande eld i beredskap.
005_00	Men de gudfruktiga skall tömma en bägare [vin] spetsat med kamfer
006_00	[från] en källa där Guds tjänare släcker törsten och vars flöde aldrig sinar.
007_00	[Det är] de som står fast vid sina löften och som bävar för den Dag då skräcken skall överskugga allt,
008_00	de som ger den fattige, den faderlöse och fången att äta - oavsett deras eget behov och det pris de sätter på [födan] -
009_00	[och säger:] "Det är för Guds skull vi ger er att äta och vi väntar ingen gengåva och inget tack från er;
010_00	vi fruktar vad vår Herre [har i beredskap för oss] en olycksdiger Dag!"
011_00	Den Dagen skall Gud skydda dem mot allt ont och skänka dem kraft och glädje,
012_00	och belöna med en [evigt grönskande] lustgård och [dräkter av] silke för deras tålamod och uthållighet.
013_00	I denna [lustgård] skall de vila på divaner, stödda [på mjuka kuddar], och där skall de varken utsättas för solens [hetta] eller för köld;
014_00	skuggorna skall luta sig över dem och [fruktträden] tjänstvilligt bjuda ut sin frukt.
015_00	Och fat av silver skall bäras omkring och bägare, genomskinliga som kristall -
016_00	som [om de hade varit] av kristall [fastän de är] av silver; och de bestämmer [själva] hur mycket [som skall sättas för dem].
017_00	Och [i lustgården] skall de bjudas en dryck spetsad med ingefära
018_00	från en källa vars namn är Salsabeel.
019_00	Och de skall betjänas av evigt unga gossar, som du skulle kunna tro vara kringströdda pärlor;
020_00	och vart du än vänder dig, ser du överallt glädje och överdådig prakt.
021_00	Och de skall bära dräkter av grönt siden och brokad och som smycken skall de ha armringar av silver. Och deras Herre skall stilla deras törst med den renaste dryck.
022_00	[Och en röst skall säga:] "Detta är lönen för era mödor, som [Gud] har sett med välbehag!"
023_00	JA, DET är Vi, som steg för steg har uppenbarat för dig denna Koran.
024_00	Vänta därför med tålamod [Muhammad] på din Herres dom, och lyssna inte till någon av dem som är djupt sjunkna i synd eller framhärdar i förnekelse.
025_00	Och åkalla din Herres namn när dagen gryr och när aftonen är nära
026_00	och fall ned i tillbedjan inför Honom också under natten, och prisa och lova Honom utan avbrott en hel natt.
027_00	De älskar livet och dess flyktiga glädjeämnen [över allt annat] och de skjuter undan [alla tankar på] den svåra Dag [som skall komma].
028_00	Det är Vi som har skapat dem och gett deras lemmar och leder styrka, men om Vi vill kan Vi i deras ställe sätta andra, som liknar dem.
029_00	DETTA är en påminnelse. Låt då den som vill, söka en väg till sin Herre!
030_00	Men ni kan bara vilja om [också] Gud vill [att ni söker denna väg]; Gud är allvetande, vis.
031_00	Han innesluter den Han vill i Sin nåd; men för de orättfärdiga har Han ett plågsamt straff i beredskap.
