001_00	VID [vindarna] som virvlar upp [damm och vissna löv];
002_00	vid [molnen] som för med sig regn;
003_00	vid [skeppen] som glider fram med lätthet;
004_00	vid [änglarna] som på [Guds] befallning fördelar [Hans gåvor]!
005_00	[De vittnar att] det löfte ni fått är sanning
006_00	[och att] räkenskapen och domen skall komma!
007_00	VID himlens valv, korsat av stjärnornas stråk!
008_00	[Människor!] Era åsikter [om trons innehåll] går sannerligen vitt isär! -
009_00	Den som vill låta sig föras bakom ljuset har redan fått synen förvänd!
010_00	Måtte [Gud] förgöra alla lögnare som påstår och gissar vad de inte kan veta,
011_00	de som [vadar] i förvirring och självbedrägeri
012_00	och [hånfullt] frågar: "Och när skall denna Domens dag komma?"
013_00	Den Dagen skall de plågas över elden
014_00	[och en röst skall säga:] "Smaka eldprovet som ni [nu skall undergå]! Det är detta som ni ville påskynda."
015_00	Men de som fruktade Gud skall vistas i lustgårdar med [porlande] källor
016_00	och där njuta av det som deras Herre har skänkt dem, därför att de [på jorden] gjorde de det goda och det rätta;
017_00	de ägnade inte mera än en kort del av natten åt sömn
018_00	och i den tidiga gryningen bad de om Guds förlåtelse för sina synder.
019_00	Och av det som de ägde gav de tiggarna och dem som led nöd [i tysthet] deras rättmätiga andel.
020_00	FÖR DEM som har visshet i tron finns tecken [på Guds allmakt överallt] på jorden,
021_00	och inom er själva. Varför inte [öppna ögonen och] se
022_00	I himlen finns det som [hjälper er] att uppehålla livet och där finns det som ni fått löfte om [i nästa liv];
023_00	ja, vid himlarnas och jordens Herre! - allt detta är sanning, [lika sant] som att ni har förmågan att tala!
024_00	HAR DU hört berättelsen om Abrahams himmelska gäster?
025_00	När de kom till honom och hälsade "Fred!", svarade han: "Fred [vare med er]! Ni är [tydligtvis] främlingar [här]?"
026_00	Efter ett kort samråd med husfolket kom han ut med en [helstekt] gödkalv;
027_00	som han satte framför dem och bad dem ta för sig.
028_00	[När han såg att de inte åt] blev han rädd att de [hade ont i sinnet]. Men då sade de: "Du har ingenting att frukta!" - och de gav honom det glada budskapet om en son [som skulle födas åt honom och bli en man] med stor visdom.
029_00	Då närmade sig hans hustru och slog sig för pannan med ett jämmerrop och utbrast: "En gammal orkeslös och ofruktsam kvinna [som jag]!"
030_00	De svarade: "Så har din Herre beslutat. Han är den Allvise, den Allvetande!"
031_00	[Abraham] sade: "Vad är [annars] skälet till ert besök, ärade budbärare?"
032_00	De svarade: "Vi har sänts [för att straffa] ett folk av obotfärdiga, trotsiga syndare;
033_00	vi skall låta ett regn av stenblock falla över dem,
034_00	[ett straff] fastställt i din Herres beslut för dem som har drivit sina utsvävningar för långt.
035_00	Vi skulle föra bort de troende [som fanns i städerna som skulle förstöras]
036_00	men, frånsett ett hus, fann vi ingen som hade underkastat sig Guds vilja."
037_00	Och i [de ödelagda städerna] lämnade Vi ett budskap till dem som fruktar det plågsamma straff [som är följden av att framhärda i det onda].
038_00	OCH I [berättelsen om] Moses ligger [samma budskap]. Vi sände honom till Farao med ett klart bevis på hans myndighet,
039_00	men den höge [fursten], stödd på sina mäktiga resurser, vände [honom] ryggen och sade: "Antingen är han en trollkarl eller en galning."
040_00	Och så kastade Vi honom och hans här i havet; och han bar [själv] skulden [till allas undergång].
041_00	Och i [berättelsen om vad som hände stammen] Aad ligger [samma budskap]: Vi sände mot dem en dödsbringande vind
042_00	som, där den drar fram, inte lämnar något levande efter sig utan förvandlar allt till multnande ben.
043_00	[Samma budskap] ligger i [berättelsen om stammen] Thamud. [Deras profet] sade till dem: "Ni skall få glädjas åt livet [ännu] en liten tid" -
044_00	detta sedan de hade satt sig upp emot sin Herres befallning - och så drabbade [straffets] blixtar dem mitt för deras ögon.
045_00	De kunde inte resa sig på nytt och ingen fanns som kunde hjälpa dem.
046_00	Och före dem lät Vi Noas folk, förhärdade i synd och trots, gå under.
047_00	VI HAR byggt världsalltet och gett det en fast struktur, och förvisso är det Vi som utvidgar det.
048_00	Och Vi har brett ut jordens [yta] - kunde någon ha brett ut den på bättre sätt?
049_00	Allt som Vi har skapat har Vi skapat i motsatspar; kanske skall ni minnas [att En Gud är upphovet till denna väl planerade mångfald].
050_00	[Säg, Muhammad:] ”Fly undan synden till Gud! Jag kommer till er, [sänd] av Honom, för att varna er klart och entydigt:
051_00	'Sätt inte en annan gud vid Guds sida!' - Ja, jag kommer till er, [sänd] av Honom, för att varna er klart och entydigt.”
052_00	[Men som de uppträder mot dig] så har det alltid varit. Inget sändebud kom till dem som levde i gångna tider utan att de kallade honom trollkarl eller galning.
053_00	Lät de orden gå i arv? Nej, men dessa [sentida förnekare] är hårdnackade människor vilkas onda handlingar inte känner några gränser.
054_00	Håll dig därför på avstånd från dem; då kan ingen klandra dig!
055_00	Men [fortsätt att] påminna [och varna]; påminnelsen är till nytta för dem som tror.
056_00	Jag har skapat de osynliga väsendena och människorna enbart för att de skall [känna Mig och] dyrka Mig.
057_00	Jag begär ingen försörjning och ingen föda av dem.
058_00	Det är Gud som drar försorg [om skapelsen], den Starke, den Orubblige.
059_00	De som begår orätt skall få sin andel av det straff som drabbade deras likasinnade föregångare. De behöver inte be Mig att påskynda [domen]!
060_00	Den Dag som förnekarna av sanningen har fått löfte om skall bli en Dag av fasa och elände!
