001_00	طہٰ
002_00	(اے محمدﷺ) ہم نے تم پر قرآن اس لئے نازل نہیں کیا کہ تم مشقت میں پڑ جاؤ
003_00	بلکہ اس شخص کو نصیحت دینے کے لئے (نازل کیا ہے) جو خوف رکھتا ہے
004_00	یہ اس (ذات برتر) کا اتارا ہوا ہے جس نے زمین اور اونچے اونچے آسمان بنائے
005_00	(یعنی خدائے) رحمٰن جس نےعرش پر قرار پکڑا
006_00	جو کچھ آسمانوں میں ہے اور جو کچھ زمین میں ہے اور جو کچھ ان دونوں کے بیچ میں ہے اور جو کچھ (زمین کی) مٹی کے نیچے ہے سب اسی کا ہے
007_00	اور اگر تم پکار کر بات کہو تو وہ تو چھپے بھید اور نہایت پوشیدہ بات تک کو جانتا ہے
008_00	(وہ معبود برحق ہے کہ) اس کے سوا کوئی معبود نہیں ہے۔ اس کے (سب) نام اچھے ہیں
009_00	اور کیا تمہیں موسیٰ (کے حال) کی خبر ملی ہے
010_00	جب انہوں نے آگ دیکھی تو اپنے گھر والوں سے کہا کہ تم (یہاں) ٹھہرو میں نے آگ دیکھی ہے (میں وہاں جاتا ہوں) شاید اس میں سے میں تمہارے پاس انگاری لاؤں یا آگ (کے مقام) کا رستہ معلوم کرسکوں
011_00	جب وہاں پہنچے تو آواز آئی کہ موسیٰ
012_00	میں تو تمہارا پروردگار ہوں تو اپنی جوتیاں اتار دو۔ تم (یہاں) پاک میدان (یعنی) طویٰ میں ہو
013_00	اور میں نے تم کو انتخاب کرلیا ہے تو جو حکم دیا جائے اسے سنو
014_00	بےشک میں ہی خدا ہوں۔ میرے سوا کوئی معبود نہیں تو میری عبادت کرو اور میری یاد کے لئے نماز پڑھا کرو
015_00	قیامت یقیناً آنے والی ہے۔ میں چاہتا ہوں کہ اس (کے وقت) کو پوشیدہ رکھوں تاکہ ہر شخص جو کوشش کرے اس کا بدلا پائے
016_00	تو جو شخص اس پر ایمان نہیں رکھتا اور اپنی خواہش کے پیچھے چلتا ہے (کہیں) تم کو اس (کے یقین) سے روک نہ دے تو (اس صورت میں) تم ہلاک ہوجاؤ
017_00	اور موسی یہ تمہارے داہنے ہاتھ میں کیا ہے
018_00	انہوں نے کہا یہ میری لاٹھی ہے۔ اس پر میں سہارا لگاتا ہوں اور اس سے اپنی بکریوں کے لئے پتے جھاڑتا ہوں اور اس میں میرے لئے اور بھی کئی فائدے ہیں
019_00	فرمایا کہ موسیٰ اسے ڈال دو
020_00	تو انہوں نے اس کو ڈال دیا اور وہ ناگہاں سانپ بن کر دوڑنے لگا
021_00	خدا نے فرمایا کہ اسے پکڑ لو اور ڈرنا مت۔ ہم اس کو ابھی اس کی پہلی حالت پر لوٹا دیں گے
022_00	اور اپنا ہاتھ اپنی بغل سے لگالو وہ کسی عیب (وبیماری) کے بغیر سفید (چمکتا دمکتا) نکلے گا۔ (یہ) دوسری نشانی (ہے)
023_00	تاکہ ہم تمہیں اپنے نشانات عظیم دکھائیں
024_00	تم فرعون کے پاس جاؤ (کہ) وہ سرکش ہو رہا ہے
025_00	کہا میرے پروردگار (اس کام کے لئے) میرا سینہ کھول دے
026_00	اور میرا کام آسان کردے
027_00	اور میری زبان کی گرہ کھول دے
028_00	تاکہ وہ بات سمجھ لیں
029_00	اور میرے گھر والوں میں سے (ایک کو) میرا وزیر (یعنی مددگار) مقرر فرما
030_00	(یعنی) میرے بھائی ہارون کو
031_00	اس سے میری قوت کو مضبوط فرما
032_00	اور اسے میرے کام میں شریک کر
033_00	تاکہ ہم تیری بہت سی تسبیح کریں
034_00	اور تجھے کثرت سے یاد کریں
035_00	تو ہم کو (ہر حال میں) دیکھ رہا ہے
036_00	فرمایا موسیٰ تمہاری دعا قبول کی گئی
037_00	اور ہم نے تم پر ایک بار اور بھی احسان کیا تھا
038_00	جب ہم نے تمہاری والدہ کو الہام کیا تھا جو تمہیں بتایا جاتا ہے
039_00	(وہ یہ تھا) کہ اسے (یعنی موسیٰ کو) صندوق میں رکھو پھر اس (صندوق) کو دریا میں ڈال دو تو دریا اسے کنارے پر ڈال دے گا (اور) میرا اور اس کا دشمن
039_01	اسے اٹھا لے گا۔ اور (موسیٰ) میں نے تم پر اپنی طرف سے محبت ڈال دی ہے (اس لئے کہ تم پر مہربانی کی جائے) اور اس لئے کہ تم میرے سامنے پرورش پاؤ
040_00	جب تمہاری بہن (فرعون کے ہاں) گئی اور کہنے لگی کہ میں تمہیں ایسا شخص بتاؤں جو اس کو پالے۔ تو (اس طریق سے) ہم نے تم کو تمہاری ماں کے پاس پہنچا دیا تاکہ ان کی آنکھیں ٹھنڈی ہوں اور وہ رنج نہ کری
040_01	ں۔ اور تم نے ایک شخص کو مار ڈالا تو ہم نے تم کو غم سے مخلصی دی اور ہم نے تمہاری (کئی بار) آزمائش کی۔ پھر تم کئی سال اہل مدین میں ٹھہرے رہے۔ پھر اے موسیٰ تم (قابلیت رسالت کے) اندازے پر آ پہنچے
041_00	اور میں نے تم کو اپنے (کام کے) لئے بنایا ہے
042_00	تو تم اور تمہارا بھائی دونوں ہماری نشانیاں لے کر جاؤ اور میری یاد میں سستی نہ کرنا
043_00	دونوں فرعون کے پاس جاؤ وہ سرکش ہو رہا ہے
044_00	اور اس سے نرمی سے بات کرنا شاید وہ غور کرے یا ڈر جائے
045_00	دونوں کہنے لگے کہ ہمارے پروردگار ہمیں خوف ہے کہ ہم پر تعدی کرنے لگے یا زیادہ سرکش ہوجائے
046_00	خدا نے فرمایا کہ ڈرو مت میں تمہارے ساتھ ہوں (اور) سنتا اور دیکھتا ہوں
047_00	(اچھا) تو اس کے پاس جاؤ اور کہو کہ ہم آپ کے پروردگار کے بھیجے ہوئے ہیں تو بنی اسرائیل کو ہمارے ساتھ جانے کی اجازت دیجیئے۔ ا
047_01	ور انہیں عذاب نہ کیجیئے۔ ہم آپ کے پاس آپ کے پروردگار کی طرف سے نشانی لے کر آئے ہیں۔ اور جو ہدایت کی بات مانے اس کو سلامتی ہو
048_00	ہماری طرف یہ وحی آئی ہے کہ جو جھٹلائے اور منہ پھیرے اس کے لئے عذاب (تیار) ہے
