001_00	(کوہ) طور کی قسم
002_00	اور کتاب کی جو لکھی ہوئی ہے
003_00	کشادہ اوراق میں
004_00	اور آباد گھر کی
005_00	اور اونچی چھت کی
006_00	اور ابلتے ہوئے دریا کی
007_00	کہ تمہارے پروردگار کا عذاب واقع ہو کر رہے گا
008_00	(اور) اس کو کوئی روک نہیں سکے گا
009_00	جس دن آسمان لرزنے لگا کپکپا کر
010_00	اور پہاڑ اُڑنے لگے اون ہو کر
011_00	اس دن جھٹلانے والوں کے لئے خرابی ہے
012_00	جو خوض (باطل) میں پڑے کھیل رہے ہیں
013_00	جس دن ان کو آتش جہنم کی طرف دھکیل دھکیل کر لے جائیں گے
014_00	یہی وہ جہنم ہے جس کو تم جھوٹ سمجھتے تھے
015_00	تو کیا یہ جادو ہے یا تم کو نظر ہی نہیں آتا
016_00	اس میں داخل ہوجاؤ اور صبر کرو یا نہ کرو تمہارے لئے یکساں ہے۔ جو کام تم کیا کرتے تھے (یہ) انہی کا تم کو بدلہ مل رہا ہے
017_00	جو پرہیزگار ہیں وہ باغوں اور نعتموں میں ہوں گے
018_00	جو کچھ ان کے پروردگار نے ان کو بخشا اس (کی وجہ) سے خوشحال۔ اور ان کے پروردگار نے ان کو دوزخ کے عذاب سے بچا لیا
019_00	اپنے اعمال کے صلے میں مزے سے کھاؤ اور پیو
020_00	تختوں پر جو برابر برابر بچھے ہوئے ہیں تکیہ لگائے ہوئے اور بڑی بڑی آنکھوں والی حوروں سے ہم ان کا عقد کر دیں گے
021_00	اور جو لوگ ایمان لائے اور ان کی اولاد بھی (راہ) ایمان میں ان کے پیچھے چلی۔ ہم ان کی اولاد کو بھی ان (
021_01	کے درجے) تک پہنچا دیں گے اور ان کے اعمال میں سے کچھ کم نہ کریں گے۔ ہر شخص اپنے اعمال میں پھنسا ہوا ہے
022_00	اور جس طرح کے میوے اور گوشت کو ان کا جی چاہے گا ہم ان کو عطا کریں گے
023_00	وہاں وہ ایک دوسرے سے جام شراب جھپٹ لیا کریں گے جس (کے پینے) سے نہ ہذیان سرائی ہوگی نہ کوئی گناہ کی بات
024_00	اور نوجوان خدمت گار (جو ایسے ہوں گے) جیسے چھپائے ہوئے موتی ان کے آس پاس پھریں گے
025_00	اور ایک دوسرے کی طرف رخ کرکے آپس میں گفتگو کریں گے
026_00	کہیں گے کہ اس سے پہلے ہم اپنے گھر میں (خدا سے) ڈرتے رہتے تھے
027_00	تو خدا نے ہم پر احسان فرمایا اور ہمیں لو کے عذاب سے بچا لیا
028_00	اس سے پہلے ہم اس سے دعائیں کیا کرتے تھے۔ بےشک وہ احسان کرنے والا مہربان ہے
029_00	تو (اے پیغمبر) تم نصیحت کرتے رہو تم اپنے پروردگار کے فضل سے نہ تو کاہن ہو اور نہ دیوانے
030_00	کیا کافر کہتے ہیں کہ یہ شاعر ہے (اور) ہم اس کے حق میں زمانے کے حوادث کا انتظار کر رہے ہیں
031_00	کہہ دو کہ انتظار کئے جاؤ میں بھی تمہارے ساتھ انتظار کرتا ہوں
032_00	کیا ان کی عقلیں ان کو یہی سکھاتی ہیں۔ بلکہ یہ لوگ ہیں ہی شریر
033_00	کیا (کفار) کہتے ہیں کہ ان پیغمبر نے قرآن از خود بنا لیا ہے بات یہ ہے کہ یہ (خدا پر) ایمان نہیں رکھتے
034_00	اگر یہ سچے ہیں تو ایسا کلام بنا تو لائیں
035_00	کیا یہ کسی کے پیدا کئے بغیر ہی پیدا ہوگئے ہیں۔ یا یہ خود (اپنے تئیں) پیدا کرنے والے ہیں
036_00	یا انہوں نے آسمانوں اور زمین کو پیدا کیا ہے؟ (نہیں) بلکہ یہ یقین ہی نہیں رکھتے
037_00	کیا ان کے پاس تمہارے پروردگار کے خزانے ہیں۔ یا یہ (کہیں کے) داروغہ ہیں؟
038_00	یا ان کے پاس کوئی سیڑھی ہے جس پر (چڑھ کر آسمان سے باتیں) سن آتے ہیں۔ تو جو سن آتا ہے وہ صریح سند دکھائے
039_00	کیا خدا کی تو بیٹیاں اور تمہارے بیٹے
040_00	(اے پیغمبر) کیا تم ان سے صلہ مانگتے ہو کہ ان پر تاوان کا بوجھ پڑ رہا ہے
041_00	یا ان کے پاس غیب (کا علم) ہے کہ وہ اسے لکھ لیتے ہیں
042_00	کیا یہ کوئی داؤں کرنا چاہتے ہیں تو کافر تو خود داؤں میں آنے والے ہیں
043_00	کیا خدا کے سوا ان کا کوئی اور معبود ہے؟ خدا ان کے شریک بنانے سے پاک ہے
044_00	اور اگر یہ آسمان سے (عذاب) کا کوئی ٹکڑا گرتا ہوا دیکھیں تو کہیں کہ یہ گاڑھا بادل ہے
045_00	پس ان کو چھوڑ دو یہاں تک کہ وہ روز جس میں وہ بےہوش کردیئے جائیں گے، سامنے آجائے
046_00	جس دن ان کا کوئی داؤں کچھ بھی کام نہ آئے اور نہ ان کو (کہیں سے) مدد ہی ملے
047_00	اور ظالموں کے لئے اس کے سوا اور عذاب بھی ہے لیکن ان میں کے اکثر نہیں جانتے
048_00	اور تم اپنے پروردگار کے حکم کے انتظار میں صبر کئے رہو۔ تم تو ہماری آنکھوں کے سامنے ہو اور جب اُٹھا کرو تو اپنے پروردگار کی تعریف کے ساتھ تسبیح کیا کرو
049_00	اور رات کے بعض اوقات میں بھی اور ستاروں کے غروب ہونے کے بعد بھی اس کی تنزیہ کیا کرو
