001_00	حٰم
002_00	اس کتاب روشن کی قسم
003_00	کہ ہم نے اس کو مبارک رات میں نازل فرمایا ہم تو رستہ دکھانے والے ہیں
004_00	اسی رات میں تمام حکمت کے کام فیصل کئے جاتے ہیں
005_00	(یعنی) ہمارے ہاں سے حکم ہو کر۔ بےشک ہم ہی (پیغمبر کو) بھیجتے ہیں
006_00	(یہ) تمہارے پروردگار کی رحمت ہے۔ وہ تو سننے والا جاننے والا ہے
007_00	آسمانوں اور زمین کا اور جو کچھ ان دونوں میں ہے سب کا مالک۔ بشرطیکہ تم لوگ یقین کرنے والے ہو
008_00	اس کے سوا کوئی معبود نہیں۔ (وہی) جِلاتا ہے اور (وہی) مارتا ہے۔ وہی تمہارا اور تمہارے باپ دادا کا پروردگار ہے
009_00	لیکن یہ لوگ شک میں کھیل رہے ہیں
010_00	تو اس دن کا انتظار کرو کہ آسمان سے صریح دھواں نکلے گا
011_00	جو لوگوں پر چھا جائے گا۔ یہ درد دینے والا عذاب ہے
012_00	اے پروردگار ہم سے اس عذاب کو دور کر ہم ایمان لاتے ہیں
013_00	(اس وقت) ان کو نصیحت کہاں مفید ہوگی جب کہ ان کے پاس پیغمبر آچکے جو کھول کھول کر بیان کر دیتے ہیں
014_00	پھر انہوں نے ان سے منہ پھیر لیا اور کہنے لگے (یہ تو) پڑھایا ہوا (اور) دیوانہ ہے
015_00	ہم تو تھوڑے دنوں عذاب ٹال دیتے ہیں (مگر) تم پھر کفر کرنے لگتے ہو
016_00	جس دن ہم بڑی سخت پکڑ پکڑیں گے تو بےشک انتقام لے کر چھوڑیں گے
017_00	اور ان سے پہلے ہم نے قوم فرعون کی آزمائش کی اور ان کے پاس ایک عالی قدر پیغمبر آئے
018_00	(جنہوں نے) یہ (کہا) کہ خدا کے بندوں (یعنی بنی اسرائیل) کو میرے حوالے کردو میں تمہارا امانت دار پیغمبر ہوں
019_00	اور خدا کے سامنے سرکشی نہ کرو۔ میں تمہارے پاس کھلی دلیل لے کر آیا ہوں
020_00	اور اس (بات) سے کہ تم مجھے سنگسار کرو اپنے اور تمہارے پروردگار کی پناہ مانگتا ہوں
021_00	اور اگر تم مجھ پر ایمان نہیں لاتے تو مجھ سے الگ ہو جاؤ
022_00	تب موسیٰ نے اپنے پروردگار سے دعا کی کہ یہ نافرمان لوگ ہیں
023_00	(خدا نے فرمایا کہ) میرے بندوں کو راتوں رات لے کر چلے جاؤ اور (فرعونی) ضرور تمہارا تعاقب کریں گے
024_00	اور دریا سے (کہ) خشک (ہو رہا ہوگا) پار ہو جاؤ (تمہارے بعد) ان کا تمام لشکر ڈبو دیا جائے گا
025_00	وہ لوگ بہت سے باغ اور چشمے چھوڑ گئے
026_00	اور کھیتیاں اور نفیس مکان
027_00	اور آرام کی چیزیں جن میں عیش کیا کرتے تھے
028_00	اسی طرح (ہوا) اور ہم نے دوسرے لوگوں کو ان چیزوں کا مالک بنا دیا
029_00	پھر ان پر نہ تو آسمان کو اور زمین کو رونا آیا اور نہ ان کو مہلت ہی دی گئی
030_00	اور ہم نے بنی اسرائیل کو ذلت کے عذاب سے نجات دی
031_00	(یعنی) فرعون سے۔ بےشک وہ سرکش (اور) حد سے نکلا ہوا تھا
032_00	اور ہم نے بنی اسرائیل کو اہل عالم سے دانستہ منتخب کیا تھا
033_00	اور ان کو ایسی نشانیاں دی تھیں جن میں صریح آزمائش تھی
034_00	یہ لوگ یہ کہتے ہیں
035_00	کہ ہمیں صرف پہلی دفعہ (یعنی ایک بار) مرنا ہے اور (پھر) اُٹھنا نہیں
036_00	پس اگر تم سچے ہو تو ہمارے باپ دادا کو (زندہ کر) لاؤ
037_00	بھلا یہ اچھے ہیں یا تُبّع کی قوم اور وہ لوگ جو تم سے پہلے ہوچکے ہیں۔ ہم نے ان (سب) کو ہلاک کردیا۔ بےشک وہ گنہگار تھے
038_00	اور ہم نے آسمانوں اور زمین کو اور جو کچھ ان میں ہے ان کو کھیلتے ہوئے نہیں بنایا
039_00	ان کو ہم نے تدبیر سے پیدا کیا ہے لیکن اکثر لوگ نہیں جانتے
040_00	کچھ شک نہیں کہ فیصلے کا دن ان سب (کے اُٹھنے) کا وقت ہے
041_00	جس دن کوئی دوست کسی دوست کے کچھ کام نہ آئے گا اور نہ ان کو مدد ملے گی
042_00	مگر جس پر خدا مہربانی کرے۔ وہ تو غالب اور مہربان ہے
043_00	بلاشبہ تھوہر کا درخت
044_00	گنہگار کا کھانا ہے
045_00	جیسے پگھلا ہوا تانبا۔ پیٹوں میں (اس طرح) کھولے گا
046_00	جس طرح گرم پانی کھولتا ہے
047_00	(حکم دیا جائے گا کہ) اس کو پکڑ لو اور کھینچتے ہوئے دوزخ کے بیچوں بیچ لے جاؤ
048_00	پھر اس کے سر پر کھولتا ہوا پانی انڈیل دو (کہ عذاب پر) عذاب (ہو)
049_00	(اب) مزہ چکھ۔ تو بڑی عزت والا (اور) سردار ہے
050_00	یہ وہی (دوزخ) ہے جس میں تم لوگ شک کیا کرتے تھے
051_00	بےشک پرہیزگار لوگ امن کے مقام میں ہوں گے
052_00	(یعنی) باغوں اور چشموں میں
053_00	حریر کا باریک اور دبیز لباس پہن کر ایک دوسرے کے سامنے بیٹھے ہوں گے
054_00	اس طرح (کا حال ہوگا) اور ہم بڑی بڑی آنکھوں والی سفید رنگ کی عورتوں سے ان کے جوڑے لگائیں گے
055_00	وہاں خاطر جمع سے ہر قسم کے میوے منگوائیں گے (اور کھائیں گے)
056_00	(اور) پہلی دفعہ کے مرنے کے سوا (کہ مرچکے تھے) موت کا مزہ نہیں چکھیں گے۔ اور خدا ان کو دوزخ کے عذاب سے بچا لے گا
057_00	یہ تمہارے پروردگار کا فضل ہے۔ یہی تو بڑی کامیابی ہے
058_00	ہم نے اس (قرآن) کو تمہاری زبان میں آسان کردیا ہے تاکہ یہ لوگ نصیحت پکڑیں
059_00	پس تم بھی انتظار کرو یہ بھی انتظار کر رہے ہیں
