001_00	سچ مچ ہونے والی
002_00	وہ سچ مچ ہونے والی کیا ہے؟
003_00	اور تم کو کیا معلوم ہے کہ سچ مچ ہونے والی کیا ہے؟
004_00	کھڑکھڑانے والی (جس) کو ثمود اور عاد (دونوں) نے جھٹلایا
005_00	سو ثمود تو کڑک سے ہلاک کردیئے گئے
006_00	رہے عاد تو ان کا نہایت تیز آندھی سے ستیاناس کردیا گیا
007_00	خدا نے اس کو سات رات اور آٹھ دن لگاتار ان پر چلائے رکھا تو (اے مخاطب) تو لوگوں کو اس میں (اس طرح) ڈھئے (اور مرے) پڑے دیکھے جیسے کھجوروں کے کھوکھلے تنے
008_00	بھلا تو ان میں سے کسی کو بھی باقی دیکھتا ہے؟
009_00	اور فرعون اور جو لوگ اس سے پہلے تھے اور وہ جو الٹی بستیوں میں رہتے تھے سب گناہ کے کام کرتے تھے
010_00	انہوں نے اپنے پروردگار کے پیغمبر کی نافرمانی کی تو خدا نے بھی ان کو بڑا سخت پکڑا
011_00	جب پانی طغیانی پر آیا تو ہم نے تم (لوگوں) کو کشتی میں سوار کرلیا
012_00	تاکہ اس کو تمہارے لئے یادگار بنائیں اور یاد رکھنے والے کان اسے یاد رکھیں
013_00	تو جب صور میں ایک (بار) پھونک مار دی جائے گی
014_00	اور زمین اور پہاڑ دونوں اٹھا لئے جائیں گے۔ پھر ایک بارگی توڑ پھوڑ کر برابر کردیئے جائیں گے
015_00	تو اس روز ہو پڑنے والی (یعنی قیامت) ہو پڑے گی
016_00	اور آسمان پھٹ جائے گا تو وہ اس دن کمزور ہوگا
017_00	اور فرشتے اس کے کناروں پر (اُتر آئیں گے) اور تمہارے پروردگار کے عرش کو اس روز آٹھ فرشتے اپنے سروں پر اُٹھائے ہوں گے
018_00	اس روز تم (سب لوگوں کے سامنے) پیش کئے جاؤ گے اور تمہاری کوئی پوشیدہ بات چھپی نہ رہے گی
019_00	تو جس کا (اعمال) نامہ اس کے داہنے ہاتھ میں دیا جائے گا وہ (دوسروں سے) کہے گا کہ لیجیئے میرا نامہ (اعمال) پڑھیئے
020_00	مجھے یقین تھا کہ مجھ کو میرا حساب (کتاب) ضرور ملے گا
021_00	پس وہ (شخص) من مانے عیش میں ہوگا
022_00	(یعنی) اونچے (اونچے محلوں) کے باغ میں
023_00	جن کے میوے جھکے ہوئے ہوں گے
024_00	جو (عمل) تم ایام گزشتہ میں آگے بھیج چکے ہو اس کے صلے میں مزے سے کھاؤ اور پیو
025_00	اور جس کا نامہ (اعمال) اس کے بائیں ہاتھ میں یاد جائے گا وہ کہے گا اے کاش مجھ کو میرا (اعمال) نامہ نہ دیا جاتا
026_00	اور مجھے معلوم نہ ہو کہ میرا حساب کیا ہے
027_00	اے کاش موت (ابد الاآباد کے لئے میرا کام) تمام کرچکی ہوتی
028_00	آج) میرا مال میرے کچھ بھی کام بھی نہ آیا
029_00	(ہائے) میری سلطنت خاک میں مل گئی
030_00	(حکم ہوگا کہ) اسے پکڑ لو اور طوق پہنا دو
031_00	پھر دوزخ کی آگ میں جھونک دو
032_00	پھر زنجیر سے جس کی ناپ ستر گز ہے جکڑ دو
033_00	یہ نہ تو خدائے جل شانہ پر ایمان لاتا تھا
034_00	اور نہ فقیر کے کھانا کھلانے پر آمادہ کرتا تھا
035_00	سو آج اس کا بھی یہاں کوئی دوستدار نہیں
036_00	اور نہ پیپ کے سوا (اس کے لئے) کھانا ہے
037_00	جس کو گنہگاروں کے سوا کوئی نہیں کھائے گا
038_00	تو ہم کو ان چیزوں کی قسم جو تم کو نظر آتی ہیں
039_00	اور ان کی جو نظر میں نہیں آتیں
040_00	کہ یہ (قرآن) فرشتہٴ عالی مقام کی زبان کا پیغام ہے
041_00	اور یہ کسی شاعر کا کلام نہیں۔ مگر تم لوگ بہت ہی کم ایمان لاتے ہو
042_00	اور نہ کسی کاہن کے مزخرفات ہیں۔ لیکن تم لوگ بہت ہی کم فکر کرتے ہو
043_00	یہ تو) پروردگار عالم کا اُتارا (ہوا) ہے
044_00	اگر یہ پیغمبر ہماری نسبت کوئی بات جھوٹ بنا لاتے
045_00	تو ہم ان کا داہنا ہاتھ پکڑ لیتے
046_00	پھر ان کی رگ گردن کاٹ ڈالتے
047_00	پھر تم میں سے کوئی (ہمیں) اس سے روکنے والا نہ ہوتا
048_00	اور یہ (کتاب) تو پرہیزگاروں کے لئے نصیحت ہے
049_00	اور ہم جانتے ہیں کہ تم میں سے بعض اس کو جھٹلانے والے ہیں
050_00	نیز یہ کافروں کے لئے (موجب) حسرت ہے
051_00	اور کچھ شک نہیں کہ یہ برحق قابل یقین ہے
052_00	سو تم اپنے پروردگار عزوجل کے نام کی تنزیہ کرتے رہو
