001_00	Tā Sīn. Ovo su ajeti Kur'ana i Knjige jasne,
002_00	upute i radosne vijesti onima koji vjeruju,
003_00	koji molitvu obavljaju i milostinju udjeljuju i koji u onaj svijet čvrsto vjeruju.
004_00	Onima koji u onaj svijet ne vjeruju Mi prikazujemo kao lijepe postupke njihove – zato oni lutaju;
005_00	njih čeka zla kob, a na onome svijetu će biti posve izgubljeni,
006_00	a ti, zaista, primaš Kur'an od Mudrog i Sveznajućeg!
007_00	Kada Musa reče čeljadi svojoj: "Vidio sam vatru, donijeću vam otuda vijest kakvu ili ću vam donijeti razgorjelu glavnju da biste se ogrijali",
008_00	neko ga, kada joj se približi, zovnu: "Neka su blagoslovljeni oni koji se nalaze na mjestu na kojem je vatra i oni oko nje, i neka je hvaljen Allah, Gospodar svjetova!
009_00	O Musa, Ja sam – Allah, Silni i Mudri!
010_00	Baci svoj štap!" Pa kad ga vidje da se, kao da je hitra zmija, kreće, on uzmače i ne vrati se. "O Musa, ne boj se! Poslanici se kod Mene ne trebaju ničega bojati;
011_00	a onome koji grijeh počini, a onda zlo dobrim djelom zamijeni – Ja ću, uistinu, oprostiti i samilostan biti.
012_00	Uvuci ruku svoju u njedra svoja, pojaviće se bijela, ali neće biti bolesna – biće to jedno od devet čuda faraonu i narodu njegovu; oni su, doista, narod nevjernički.
013_00	I kad im očito dođoše znamenja Naša, oni rekoše: "Ovo je prava čarolija!"
014_00	I oni ih, nepravedni i oholi, porekoše, ali su u sebi vjerovali da su istinita, pa pogledaj kako su skončali smutljivci.
015_00	Davudu i Sulejmanu smo znanje dali i oni su govorili: "Hvala Allahu koji nas je odlikovao iznad mnogih vjernika, robova Svojih!"
016_00	I Sulejman naslijedi Davuda i reče: "O ljudi, dato nam je da razumijemo ptičije glasove i svašta nam je dato; ovo je, zaista, prava blagodat!"
017_00	I sakupiše se Sulejmanu vojske njegove, džini, ljudi i ptice, sve četa do čete, postrojeni,
018_00	i kad stigoše do mravlje doline, jedan mrav reče: "O mravi, ulazite u stanove svoje da vas ne izgazi Sulejman i vojske njegove, a da to i ne primijete!"
