001_00	Uzvišen je Onaj u čijoj je ruci vlast – On sve može! –
002_00	Onaj koji je dao smrt i život da bi iskušao koji od vas će bolje postupati; – On je Silni, Onaj koji prašta,
003_00	Onaj koji je sedam nebesa jedna iznad drugih stvorio – ti u onome što Milostivi stvara ne vidiš nikakva nesklada, pa ponovo pogledaj vidiš li ikakav nedostatak,
004_00	zatim ponovo više puta pogledaj, pogled će ti se vratiti klonuo i umoran.
005_00	Mi smo vama najbliže nebo sjajnim zvijezdama ukrasili i učinili da vatra iz njih pogađa šejtane, za koje smo patnju u ognju pripremili.
006_00	A za one koji ne vjeruju u Gospodara svoga kazna je Džehennem, užasno je on boravište!
007_00	Kad budu u nj bačeni, pucketanje njegovo će čuti, i on će ključati,
008_00	skoro da se od bijesa raspadne. Kad god se koja gomila u nj baci, stražari u njemu će je upitati: "Zar nije niko dolazio da vas opominje?"
009_00	"Jest, dolazio nam je onaj koji nas je opominjao" – odgovoriće – "a mi smo poricali i govorili: 'Allah nije objavio ništa, vi ste u velikoj zabludi!'"
010_00	I reći će: "Da smo slušali ili razmišljali, ne bismo među stanovnicima Džehennema bili!"
011_00	I oni će priznati da su bili nevjernici – pa, stanovnici Džehennema ognjenog daleko bili!
012_00	Onima koji se Gospodara svoga boje i kad ih niko ne vidi – oprost i nagrada velika!
013_00	Govorili vi tiho ili glasno – pa, On, sigurno, zna svačije misli!
014_00	A kako i ne bi znao Onaj koji stvara, Onaj koji sve potanko zna, koji je o svemu obaviješten.
015_00	On vam je Zemlju pogodnom učinio, pa hodajte predjelima njezinim i hranite se onim što On daje, Njemu ćete poslije oživljenja odgovarati.
016_00	Jeste li sigurni da vas Onaj koji nebesima vlada neće u zemlju utjerati, kad se ona počne iznenada tresti?
017_00	Ili, jeste li sigurni da Onaj koji nebesima vlada na vas neće vjetar s kamenjem poslati? Tada biste saznali kakva je prijetnja Moja!
018_00	A poricali su i oni prije njih, pa kakva je samo bila kazna Moja!
019_00	Zar oni ne vide ptice iznad sebe kako raširenih krila lete, a i skupljaju ih? Samo ih Milostivi drži; On, zaista, sve dobro vidi.
020_00	Ili, ko je taj koji će biti vojska vaša i vama pomoći, osim Milostivog? – Nevjernici su samo obmanuti.
021_00	Ili, ko je taj koji će vas nahraniti, ako On hranu Svoju uskrati? – Ali, oni su uporni u bahatosti i u bježanju od istine.
022_00	Da li je na ispravnijem putu onaj koji se idući spotiče ili onaj koji Pravim putem uspravno ide?
023_00	Reci: "On sve stvara i daje vam sluh i vid i pameti, a vi se malo zahvaljujete!"
024_00	Reci: "On vas je po Zemlji razasuo i pred Njim ćete se sakupiti."
025_00	A oni govore: "Kad će već jednom ta prijetnja, ako istinu govorite?!"
026_00	Reci: "Sam Allah zna! A ja sam dužan samo da javno opominjem."
027_00	Kad je izbliza ugledaju, jad će prekriti lica onih koji nisu vjerovali i biće rečeno: "Evo, ovo je ono što ste požurivali!"
028_00	Reci: "Kažite vi meni: ako Allah pošalje smrt meni i onima koji su sa mnom, ili ako nam se smiluje, ko će nevjernike od neizdržljive patnje zaštititi?"
029_00	Reci: "On je Milostivi, u Njega vjerujemo i na Njega se oslanjamo, a vi ćete, sigurno, saznati ko je u očitoj zabludi."
030_00	Reci: "Šta mislite, ako vam vode presuše – ko će vam tekuću vodu dati?"
