001_00	Knjigu objavljuje Allah, Silni i Mudri!
002_00	Mi ti, doista, objavljujemo Knjigu, pravu istinu, zato se klanjaj samo Allahu, iskreno Mu ispovijedajući vjeru!
003_00	Iskreno ispovijedanje vjere dug je Allahu!
003_01	A onima koji pored Njega uzimaju zaštitnike: "Mi im se klanjamo samo zato da bi nas što više Allahu približili" – Allah će njima, zaista, presuditi o onome u čemu su se oni razilazili.
003_02	Allah nikako neće ukazati na Pravi put onome ko je lažljivac i nevjernik.
004_00	Da je Allah htio da dijete ima, izabrao bi, između onih koje je stvorio, onoga koga bi On htio. Hvaljen neka je On; On je Allah, Jedini i Svemoćni!
005_00	Nebesa i Zemlju je sa ciljem stvorio; On noću zavija dan i danom zavija noć, On je Sunce i Mjesec potčinio, svako se kreće do roka određenog.
005_01	On je Silni, On mnogo prašta!
006_00	On vas od jednog čovjeka stvara – a od njega je drúgu njegovu stvorio – i On vam je dao osam vrsta stoke;
006_01	On vas stvara u utrobama matera vaših, dajući vam likove, jedan za drugim, u tri tmine. To
006_02	vam je, eto, Allah, Gospodar vaš, Njegova je vlast, nema boga osim Njega, pa kuda se onda odmećete?
007_00	Ako vi budete nezahvalni – pa, Allah od vas ne zavisi, ali On nije zadovoljan ako su robovi Njegovi nezahvalni, a zadovoljan je vama ako budete zahvalni. A nijedan grješnik neće nositi grijehe drugoga!
007_01	Poslije ćete se Gospodaru svome vratiti, pa će vas On o onom što ste radili obavijestiti, jer On dobro zna svačije misli.
008_00	Kad čovjeka nevolja snađe, Gospodaru svome se moli, Njemu se obraća, a onda, pošto mu Allah milost svoju daruje, zaboravi Onoga kome se prije molio, i druge Njemu jednakim smatra, da bi s puta Njegova na stranputicu odvodio.
008_01	Reci: "Uživaj neko vrijeme u nevjerovanju svome, bićeš, sigurno, stanovnik u vatri!"
009_00	Da li je onaj koji u noćnim satima u molitvi vrijeme provodi, padajući licem na tle i stojeći, strahujući od onoga svijeta i nadajući se milosti Gospodara svoga…?
009_01	Reci: "Zar su isti oni koji znaju i oni koji ne znaju? Samo oni koji pameti imaju pouku primaju!"
010_00	Reci: "O robovi moji koji vjerujete, bojte se Gospodara svoga! One koji na ovome svijetu dobra djela budu činili čeka nagrada, a Allahova zemlja je prostrana;
010_01	samo oni koji budu strpljivi biće bez računa nagrađeni."
011_00	Reci: "Meni se naređuje da se klanjam Allahu, iskreno Mu ispovijedajući vjeru
012_00	i naređuje mi se da budem prvi musliman."
013_00	Reci: "Ja se bojim patnje na Velikom danu, ako budem Gospodaru svome neposlušan."
014_00	Reci: "Samo se Allahu klanjam, iskreno Mu ispovijedajući vjeru svoju,
015_00	a vi se, pored Njega, klanjajte kome hoćete!" Reci: "Stradaće, uistinu, oni koji na Sudnjem danu izgube i sebe i porodice svoje. Eto, to je pravo stradanje!"
016_00	Nad njima će biti naslage vatre, a i ispod njih naslage; time Allah straši robove Svoje. "O robovi Moji, bojte se Mene!"
017_00	Za one koji izbjegavaju da se kumirima klanjaju i koji se Allahu obraćaju – njima su namijenjene radosne vijesti, zato obraduj robove Moje
018_00	koji Kur'an slušaju i slijede ono najljepše u njemu; njima je Allah na Pravi put ukazao i oni su pametni.
019_00	Zar ti da spasiš onoga koji je zaslužio kaznu, onoga koji će biti u vatri?
020_00	A one koji se Gospodara svoga boje čekaju odaje, sve jedne iznad drugih sagrađene, ispred kojih će rijeke teći – obećanje je Allahovo, a Allah neće obećanje prekršiti.
021_00	Zar ne vidiš da Allah spušta s neba kišu pa je u izvore u zemlji razvodi, a onda pomoću nje raznobojno bilje izvodi,
