001_00	O ti, umotani! –
002_00	probdij noć, osim maloga dijela;
003_00	polovinu njezinu ili malo manje od nje;
004_00	ili malo više od nje, i izgovaraj Kur'an pažljivo,
005_00	Mi ćemo ti, doista, teške riječi slati –
006_00	ta ustajanje noću, zaista, jače djeluje i izgovara se jasnije,
007_00	a ti danju, doista, imaš mnogo posla.
008_00	I spominji ime Gospodara svoga i Njemu se potpuno posveti –
009_00	On je Gospodar istoka i zapada, nema boga osim Njega, i Njega uzmi za zaštitnika!
010_00	I otrpi ono što oni govore i izbjegavaj ih na prikladan način,
011_00	a Mene ostavi onima koji te u laž ugone, koji raskošno žive i daj im malo vremena;
012_00	biće u Nas, doista, okova i ognja,
013_00	i jela koje u grlu zastaje, i patnje nesnosne
014_00	na Dan kada se Zemlja i planine zatresu, i planine – pješčani humci razbacani postanu.
015_00	Mi smo vam, zaista, poslali Poslanika da bi svjedočio protiv vas isto onako kao što smo i faraonu poslanika poslali,
016_00	ali faraon nije poslušao poslanika, pa smo ga teškom kaznom kaznili.
017_00	Kako ćete se, ako ostanete nevjernici, sačuvati Dana koji će djecu sijedom učiniti?!
018_00	Nebo će se toga dana rascijepiti, prijetnja Njegova će se ispuniti.
019_00	To je, doista, pouka; i ko hoće, put ka Gospodaru svome će izabrati.
020_00	Gospodar tvoj, sigurno, zna da ti u molitvi provodiš manje od dvije trećine noći, polovinu njezinu ili trećinu njezinu, a i neki od onih koji su
020_01	uz tebe. Allah određuje dužinu noći i dana, On zna da vi to ne umijete izračunati pa vam prašta, a vi iz Kur'ana učite ono što je lahko; On zna
020_02	da će među vama biti bolesnih, i onih koji će po svijetu putovati i Allahove blagodati tražiti, i onih koji će se na Allahovu putu boriti – zat
020_03	o izgovarajte iz njega ono što vam je lahko, i molitvu obavljajte, i milostinju udjeljujte, i draga srca Allahu zajam dajte! A dobro koje za seb
020_04	e unaprijed osigurate naći ćete kod Allaha još većim i dobićete još veću nagradu. I molite Allaha da vam oprosti, jer Allah prašta i milostiv je.
