001_00	Tako mi jutra
002_00	i noći kada se utiša –
003_00	Gospodar tvoj nije te ni napustio ni omrznuo!
004_00	Onaj svijet je, zaista, bolji za tebe od ovoga svijeta,
005_00	a Gospodar tvoj će tebi, sigurno, dati, pa ćeš zadovoljan biti!
006_00	Zar nisi siroče bio, pa ti je On utočište pružio,
007_00	i za pravu vjeru nisi znao, pa te je na Pravi put uputio,
008_00	i siromah si bio, pa te je imućnim učinio?
009_00	Zato siroče ne ucvili,
010_00	a na prosjaka ne podvikni,
011_00	i o blagodati Gospodara svoga kazuj!
