001_00	Elif Lām Rā. Ovo su ajeti mudre Knjige.
002_00	Zašto je čudno ljudima što Mi objavljujemo jednom između njih: "Opominji ljude!
002_01	A vjernike obraduj divnom nagradom kod Gospodara njihova!" Nevjernici govore: "Ovaj je zaista pravi čarobnjak!"
003_00	Gospodar vaš je Allah, koji je nebesa i Zemlju za šest vremenskih razdoblja stvorio, a onda – upravljajući Aršom, svemirom zagospodario. Niko se neće moći zauzimati ni za koga bez dopuštenja Njegova.
003_01	Eto to vam je Allah, Gospodar vaš, pa se Njemu klanjajte! Zašto ne razmislite?
004_00	Njemu ćete se svi vratiti – Allahovo je istinito obećanje – On doista iz ničega stvara, On će poslije to ponoviti, da bi pravedno nagradio one koji budu vjerovali i dobra djela činili.
004_01	A one koji ne budu vjerovali čeka piće od ključale vode i patnja nesnosna, zato što su nevjernici bili.
005_00	On je Sunce izvorom svjetlosti učinio, a Mjesec sjajnim i položaje mu odredio da biste znali broj godina i računanje.
005_01	– Allah je to mudro stvorio. – On potanko izlaže dokaze ljudima koji razumiju.
006_00	U smjeni noći i dana i u onom što je Allah na nebesima i na Zemlji stvorio zaista postoje dokazi za ljude koji se Allaha boje.
007_00	Onima koji ne očekuju da će pred Nas stati i koji su zadovoljni životom na ovome svijetu, koji su u njemu smireni, i onima koji su prema dokazima Našim ravnodušni –
008_00	prebivalište njihovo biće Džehennem, zbog onoga što su radili.
009_00	One koji vjeruju i čine dobra djela Gospodar njihov će na Pravome putu podržati, zato što vjeruju; rijeke će teći ispred njih u džennetima zadovoljstva,
010_00	molitva njihova biće u njima: "Hvaljen neka si, Allahu!", pozdrav njihov: "Mir vama!", a njihova posljednja molitva: "Tebe, Allaha, Gospodara svjetova, hvalimo!"
011_00	Da Allah ljudima daje zlo onako brzo kao što im se odaziva kad traže dobro, oni bi, uistinu, stradali.
011_01	A Mi ipak ostavljamo da u zabludi svojoj lutaju oni koji ne vjeruju da će pred Nas stati.
012_00	Kada čovjeka snađe nevolja, on Nam se moli: ili ležeći, ili sjedeći, ili stojeći.
012_01	A čim mu nevolju otklonimo, on nastavlja, kao da Nam se nije ni obraćao molbom zbog nevolje koja ga je bila zadesila. Tako se nevjernicima čini lijepim ono što rade.
013_00	Mi smo drevne narode prije vas uništavali zato što nisu povjerovali kad su im poslanici njihovi jasne dokaze donosili. Oni nisu htjeli vjerovati.
013_01	Tako Mi kažnjavamo narod nevjernički.
014_00	Zatim smo vas poslije njih namjesnicima na Zemlji učinili, da bismo vidjeli kako ćete postupati.
015_00	A kad im se kazuju ajeti Naši, koji su jasni, onda govore oni koji ne vjeruju da će pred Nas stati: "Donesi ti kakav drugi Kur'an ili ga izmijeni!" – Reci: "Neza
015_01	mislivo je da ga ja sam od sebe mijenjam, ja slijedim samo ono što mi se objavljuje, ja se bojim – ako budem neposlušan svome Gospodaru – patnje na Velikom danu."
016_00	Reci: "Da Allah nije htio, ja vam ga ne bih kazivao niti bi vas On s njim upoznao. Ta ja sam prije poslanstva dugo među vama boravio – zar ne shvaćate?"
017_00	Pa ima li onda nepravednijeg od onoga koji o Allahu laži iznosi ili koji Njegove dokaze smatra neistinitim?! Mnogobošci doista neće uspjeti.
018_00	Oni se, pored Allaha, klanjaju onima koji im ne mogu nauditi niti im mogu kakvu korist pribaviti, i govore: "Ovo su naši zagovornici kod Allaha." Reci: "Kako
018_01	da Allahu kazujete da na nebesima i na Zemlji postoji nešto, a On zna da ne postoji!" Neka je slavljen On i vrlo visoko iznad onih koje smatraju Njemu ravnim!
019_00	Ljudi su jednu zajednicu sačinjavali, a onda su se jedan drugome suprotstavili. A da nije Riječi ranije izrečene od Gospodara tvoga, ovima bi već bilo presuđeno o onome oko čega se razilaze.
020_00	Oni govore: "Zašto mu Gospodar njegov ne pošalje jedno čudo?" Ti reci: "Samo Allah zna što će biti, pa pričekajte, i ja ću s vama čekati."
021_00	A kada Mi dopustimo ljudima da osjete milost, poslije nevolje koja ih snađe, oni opet u dokaze Naše neće da vjeruju.
021_01	Reci: "Allah je brži u kažnjavanju, izaslanici Naši ono što vi ispletkarite doista zapisuju."
022_00	On vam omogućava da kopnom i morem putujete. Pa kad ste u lađama i kad one uz blag povjetarac zaplove s putnicima, te se oni obraduju tome,
022_01	naiđe silan vjetar i valovi navale na njih sa svih strana, i oni se uvjere da će nastradati,
022_02	iskreno se mole Allahu: "Ako nas iz ovoga izbaviš, sigurno ćemo biti zahvalni!"
023_00	A kad ih On izbavi, oni odjednom bez ikakva osnova čine nered na Zemlji! O ljudi, nepravda koju činite da biste u životu na ovome svijetu uživali – samo vama šteti;
023_01	Nama ćete se poslije vratiti i Mi ćemo vas o onom što ste radili obavijestiti!
024_00	Život na ovome svijetu je sličan bilju zemaljskom na koje Mi spustimo s neba kišu s kojim se ona izmiješa, kojim se onda hrane ljudi i stoka.
024_01	Pa kad se Zemlja ukrasi svojim ruhom i okiti i kad stanovnici njezini pomisle da su oni toga gospodari, dođe zapovijed Naša, noću ili danju,
024_02	i Mi to pokosimo, kao da prije ničeg nije ni bilo. Eto, tako Mi potanko izlažemo dokaze narodu koji hoće da razmisli.
025_00	Allah poziva u Kuću mira i ukazuje na Pravi put onome kome On hoće.
026_00	One koji čine dobra djela čeka nagrada, i više od toga! Lica njihova neće tama i sjeta prekrivati; oni će stanovnici Dženneta biti, u njemu će vječno boraviti.
027_00	A one koji čine nevaljala djela čeka kazna srazmjerna onom što su počinili; njih će potištenost prekrivati, niko ih od Allaha neće zaštititi, lica će im biti tamna kao da su se na njih spustili dijelovi mrkle noći;
027_01	stanovnici vatre će oni biti, i u njoj će vječno boraviti!
028_00	A na Dan kad ih sve sakupimo, reći ćemo onima koji su Allahu druge ravnim smatrali: "Stanite, i vi
028_01	i božanstva vaša!" – pa ćemo ih razdvojiti; a božanstva njihova će reći: "Niste se vi nama klanjali,
029_00	Allah je dovoljan svjedok i nama i vama, mi doista nismo znali da ste vi nama robovali."
030_00	Tu će svako saznati ono što je prije uradio – biće vraćeni Allahu, svome istinskom Gospodaru, a neće im biti onih koje su izmišljali.
031_00	Upitaj: "Ko vas hrani s neba i iz zemlje, čije su djelo sluh i vid, ko stvara živo iz neživog, a pretvara živo u neživo, i ko upravlja svim?" – "Allah!" – reći će oni –
031_01	a ti reci: "Pa zašto Ga se onda ne bojite?"
032_00	To vam je Allah, Gospodar vaš istinski! Zar poslije istine ima išta osim zablude? Pa kuda se onda odmećete?
033_00	Tako će se obistiniti riječ Gospodara tvoga da vjerovati neće oni koji u grijehu žive.
034_00	Reci: "Može li ijedno vaše božanstvo stvarati iz ničega, zatim to ponovo učiniti?" Reci: "Allah stvara iz ničega, zatim će to ponovo učiniti!" Pa kuda se onda odmećete?
035_00	Reci: "Može li ijedno vaše božanstvo uputiti na Pravi put?", i odgovori: "Samo Allah upućuje na Pravi put!" Pa da li je onda dostojniji da se poštiva onaj koji na Pravi put upućuje ili onaj koji ni sam nije na Pravome putu, osim ako ga drugi na Pravi put ne uputi?
035_01	Šta vam je, kako rasuđujete?!
036_00	Većina njih slijedi samo pretpostavke; ali pretpostavke nisu nimalo od koristi Istini; Allah uistinu dobro zna ono što oni rade.
037_00	Ovaj Kur'an nije izmišljen, od Allaha je – on potvrđuje istinitost prijašnjih objava i objašnjava propise; u njega nema sumnje, od Gospodara svjetova je!
038_00	A oni govore: "On ga izmišlja!" Reci: "Pa, dajte vi jednu suru kao što je njemu objavljena, i koga god hoćete, od onih u koje mimo Allaha vjerujete, u pomoć pozovite, ako istinu govorite."
039_00	Oni poriču prije nego što temeljito saznaju šta ima u njemu, a još im nije došlo ni tumačenje njegovo; tako su isto oni prije njih poricali, pa pogledaj kako su nasilnici završili!
040_00	Ima ih koji u nj vjeruju, a ima ih koji ne vjeruju u nj. A Gospodar tvoj dobro poznaje smutljivce.
041_00	I ako te oni budu u laž utjerivali, ti reci: "Meni – moja, a vama – vaša djela; vi nećete odgovarati za ono što ja radim, a ja neću odgovarati za ono što vi radite."
