001_00	Tā Sīn Mīm.
002_00	Ovo su ajeti Knjige jasne!
003_00	Mi ćemo ti kazati neke vijesti o Musau i faraonu, onako kako je bilo, i to za one ljude koji vjeruju.
004_00	Faraon se u zemlji bio ponio i stanovnike njezine na stranke bio izdijelio; jedne je tlačio, mušku im djecu klao, a žensku u životu ostavljao,
004_01	doista je smutljivac bio.
005_00	A Mi smo htjeli da one koji su na Zemlji tlačeni milošću obaspemo i da ih vođama i nasljednicima učinimo,
006_00	i da im na Zemlji vlast darujemo, a da faraonu i Hamanu i vojskama njihovim damo da dožive baš ono zbog čega su od njih strahovali.
007_00	I Mi nadahnusmo Musaovu majku: "Doji ga, a kad se uplašiš za njegov život, baci ga u ri jeku, i ne strahuj i ne tuguj,
007_01	Mi ćemo ti ga, doista, vratiti i poslanikom ga učiniti."
008_00	I nađoše ga faraonovi ljudi, da im postane dušmanin i jad; – zaista su faraon i Haman i vojske njihove uvijek griješili.
009_00	I žena faraonova reče: "On će biti radost i meni i tebi! Ne ubijte ga, možda će nam od koristi biti, a možemo ga i posiniti." A oni ništa ne predosjetiše.
010_00	I srce Musaove majke ostade prazno, umalo ga ne prokaza, da Mi srce njeno nismo učvrstili i vjernicom je učinili.
011_00	I ona reče sestri njegovoj: "Idi za njim!" I ona ga ugleda izdaleka, a oni nisu bili ništa primijetili.
012_00	A Mi smo mu već bili zabranili dojilje, pa ona reče: "Hoćete li da vam ja pokažem porodicu koja će vam se o njemu brinuti i koja će mu dobro željeti?"
013_00	I vratismo ga majci njegovoj da se raduje i da ne tuguje, i da se uvjeri da je Allahovo obećanje istinito; ali većina njih ne zna.
014_00	I kad se on opasa snagom i stasa, dadosmo mu mudrost i znanje; tako Mi nagrađujemo one koji dobra djela čine.
015_00	I on uđe u grad neopažen od stanovnika njegovih i u njemu zateče dvojicu ljudi kako se tuku, jedan je pripadao njegovu, a
015_01	drugi neprijateljskom narodu, pa ga zovnu u pomoć onaj iz njegova naroda protiv onog iz neprijateljskog naroda, i Musa g
015_02	a udari šakom i – usmrti. "Ovo je šejtanov posao!" – uzviknu – "on je, zaista, otvoreni neprijatelj koji u zabludu dovodi!
016_00	Gospodaru moj" – reče onda – "ja sam sâm sebi zlo nanio, oprosti mi!" I On mu oprosti, On, uistinu, prašta i On je milostiv.
017_00	"Gospodaru moj" – reče – "tako mi blagodati koju si mi ukazao, više nikada nevjernicima neću biti od pomoći!"
018_00	I Musa u gradu osvanu prestrašen, očekujući šta će biti, kad ga onaj isti od jučer pozva ponovo u pomoć. "Ti si, zbilja, u pravoj zabludi!" – reče mu Musa,
019_00	i kad htjede ščepati zajedničkog im neprijatelja, reče mu onaj: "O Musa, zar ćeš ubiti i mene kao što si jučer ubio čovjeka?
019_01	Ti hoćeš da na zemlji silu provodiš, a ne želiš da miriš."
020_00	I jedan čovjek s kraja grada dotrča: "O Musa" – reče – "glavešine se dogovaraju da te ubiju; zato bježi, ja sam ti zbilja iskren savjetnik."
021_00	I Musa iziđe iz grada, ustrašen, iščekujući šta će se desiti. "Gospodaru moj" – reče – "spasi me naroda koji ne vjeruje!"
022_00	I kad se uputi prema Medjenu, on reče: "Gospodar moj će mi pokazati Pravi put!"
023_00	A kad stiže do vode medjenske, zateče oko nje mnoge ljude kako napajaju stoku, a malo podalje od njih ugleda dvije žene koje su je od vode odbijale.
023_01	"Šta vi radite?" – upita on. "Mi ne napajamo dok čobani ne odu" – odgovoriše one – "a otac nam je veoma star."
024_00	I on im je napoji, a onda ode u hladovinu i reče: "Gospodaru moj, ma kakvu mi hranu dao, zaista mi je potrebna!"
025_00	I jedna od njih dvije dođe mu, poslije, idući stidljivo i reče: "Otac moj te zove da te nagradi zato što si nam stoku napojio!"
025_01	I kad mu on dođe i kaza mu šta je doživio, on reče: "Ne strahuj, spasio si se naroda koji ne vjeruje!"
026_00	"O oče moj" – reče jedna od njih – "uzmi ga u najam, najbolje je da unajmiš snažna i pouzdana."
027_00	"Ja želim da te oženim jednom od ove dvije kćeri moje" – reče on – "ali trebaš me osam godina služiti; a ako de set napuniš, biće dobra volja tvoja, a ja ne želim da te na to silim;
027_01	ti ćeš vidjeti, ako Bog da, da sam dobar."
028_00	"Neka bude tako između mene i tebe!" – reče Musa – "koji god od ta dva roka ispunim, nema mi se šta prigovoriti, a Allah je jamac za ono što smo utanačili."
029_00	I kad Musa ispuni ugovoreni rok i krenu sa čeljadi svojom, on ugleda vatru na jednoj strani brda.
029_01	"Pričekajte!" – reče čeljadi svojoj – "vidio sam vatru, možda ću vam od nje kakvu vijest donijeti, ili zapaljenu glavnju, da se ogrijete."
030_00	A kad dođe do vatre, neko ga zovnu s desne strane doline, iz stabla, u blagoslovljenom kraju: "O Musa, Ja sam – Allah, Gospodar svjetova!
031_00	Baci štap svoj!" I kad vidje da se poput hitre zmije kreće, on uzmače i ne vrati se. "O Musa, priđi i ne boj se, sigurno ti se nikakvo zlo dogoditi neće!
